Name,Position,Height,Weight,Arms,Hands
Isaiah Adams,G,6-4,316,34,9
Andre Baccellia,WR,5-10,175,,
Markus Bailey,LB,6-1,235,31 1/2,9 1/2
Budda Baker,S,5-10,195,30 3/4,9
Keshawn Banks,DE,6-3,251,,
Krys Barnes,LB,6-2,229,,
Jackson Barton,OT,6-7,302,34,9 1/4
Kelvin Beachum,OT,6-3,308,33 1/4,9 1/2
Trey Benson,RB,6-1,223,31 1/2,9 1/4
Angelo Blackson,DE,6-4,318,33 3/4,9 3/4
Joey Blount,SAF,6-1,201,,
Aaron Brewer,LS,6-5,232,,
Anthony Brown,CB,5-11,196,31 3/4,8 1/4
Evan Brown,G,6-3,320,,
Baron Browning,LB,6-3,240,33 1/2,10
Sean Murphy-Bunting,CB,6-0,195,31 3/4,9 3/4
Michael Carter,,,,,
Andre Chachere,DB,6-0,197,31 1/2,10
Dan Chisena,WR,6-3,202,,
Kei'Trel Clark,N/A,,,,
L.J. Collier,N/A,,,,
Zaven Collins,LB,6-4,260,33 3/4,9 1/2
Trystan Colon,N/A,,,,
James Conner,RB,6-1,233,31 1/4,10
Keion Crossen,DB,5-10,190,,
DeeJay Dallas,RB,5-10,214,30 3/4,9 1/4
Jaden Davis,DB,5-10,182,,
Emari Demercado,RB,5-9,215,,
Victor Dimukeje,LB,6-2,262,33 1/4,9 1/2
Greg Dortch,WR,5-7,175,29 1/4,9 1/4
Milo Eifler,LB,6-1,228,,
Hjalte Froholdt,C,6-5,310,31 1/4,9 3/4
Jon Gaines II,G,6-4,303,33 3/4,10 1/4
Dennis Gardeck,LB,6-0,232,,
Blake Gillikin,P,6-2,196,,
Anthony Goodlow,DE,6-5,283,,
Darren Hall,CB,6-0,190,30 3/4,9
Marvin Harrison Jr.,N/A,,,,
Marquis Hayes,G,6-5,318,35,9
Charlie Heck,OT,6-8,315,34 1/4,10 1/4
Will Hernandez,G,6-3,332,32,10
Elijah Higgins,TE,6-3,234,31 3/4,10 1/2
Keith Ismael,C,6-3,310,32 1/4,10
Paris Johnson Jr.,N/A,,,,
Christian Jones,OLB,6-3,245,33 1/2,9 3/4
Elijah Jones,,,,,
Zay Jones,WR,6-2,200,32 1/2,9
Justin Jones,DT,6-3,309,33 1/2,10
Matthew Jones,G,6-4,315,32 3/4,9
Naquan Jones,DT,6-3,313,33,10
Tony Jones,,,,,
Nick Leverett,G,6-4,310,,
Roy Lopez,DT,6-2,318,,
Jesse Luketa,LB,6-3,252,32 3/4,10 1/2
Tyler Manoa,DT,6-5,315,,
Trey McBride,TE,6-4,246,32 1/2,10 1/4
Max Melton,CB,5-11,193,32 1/4,9 1/4
Chris Moore,WR,6-1,200,33 1/2,9 1/2
Jordan Murray,OT,6-9,325,,
Kyler Murray,QB,5-10,207,28 1/2,9 1/2
PJ Mustipher,DT,6-4,318,32 3/4,9
Bilal Nichols,DT,6-3,313,33 1/2,10 1/4
Carter O'Donnell,N/A,,,,
BJ Ojulari,LB,6-2,248,34 1/4,10 1/2
Julian Okwara,LB,6-4,239,34 1/2,10 1/4
Michael Palardy,P,5-11,200,,
Tejhaun Palmer,WR,6-2,210,,
Owen Pappoe,LB,6-0,225,31 3/4,9 1/4
Zach Pascal,WR,6-2,215,32,10
Ronnie Perkins,LB,6-3,253,33,9
Austen Pleasants,OT,6-7,330,,
Matt Prater,K,5-10,201,,
Tip Reiman,TE,6-4,273,33,10 1/2
Desmond Ridder,QB,6-3,207,32 3/4,10
Darius Robinson,,,,,
Jammie Robinson,SAF,5-11,190,29 3/4,8 3/4
Chad Ryland,K,6-0,195,30 1/4,9 1/2
Bernhard Seikovits,TE,6-5,262,,
Ben Stille,DE,6-4,296,,
Dante Stills,DT,6-4,286,32 1/2,9 3/4
Jason Taylor II,SAF,6-0,204,32,10
Dadrion Taylor-Demerson,DB,5-10,189,31,9 3/4
Luke Tenuta,OT,6-8,314,33,10 1/4
Xavier Thomas,LB,6-2,245,33,9 1/4
Starling Thomas V,CB,5-10,194,,
Jalen Thompson,DB,5-11,190,,
Khyiris Tonga,DT,6-4,338,31,9 3/4
Clayton Tune,QB,6-3,220,31 1/2,9 1/2
Travis Vokolek,TE,6-6,260,33,9 1/2
Xavier Weaver,WR,6-1,180,31 1/4,9
Kyzir White,OLB,6-2,234,31 3/4,10 1/4
Benton Whitley,LB,6-4,260,,
Jonah Williams,OT,6-5,312,33 3/4,10 1/4
Garrett Williams,CB,5-10,192,31,9 1/4
Divaad Wilson,CB,6-0,195,,
Mack Wilson,LB,6-1,246,32 1/2,9 1/4
Michael Wilson,WR,6-2,213,31,9 3/4
Russ Yeast,SAF,5-10,191,,
