Name,Position,Height,Weight,Arms,Hands
Micah Abernathy,DB,6-0,196,,
Junior Aho,DT,6-4,272,,
Tyler Allgeier,RB,5-10,220,31 1/2,9 3/4
Troy Andersen,LB,6-4,239,32 1/4,9 1/4
Jessie Bates,S,6-1,200,31 3/4,9 3/4
Kyler Baugh,DT,6-2,305,,
Matthew Bergeron,G,6-5,323,33 3/4,9 1/2
JD Bertrand,LB,6-1,233,30 3/4,9 3/4
Chris Blair,WR,6-2,198,,
Natrone Brooks,DB,5-11,176,,
Tanner Brown,K,6-0,180,,
Robert Burns,RB,5-11,222,,
Lorenzo Carter,LB,6-5,264,34,10 1/2
Matthew Cindric,N/A,,,,
Kirk Cousins,QB,6-3,205,31 3/4,10
Coy Cronk,OT,6-4,318,,
Dane Cruikshank,DB,6-1,209,31,8 3/4
Drew Dalman,C,6-3,305,,
Brandon Dorlus,DE,6-3,290,33 1/4,9 1/2
Phillip Dorsett,WR,5-10,192,30 1/4,9 1/2
Elijah Dotson,RB,5-9,202,,
Dylan Drummond,WR,6-0,186,,
Ross Dwelley,TE,6-5,235,,
Arnold Ebiketie,LB,6-2,250,34 1/4,10 1/4
Milo Eifler,LB,6-1,228,,
Kaden Elliss,LB,6-3,238,,
Rashaan Evans,ILB,6-2,232,32 1/4,10
John FitzPatrick,TE,6-7,255,,
Dee Alford,N/A,,,,
Eddie Goldman,NT,6-3,325,33 1/4,10 1/4
Ta'Quon Graham,N/A,,,,
Richie Grant,SAF,6-0,204,32 3/4,9 1/2
Jovaughn Gwyn,G,6-2,301,31 3/4,10
Antonio Hamilton,CB,6-0,188,,
Harrison Hand,CB,5-11,185,31 3/4,9 1/4
Demone Harris,DE,6-4,272,,
Zach Harrison,DE,6-5,274,36 1/4,10
DeMarcco Hellams,SAF,6-1,203,31,9
Matt Hennessy,C,6-4,309,32 1/4,10
Kyle Hinton,G,6-2,295,,
KhaDarel Hodge,WR,6-2,208,,
Mike Hughes,CB,5-10,191,31,8 3/4
Lamar Jackson,QB,6-2,205,33 1/4,9 1/2
Grady Jarrett,DT,6-0,288,32 1/2,10
Emory Jones,QB,6-2,210,,
Matthew Judon,N/A,,,,
Khalid Kareem,DE,6-4,268,34 1/2,11
Kevin King,CB,6-3,200,32,9 1/2
Younghoe Koo,K,5-10,193,,
Nate Landman,LB,6-3,238,30 1/2,9 1/2
Chris Lindstrom,G,6-3,307,34 1/4,9 1/2
Zion Logue,DT,6-6,314,33 1/2,10
Drake London,WR,6-4,213,33,9 1/2
LaCale London,DE,6-3,297,,
Tyreek Maddox-Williams,LB,6-0,228,,
DeAngelo Malone,LB,6-3,246,33 1/4,10
Jake Matthews,OT,6-5,309,33 1/2,10
Jesse Matthews,WR,6-0,190,,
Jase McClellan,RB,5-11,212,31 1/4,10 1/4
Ray-Ray McCloud,WR,5-9,190,30 1/4,9 1/4
Liam McCullough,LS,6-2,247,,
Kaleb McGary,OT,6-6,306,33,10 1/4
Darnell Mooney,WR,5-11,177,31,9 3/4
Rondale Moore,WR,5-7,180,28 1/4,8 3/4
Ryan Neuzil,G,6-3,301,,
Storm Norton,OT,6-7,317,,
Kehinde Oginni Hassan,N/A,,,,
David Onyemata,DT,6-3,300,,
Ruke Orhorhoro,DT,6-4,294,34,9 1/2
Brandon Parker,OT,6-8,320,35,9 3/4
Riley Patterson,K,6-0,195,30 1/2,8 1/2
Michael Penix Jr.,N/A,,,,
Nathan Peterman,QB,6-2,225,32,10
Clark Phillips III,CB,5-10,183,29 1/4,9 1/4
Bradley Pinion,P,6-5,255,32 1/4,10 1/4
Kyle Pitts,TE,6-6,247,33 1/2,10 3/4
Monty Rice,LB,6-0,233,30 3/4,8 3/4
Bijan Robinson,RB,5-11,215,31 1/4,9 3/4
Armani Rogers,TE,6-5,225,,
Benny Sapp III,SAF,5-11,200,,
Justin Simmons,FS,6-2,202,32 3/4,9 3/4
James Smith-Williams,DE,6-4,265,33 3/4,9 1/4
Kentavius Street,DE,6-2,287,33,10 1/4
Andrew Stueber,OT,6-7,318,34 1/4,10
A.J. Terrell,N/A,,,,
Bralen Trice,LB,6-4,227,32 1/2,9
Carlos Washington,RB,5-11,220,,
Casey Washington,WR,6-0,200,,
Tyrone Wheatley Jr.,N/A,,,,
Elijah Wilkinson,OT,6-6,314,,
Avery Williams,,,,,
Charlie Woerner,TE,6-5,241,31 1/4,10
Josh Woods,LB,6-1,230,,
