Name,Position,Height,Weight,Arms,Hands
Popo Aumavae,DT,6-3,315,,
Emani Bailey,RB,5-7,202,30,9 3/4
Amare Barno,LB,6-6,245,34,9
Shemar Bartholomew,CB,6-1,200,,
Raheem Blackshear,RB,5-9,190,,
Mike Boone,RB,5-10,206,,
Jonathon Brooks,RB,6-0,207,31 1/2,9 1/4
Anthony Brown,CB,5-11,196,31 3/4,8 1/4
Derrick Brown,DT,6-5,320,34 1/4,9
Deon Cain,WR,6-2,202,33,8 3/4
Ja'Tyre Carter,N/A,,,,
Tariq Castro-Fields,CB,6-1,197,30 3/4,8 3/4
Claudin Cherelus,LB,6-2,230,,
Dan Chisena,WR,6-3,202,,
Brady Christensen,C,6-6,300,32 1/4,10 1/4
Jadeveon Clowney,OLB,6-5,266,34 1/2,10
Jalen Coker,WR,6-3,213,33,10
Alex Cook,SAF,6-1,196,,
Austin Corbett,C,6-4,306,33 1/4,10 1/2
Jaden Crumedy,DT,6-5,305,33,10 1/2
Dominique Dafney,TE,6-2,243,,
Andy Dalton,QB,6-2,220,31 3/4,9 1/2
Kenny Dyson,LB,6-3,235,,
Ikem Ekwonu,OT,6-4,320,34,10 1/4
Akayleb Evans,CB,6-2,198,32,8 3/4
Caleb Farley,CB,6-2,197,33 1/2,8 3/4
Sam Franklin Jr.,N/A,,,,
Feleipe Franks,TE,6-6,241,34,9 3/4
Jordan Fuller,SAF,6-2,203,31,9
Cam Gill,LB,6-3,240,,
Shaq Thompson,OLB,6-0,230,33,9 1/2
Justin Hardee,DB,6-1,200,,
Charles Harris,LB,6-3,250,32 1/2,9 3/4
Jonathan Harris,DT,6-5,295,,
Marquis Haynes,LB,6-2,235,33 1/4,10
Azizi Hearn,DB,6-1,204,,
Johnny Hekker,P,6-5,225,,
Troy Hill,CB,5-11,182,29 1/2,8 3/4
Jaycee Horn,CB,6-1,200,33,9 1/4
Chuba Hubbard,RB,6-1,210,32,9
Robert Hunt,G,6-2,290,,
Thomas Incoom,LB,6-4,265,33 1/4,8 3/4
Trenton Irwin,WR,6-2,204,,
Mike Jackson,CB,6-1,210,32 1/2,9 3/4
Dane Jackson,CB,5-11,180,30 1/2,8 3/4
Tarron Jackson,LB,6-2,254,33 1/4,10
J.J. Jansen,N/A,,,,
Josey Jewell,ILB,6-2,236,32,10
Diontae Johnson,WR,5-10,183,30 3/4,9
Lonnie Johnson,CB,6-2,213,32 3/4,9 1/4
Cam Johnson,OLB,6-4,268,33 1/2,9
Dillon Johnson,RB,6-0,218,30,9 1/2
DJ Johnson,DB,6-1,191,32 3/4,9 3/4
Velus Jones Jr.,N/A,,,,
Jarrett Kingston,G,6-4,308,32 1/4,9 3/4
Shaq Lawson,DE,6-3,265,32 3/4,10
Xavier Legette,WR,6-3,227,32,9
Eku Leota,LB,6-3,252,33 1/2,9 1/2
Damien Lewis,G,6-2,327,33,10 1/4
T.J. Luther,N/A,,,,
Jordan Matthews,TE,6-3,212,33 1/4,10 1/2
Cade Mays,G,6-6,325,34 1/4,10
Dax Milne,WR,6-1,200,29 1/2,9 1/2
Jonathan Mingo,WR,6-2,220,32 1/4,10 1/2
Jackson Mitchell,LB,6-2,235,,
David Moore,WR,6-0,219,,
Taylor Moton,OT,6-5,325,34 1/4,10 3/4
Yosh Nijman,OT,6-7,314,34,10
Praise Olatoke,WR,6-2,197,,
Jayden Peevy,DT,6-5,308,35 1/2,10 1/2
Sam Pinckney,WR,6-4,200,,
Eddy Pineiro,K,5-11,190,30,8 1/4
Jack Plummer,QB,6-5,215,,
Shaquille Quarterman,LB,6-0,240,31 3/4,9 1/4
LaBryan Ray,DE,6-4,290,32 3/4,8 1/2
Andrew Raym,C,6-4,327,32 1/2,10
Jon Rhattigan,LB,6-0,236,,
Demani Richardson,SAF,6-1,215,32,10
Sam Roberts,DT,6-5,300,,
A'Shawn Robinson,N/A,,,,
Jammie Robinson,SAF,5-11,190,29 3/4,8 3/4
Miles Sanders,RB,5-11,211,30 3/4,9 1/4
Ja'Tavion Sanders,N/A,,,,
Nick Scott,SAF,5-11,200,,
Jamie Sheriff,LB,6-2,265,,
T.J. Smith,N/A,,,,
Chau Smith-Wade,CB,5-11,176,30 1/4,9 1/4
Stephen Sullivan,TE,6-5,245,35 1/2,10 1/4
Messiah Swinson,TE,6-8,260,,
Adam Thielen,WR,6-2,195,,
Ian Thomas,TE,6-4,260,32 1/2,10
Deven Thompkins,WR,5-8,155,,
Nick Thurman,DE,6-4,305,,
Tommy Tremble,TE,6-4,250,32,9 1/4
Shy Tuttle,DT,6-3,300,,
Trevin Wallace,LB,6-1,244,32 3/4,9 1/4
Brandon Walton,OT,6-5,300,,
DeShawn Williams,DE,6-1,295,,
Raequan Williams,DT,6-4,305,33 1/2,9 1/2
Jacoby Windmon,LB,6-2,250,,
D.J. Wonnum,N/A,,,,
Xavier Woods,FS,5-11,200,30 1/2,9 1/2
Chandler Wooten,LB,6-3,230,,
Russ Yeast,SAF,5-10,191,,
Bryce Young,QB,5-10,204,30 1/2,9 3/4
Chandler Zavala,G,6-3,322,,
