Name,Position,Height,Weight,Arms,Hands
Micah Abraham,DB,5-11,185,,
Cal Adomitis,LS,6-2,238,30 1/4,10
Erick All,TE,6-5,255,33,10 1/4
Tycen Anderson,SAF,6-2,205,33,10 1/4
Daijahn Anthony,SAF,6-0,200,32 1/2,9
Joe Bachie,LB,6-2,235,31 3/4,10 1/4
Jordan Battle,SAF,6-1,215,32,8 1/2
Vonn Bell,S,5-11,210,32 1/2,9 1/2
Gary Brightwell,RB,6-1,220,31,9 1/2
Nate Brooks,CB,6-0,192,,
Chase Brown,RB,5-10,211,31,10
Orlando Brown,OT,6-8,350,35,9 3/4
Trent Brown,OT,6-8,380,36,11
Jake Browning,QB,6-2,210,32 1/2,9
Cole Burgess,WR,6-1,192,,
Joe Burrow,QB,6-4,215,31,9
Jermaine Burton,WR,6-0,204,31,10
Alex Cappa,G,6-6,310,32 3/4,9 1/4
Zachary Carter,N/A,,,,
Ja'Marr Chase,N/A,,,,
Devin Cochran,OT,6-7,310,,
Andrew Coker,OL,6-7,315,34,9 1/2
Domenique Davis,DT,6-2,326,,
Jalen Davis,CB,5-10,190,,
Akeem Davis-Gaither,LB,6-2,238,31 1/4,9 1/2
Chris Evans,RB,5-11,215,32 1/2,9 3/4
Cody Ford,G,6-3,345,34,9 3/4
Mike Gesicki,TE,6-6,245,34 1/4,10 1/4
Joe Giles-Harris,LB,6-2,234,31 1/4,8 1/2
Cam Grandy,N/A,,,,
Lawrence Guy,DT,6-4,315,32 3/4,10 3/4
Trey Hendrickson,DE,6-4,265,32,10
KJ Henry,DE,6-4,255,33,10
Khalil Herbert,RB,5-9,212,31 1/4,8 1/2
Shaka Heyward,LB,6-3,238,34,9 1/2
Tee Higgins,WR,6-4,219,34 1/4,9 1/4
B.J. Hill,N/A,,,,
Daxton Hill,N/A,,,,
Trey Hill,C,6-4,335,33 3/4,9 1/2
Mike Hilton,CB,5-9,184,,
Sam Hubbard,DE,6-5,265,33 1/4,10
Tanner Hudson,TE,6-5,239,,
Andrei Iosivas,WR,6-3,210,32,8 3/4
Trenton Irwin,WR,6-2,204,,
D.J. Ivey,N/A,,,,
McKinnley Jackson,DT,6-2,326,34,10
Shedrick Jackson,WR,6-1,195,,
Kris Jenkins,NT,6-4,360,,
Cedric Johnson,DE,6-3,264,33 1/2,10
Raymond Johnson III,DE,6-3,264,,
Charlie Jones,WR,5-8,175,,
PJ Jules,SAF,6-0,203,,
Ted Karras,C,6-4,310,,
Jaylen Key,SAF,6-2,210,32 1/4,9 3/4
Jaxson Kirkland,OT,6-7,325,33 1/2,10 1/2
Matt Lee,C,6-4,310,32 1/4,9 1/4
Tashawn Manning,OL,6-3,335,34 1/2,9 3/4
Tanner McLachlan,TE,6-5,245,31 3/4,9 1/2
Evan McPherson,K,5-11,185,29,9 1/4
Kendall Milton,RB,6-2,220,31 3/4,9 3/4
Amarius Mims,OT,6-8,350,36 1/4,11 1/4
Zack Moss,RB,5-10,220,31 1/4,9 1/4
Myles Murphy,DE,6-5,270,33 3/4,8 1/2
Josh Newton,CB,5-11,190,31 1/4,9 1/4
Maema Njongmeta,LB,6-0,230,32 1/4,9 1/2
Joseph Ossai,DE,6-4,263,34,9 1/2
Germaine Pratt,LB,6-3,250,31 3/4,9 1/4
Kendric Pryor,WR,5-11,189,,
Sheldon Rankins,DT,6-2,305,33 1/2,9 1/2
Ryan Rehkow,P,6-5,235,31 1/4,9
Brad Robbins,P,6-1,205,30 1/2,9
Lance Robinson,CB,5-10,185,,
Justin Rogers,DB,5-11,181,31 1/2,8 1/4
Cameron Sample,DE,6-3,272,33 1/2,9 3/4
Drew Sample,TE,6-5,260,33 1/2,9 3/4
D'Ante Smith,N/A,,,,
Geno Stone,SAF,5-11,209,29 1/4,9 1/4
Andrew Stueber,OT,6-7,318,34 1/4,10
Cam Taylor-Britt,CB,5-11,202,31 1/2,10
Isaiah Thomas,LB,6-5,266,33 1/4,10 1/4
Jay Tufele,DT,6-3,309,32 1/2,9 1/2
DJ Turner II,N/A,,,,
Cordell Volson,G,6-6,315,34,10 1/2
Trayveon Williams,RB,5-8,210,30 1/2,9 1/4
Isaiah Williams,OT,6-3,296,,
Logan Wilson,LB,6-2,245,32 1/2,9 1/2
Marco Wilson,CB,6-0,191,30 3/4,9 3/4
Logan Woodside,QB,6-1,213,31,9 3/4
Cade York,K,6-1,206,31 3/4,8 3/4
Craig Young,LB,6-3,225,,
