Name,Position,Height,Weight,Arms,Hands
Bryan Anger,P,6-3,202,33 1/4,9 1/4
Brandon Aubrey,K,6-3,218,,
Josh Ball,OT,6-8,325,35,10
TJ Bass,OT,6-4,325,32 1/2,9 1/4
Cooper Beebe,C,6-4,335,31 1/2,9 1/4
Markquese Bell,SAF,6-3,205,32 1/2,9 1/2
DaRon Bland,CB,6-2,202,,
Andrew Booth,CB,6-0,194,31 1/2,9 1/2
Earl Bostick Jr.,N/A,,,,
Jalen Brooks,WR,6-2,205,34 1/4,9 1/2
Josh Butler,N/A,,,,
Caelen Carson,DB,6-0,195,31 1/2,8 1/4
Damone Clark,LB,6-3,240,33,9 3/4
Dalvin Cook,RB,5-10,210,32 1/2,9 1/4
Brandin Cooks,WR,5-10,189,30 3/4,9 3/4
Jalen Moreno-Cropper,WR,5-11,180,30 1/4,9
Jalen Dalton,DT,6-6,300,,
Braeden Daniels,G,6-4,297,33,9 1/2
Malik Davis,RB,5-10,205,,
Denzel Daxon,DE,6-2,322,,
Dee Delaney,DB,5-11,200,30 1/2,9 3/4
Trevon Diggs,CB,6-2,195,32 3/4,9 1/2
Rico Dowdle,RB,6-0,215,31 1/2,9 1/2
Chuma Edoga,G,6-4,315,34 3/4,9 3/4
Ezekiel Elliott,RB,6-0,226,31 1/4,10 1/4
Princeton Fant,TE,6-2,250,,
Jake Ferguson,TE,6-5,244,32 3/4,9 1/2
Ryan Flournoy,WR,6-1,200,31 3/4,10 1/4
Chauncey Golston,DE,6-5,268,34 3/4,11
C.J. Goodwin,N/A,,,,
Will Grier,QB,6-1,220,31 1/2,9 1/2
Tyler Guyton,OT,6-7,322,34 1/4,10 1/4
Kemon Hall,DB,5-11,190,,
Kelvin Harmon,WR,6-2,215,32 1/2,9 1/2
Darius Harris,LB,6-2,238,,
KJ Henry,DE,6-4,255,33,10
Brock Hoffman,C,6-4,302,,
Malik Hooker,FS,6-2,212,32 1/4,10 3/4
Phil Hoskins,DT,6-5,315,,
Buddy Johnson,LB,6-2,240,31 1/2,10
Durrell Johnson,DE,6-3,255,,
Emany Johnson,SAF,6-2,218,,
Linval Joseph,DT,6-4,329,34 1/2,10
Eric Kendricks,MLB,6-0,232,31,9 3/4
Marshawn Kneeland,DE,6-3,268,34 1/2,9 1/4
CeeDee Lamb,WR,6-2,200,32 1/4,9 1/4
Trey Lance,QB,6-4,226,31 1/2,9 1/4
Demarcus Lawrence,DE,6-3,265,33 3/4,11
Carl Lawson,DE,6-2,265,31 1/2,10 1/2
Jourdan Lewis,CB,5-10,195,31 3/4,9 1/4
Marist Liufau,LB,6-2,239,34 1/4,10
Hunter Luepke,RB,6-1,238,31 1/2,9 3/4
Zack Martin,G,6-4,315,33,9 1/2
Jonathan Mingo,WR,6-2,220,32 1/4,10 1/2
Brock Mogensen,LB,6-2,235,,
Israel Mukuamu,SAF,6-4,205,34,9 1/2
Osa Odighizuwa,DT,6-2,280,34 1/4,10 3/4
Amani Oruwariye,CB,6-2,200,31 1/2,9
DeMarvion Overshown,LB,6-2,220,32 1/4,9 1/2
Micah Parsons,LB,6-3,245,31 1/2,11
Jordan Phillips,DT,6-6,330,34 3/4,9 1/2
Dak Prescott,QB,6-2,238,32 1/4,10
Troy Pride,CB,5-11,195,30 3/4,9
Asim Richards,OT,6-4,307,34,10
Justin Rogers,DB,5-11,181,31 1/2,8 1/4
Cooper Rush,QB,6-3,225,32 1/2,9 1/4
Luke Schoonmaker,TE,6-5,250,33,9
Dakoda Shepley,C,6-4,315,,
Trent Sieg,LS,6-3,240,,
Mazi Smith,DT,6-3,337,33 3/4,9 3/4
Tyler Smith,G,6-6,332,34,10 3/4
Brevyn Spann-Ford,TE,6-7,270,33 1/2,10 1/4
Terence Steele,OT,6-6,310,35 1/4,9 1/2
John Stephens Jr.,N/A,,,,
Juanyeh Thomas,DB,6-3,217,32 1/2,9 3/4
Nathan Thomas,OT,6-5,325,33 3/4,10 3/4
Jalen Tolbert,WR,6-1,195,32 1/4,10
KaVontae Turpin,WR,5-9,153,,
Deuce Vaughn,RB,5-6,176,27 3/4,9 1/2
Nick Vigil,OLB,6-2,239,32 1/2,10 1/4
Luiji Vilain,LB,6-4,252,,
Matt Waletzko,OT,6-8,305,36 1/4,10 1/4
Carlos Watkins,DE,6-3,305,34 3/4,10 1/2
Tyrus Wheat,DE,6-2,260,33,9
Donovan Wilson,DB,6-0,204,33 1/2,9 3/4
Sam Williams,OLB,6-5,260,,
Seth Williams,,,,,
