Name,Position,Height,Weight,Arms,Hands
Jaire Alexander,CB,5-10,196,31 1/4,9 1/2
Deslin Alexandre,DE,6-3,264,,
Zayne Anderson,SAF,6-2,206,,
Corey Ballentine,DB,5-11,196,31 3/4,9 1/2
Michael Barrett,LB,6-0,230,32 1/4,8 1/2
Andrew Beck,RB,6-3,255,,
Chris Brooks,WR,6-2,210,,
Karl Brooks,DT,6-3,296,,
Omar Brown,DB,5-11,195,,
Javon Bullard,SAF,5-10,198,30 3/4,9
Kenny Clark,NT,6-3,314,32 1/4,10 1/2
Sean Clifford,QB,6-2,217,,
Edgerrin Cooper,LB,6-2,229,34,9 3/4
Brenton Cox Jr.,N/A,,,,
Jamin Davis,LB,6-4,234,33,9 1/2
LJ Davis,,,,,
Tyler Davis,,,,,
Andre Dillard,OT,6-5,315,33 1/2,10
AJ Dillon,N/A,,,,
Romeo Doubs,WR,6-2,204,32 1/4,10
Kingsley Enagbare,DE,6-4,258,34 3/4,10 3/4
James Ester,DT,6-3,289,,
DeShaun Fenwick,RB,6-2,222,,
John FitzPatrick,TE,6-7,255,,
Jonathan Ford,DT,6-5,338,32 3/4,9 1/4
Rashan Gary,DE,6-5,277,34 1/4,9 3/4
Travis Glover,OT,6-6,317,,
Ralen Goforth,LB,6-1,227,,
Kamal Hadden,DB,6-1,197,31,8 1/2
Alex Hale,N/A,,,,
Marquis Hayes,G,6-5,318,35,9
Malik Heath,WR,6-2,213,32 1/2,9 1/4
Julian Hicks,WR,6-2,201,,
Ty'Ron Hopper,N/A,,,,
Josh Jacobs,RB,5-10,223,31 3/4,10 1/4
Elgton Jenkins,G,6-5,311,34,10 1/4
Donovan Jennings,OT,6-4,323,,
Cornelius Johnson,G,6-2,245,,
Mike Jordan,CB,6-1,200,,
Kalen King,CB,5-11,190,31,8 3/4
Malik Knowles,WR,6-2,196,32 1/4,8 3/4
Tucker Kraft,TE,6-5,259,32 3/4,10
MarShawn Lloyd,RB,5-9,220,30 1/2,8 3/4
Jordan Love,QB,6-4,219,32 3/4,10 1/2
Johnny Lumpkin,TE,6-6,268,,
T.J. Luther,N/A,,,,
Jeremiah Martin,DE,6-4,267,,
Isaiah McDuffie,LB,6-1,227,30 1/4,9 3/4
Alex McGough,QB,6-3,214,,
Xavier McKinney,SAF,6-0,201,31,8 3/4
Brandon McManus,K,6-3,201,,
Bo Melton,WR,5-11,189,31 1/4,9
Ellis Merriweather,RB,6-1,220,,
Jacob Monk,C,6-3,308,32 1/2,10
Jordan Morgan,G,6-4,311,34 3/4,10
Arron Mosby,DE,6-3,250,,
Luke Musgrave,TE,6-6,253,32 3/4,10 1/2
Josh Myers,C,6-5,310,32,10 1/2
Brayden Narveson,K,6-0,215,,
Keisean Nixon,DB,5-10,200,,
Kitan Oladapo,SAF,6-2,216,32 1/2,9 1/4
Matthew Orzech,LS,6-3,245,,
La'Mical Perine,N/A,,,,
Jayden Reed,WR,5-11,187,30 1/2,9 1/4
Sean Rhyan,G,6-5,320,32 1/2,11 1/4
Robert Rochell,CB,6-0,193,32 1/2,8 1/2
Spencer Rolland,OT,6-6,315,,
Chris Russell,LB,6-2,235,,
Ben Sims,TE,6-5,250,,
Tedarrell Slaton,N/A,,,,
Lecitus Smith,G,6-3,314,32,9 3/4
Preston Smith,DE,6-5,265,34,10 3/4
Eric Stokes,OT,6-4,255,,
Messiah Swinson,TE,6-8,260,,
Kadeem Telfort,OT,6-7,322,,
Zach Tom,OT,6-4,304,33 1/4,10 1/2
Carrington Valentine,DB,6-0,189,32 1/4,9 1/4
Lukas Van Ness,DE,6-5,272,34,11
Quay Walker,LB,6-4,240,32 3/4,9 1/4
Rasheed Walker,OT,6-6,325,33 3/4,10 3/4
Christian Watson,WR,6-4,208,32 1/2,10 1/4
Jalen Wayne,WR,6-2,210,32 1/4,9 1/2
Daniel Whelan,P,6-5,216,,
Dontayvion Wicks,WR,6-1,206,32 1/2,10
Evan Williams,SAF,5-11,200,30 1/4,10 1/4
Malik Willis,QB,6-1,225,31 3/4,9 1/2
Emanuel Wilson,RB,5-11,226,,
Eric Wilson,LB,6-1,230,,
Colby Wooden,DE,6-4,273,33 3/4,10 1/2
Devonte Wyatt,DT,6-3,304,32 3/4,10
