Name,Position,Height,Weight,Arms,Hands
Joe Alt,OT,6-8,322,34 1/4,10
Eli Apple,CB,6-1,203,31 1/2,9 1/2
Karsen Barnhart,OT,6-5,316,33 1/2,10
Luke Benson,TE,6-4,233,,
Dicaprio Bootle,CB,5-10,180,,
Joey Bosa,LB,6-5,280,33 1/2,10 1/4
Bradley Bozeman,C,6-3,317,,
McCallan Castles,TE,6-4,250,,
DJ Chark,N/A,,,,
Chris Collins,,,,,
Junior Colson,LB,6-3,247,32 1/2,9 1/2
Braeden Daniels,G,6-4,297,33,9 1/2
Derius Davis,WR,5-8,165,29 1/4,8
Cameron Dicker,K,6-1,216,30,9
Will Dissly,TE,6-4,265,33 1/4,9 3/4
J.K. Dobbins,N/A,,,,
Bud Dupree,OLB,6-4,269,32 3/4,9 3/4
Troy Dye,LB,6-3,231,32 1/4,9 1/2
Justin Eboigbe,DT,6-5,292,33 1/2,9 3/4
Gus Edwards,RB,6-1,238,,
Simi Fehoko,WR,6-4,218,31 3/4,10 1/4
AJ Finley,SAF,6-0,188,,
Tucker Fisk,TE,6-4,285,,
Dez Fitzpatrick,WR,6-2,208,32 3/4,9 3/4
Poona Ford,DT,5-11,310,,
Morgan Fox,DE,6-3,275,,
Kristian Fulton,CB,5-11,197,30 3/4,9 1/4
Alohi Gilman,SAF,5-10,201,31,9 1/4
Josh Harris,LS,6-1,224,31 3/4,10
Cam Hart,CB,6-2,207,33,9 1/2
Hassan Haskins,RB,6-2,228,31 3/4,9 1/4
Taylor Heinicke,QB,6-1,210,,
Daiyan Henley,LB,6-1,225,33,9 1/2
Justin Herbert,QB,6-6,236,33,10
Christopher Hinton,N/A,,,,
Hayden Hurst,TE,6-4,245,32 3/4,9 3/4
Eddie Jackson,FS,6-0,202,32 1/4,9 1/4
Brenden Jaimes,OT,6-5,300,32 3/4,9 3/4
Derwin James,FS,6-2,215,33,9 1/2
Jeremiah Jean-Baptiste,LB,6-2,230,,
Tony Jefferson,S,5-11,211,31 3/4,9 1/4
Emany Johnson,SAF,6-2,218,,
Jaylen Johnson,,,,,
Zion Johnson,G,6-3,316,34,10 3/4
Quentin Johnston,WR,6-4,215,33 3/4,9 3/4
John Kelly,RB,5-10,208,31 1/2,9 1/2
Alex Leatherwood,OT,6-5,312,34,9 1/2
Deane Leonard,CB,6-0,195,,
Blake Lynch,LB,6-3,225,,
Khalil Mack,OLB,6-3,269,33 1/4,10 1/4
Scott Matlock,FB,6-4,296,,
Marcus Maye,FS,6-0,207,32 1/2,9 1/4
Ladd McConkey,WR,6-0,185,30 1/4,8 3/4
Jordan McFadden,G,6-2,303,34,9 1/2
Tyler McLellan,OT,6-8,355,,
Elijah Molden,CB,5-10,191,29 1/2,9 1/2
Tre'Mon Morris-Brash,N/A,,,,
Caleb Murphy,LB,6-3,254,32 3/4,10 1/4
Sam Mustipher,C,6-2,332,,
Nick Niemann,LB,6-3,234,,
Otito Ogbonnia,DT,6-4,320,34 1/2,10
Basil Okoye,DT,6-6,315,,
Josh Palmer,WR,6-1,210,33,9 3/4
Jaret Patterson,RB,5-8,195,28 3/4,9 1/4
Denzel Perryman,MLB,5-11,240,32,9 1/2
Trey Pipkins,OT,6-6,307,34,9 3/4
Shaquille Quarterman,LB,6-0,240,31 3/4,9 1/4
Jalen Reagor,WR,5-11,197,31 1/2,9 1/2
Brenden Rice,WR,6-3,210,33,9 3/4
Chris Rumph II,LB,6-2,244,33 3/4,9 1/4
Jamaree Salyer,G,6-4,325,33 3/4,10
Asante Samuel Jr.,N/A,,,,
Foster Sarell,OT,6-6,322,,
J.K. Scott,N/A,,,,
Nehemiah Shelton,CB,6-2,185,,
Laviska Shenault Jr.,N/A,,,,
Rashawn Slater,OT,6-4,315,33,10 1/2
Stone Smartt,TE,6-4,226,,
Tarheeb Still,DB,6-1,196,29 3/4,9 1/4
Easton Stick,QB,6-1,224,32 1/4,9 1/4
Teair Tart,DT,6-2,304,,
Ja'Sir Taylor,N/A,,,,
Eric Tomlinson,TE,6-6,265,33,10
Tuli Tuipulotu,LB,6-3,266,32 1/4,10 1/4
Kimani Vidal,RB,5-8,215,30 1/2,9 1/2
Shaun Wade,CB,6-1,195,33 1/2,9 1/4
Bucky Williams,C,6-3,300,,
Kendall Williamson,DB,6-0,203,,
