Name,Position,Height,Weight,Arms,Hands
Jordan Addison,WR,5-11,175,31,8 3/4
Cam Akers,RB,5-10,217,30 3/4,9
Brian Asamoah,LB,6-0,226,32 3/4,10
Travis Bell,DT,6-1,305,,
Mekhi Blackmon,DB,5-11,178,31,9 1/4
Garrett Bradbury,C,6-3,300,31 3/4,10 1/2
Blake Brandel,OT,6-7,315,,
Jonathan Bullard,DE,6-3,290,33 3/4,10
Camryn Bynum,S,6-0,200,31 3/4,9 3/4
Henry Byrd,G,6-5,310,,
Andre Carter II,LB,6-6,256,33 1/2,9 1/2
Blake Cashman,LB,6-1,235,30 1/4,8 3/4
Ty Chandler,RB,5-11,204,32 1/4,9
Coy Cronk,OT,6-4,318,,
Sam Darnold,QB,6-3,225,31,9 1/2
Christian Darrisaw,OT,6-5,315,34 1/4,9 1/4
Jamin Davis,LB,6-4,234,33,9 1/2
Andrew DePaola,LS,6-1,229,,
Akayleb Evans,CB,6-2,198,32,8 3/4
Dan Feeney,G,6-4,305,33 1/2,10 1/4
Jeremy Flax,OT,6-5,343,33 1/4,9
Dallas Gant,LB,6-2,224,,
Myles Gaskin,RB,5-10,199,29 1/2,8 3/4
Stephon Gilmore,CB,6-0,190,31,9 1/4
Jonathan Greenard,LB,6-3,259,35,9 1/4
Shaquill Griffin,CB,6-0,198,32 1/2,8 3/4
Kamu Grugier-Hill,OLB,6-2,230,,
C.J. Ham,N/A,,,,
Jonathan Harris,DT,6-5,295,,
N'Keal Harry,N/A,,,,
T.J. Hockenson,N/A,,,,
Ed Ingram,G,6-3,307,33 3/4,10
Lucky Jackson,WR,6-0,186,,
Theo Jackson,DB,6-1,198,,
Trishton Jackson,WR,6-1,191,32 1/2,9 3/4
Justin Jefferson,WR,6-1,195,33,9 1/4
Marcellus Johnson,OT,6-4,307,,
Aaron Jones,RB,5-9,208,32 1/2,9 1/2
Daniel Jones,QB,6-5,230,32 1/2,9 3/4
Jeshaun Jones,WR,6-1,188,,
Patrick Jones II,LB,6-4,264,33,10
Kelvin Joseph,CB,6-1,192,32,9 1/4
Michael Jurgens,C,6-4,311,,
Jordan Kunaszyk,ILB,6-3,235,,
Ricky Lee,OT,6-6,305,,
Bobby McCain,CB,5-9,196,30 1/2,9
J.J. McCarthy,N/A,,,,
Dwight McGlothern,CB,6-2,185,30 1/2,8 3/4
Jake McQuaide,LS,6-2,238,,
Josh Metellus,SAF,5-11,207,32 1/4,10 1/4
Fabian Moreau,CB,6-0,204,31 1/2,9
Nick Mullens,QB,6-1,210,,
Johnny Mundt,TE,6-4,233,,
Calvin Munson,LB,6-1,240,,
Gabriel Murphy,LB,6-2,247,30 1/2,9 1/4
Byron Murphy,CB,5-11,190,30 1/4,9
Nick Muse,TE,6-5,252,,
Jalen Nailor,WR,6-0,190,30 1/4,9 1/4
Josh Oliver,TE,6-5,259,33 1/2,10 3/4
Brian O'Neill,N/A,,,,
Ivan Pace Jr.,N/A,,,,
Julian Pearl,OT,6-6,315,35 1/4,10 1/4
Harrison Phillips,DT,6-3,307,34,10 1/2
Brandon Powell,WR,5-8,181,,
David Quessenberry,OT,6-5,310,34 1/2,10 3/4
Jalen Redmond,DE,6-2,291,32 3/4,10 1/4
Will Reichard,K,6-1,187,31,8 1/2
Sammis Reyes,TE,6-7,240,,
Bo Richter,LB,6-1,248,,
Dalton Risner,G,6-5,312,34,10 1/4
Cam Robinson,OT,6-6,335,35 1/2,10 1/2
Tyrese Robinson,G,6-3,317,33 1/4,9 3/4
Levi Drake Rodriguez,DL,6-4,290,,
John Parker Romo,K,5-11,175,,
Walter Rouse,OT,6-6,313,35 1/4,10 1/4
Brett Rypien,QB,6-2,210,30 1/2,9
Zavier Scott,WR,6-1,219,,
Trent Sherfield,WR,6-1,206,,
Harrison Smith,FS,6-2,211,32 3/4,10 1/4
Taki Taimani,DL,6-1,309,,
Ambry Thomas,CB,6-0,190,32 1/4,8 3/4
Thayer Thomas,WR,6-0,195,,
NaJee Thompson,CB,5-11,205,,
Jerry Tillery,DT,6-6,295,34 1/4,10 3/4
Robert Tonyan,TE,6-5,240,,
Maxwell Tooley,LB,6-2,225,,
Dallas Turner,LB,6-3,247,34 1/2,10
Andrew Van Ginkel,OLB,6-4,242,32 1/2,9 1/2
Jay Ward,SAF,6-1,188,32 1/2,8 1/4
Jihad Ward,LB,6-5,285,34,9 1/2
Leroy Watson IV,N/A,,,,
Jaylin Williams,DB,5-10,195,,
Jonah Williams,OT,6-5,312,33 3/4,10 1/4
Nahshon Wright,CB,6-4,195,33,9 1/4
Ryan Wright,P,6-3,245,,
