Name,Position,Height,Weight,Arms,Hands
Israel Abanikanda,RB,5-10,216,32,8 1/4
Davante Adams,WR,6-1,215,32 3/4,9
Tony Adams,G,6-1,302,,
Braelon Allen,RB,6-1,235,31 1/4,9 1/4
Bradlee Anae,DE,6-3,260,32 1/4,10 1/4
Zack Bailey,G,6-5,300,33,9 3/4
Zaire Barnes,LB,6-1,227,,
Brenden Bates,TE,6-5,255,,
Jarrick Bernard-Converse,SAF,6-1,205,,
Marquise Blair,DB,6-1,196,30 3/4,8 1/4
Jason Brownlee,WR,6-3,202,33 3/4,9 3/4
Anders Carlson,K,6-5,220,31 3/4,9 1/2
Michael Carter II,CB,5-10,184,29 1/4,9 1/2
Irvin Charles,WR,6-4,219,,
Jimmy Ciarlo,LB,6-2,225,,
Matthew Cindric,N/A,,,,
Chuck Clark,FS,6-0,209,32 1/4,9
Micheal Clemons,DE,6-5,263,35,10
Kameron Cline,DE,6-4,275,,
Tyler Conklin,TE,6-3,248,33,9 1/2
Malachi Corley,WR,5-11,215,32 1/4,9 1/4
Ashtyn Davis,SAF,6-1,202,30 1/2,9 1/2
Isaiah Davis,RB,6-1,220,31 1/4,10 1/4
Brandin Echols,CB,5-10,179,30 1/4,9 1/4
Sam Eguavoen,LB,6-1,236,,
Zach Evans,RB,5-11,211,31 3/4,10 1/4
Obinna Eze,OT,6-8,325,36 1/4,10
Olumuyiwa Fashanu,OT,6-6,312,34,8 1/2
Anthony Firkser,TE,6-2,246,,
Leki Fotu,DT,6-5,335,34 1/4,10 3/4
Sauce Gardner,CB,6-3,190,33 1/2,9 3/4
Xavier Gipson,WR,5-9,189,,
Breece Hall,RB,5-11,217,31 1/4,9 3/4
Jake Hanson,C,6-4,303,32 3/4,9 1/4
Bruce Hector,DT,6-2,296,,
Thomas Hennessy,LS,6-2,246,,
Anthony Hines III,LB,6-3,226,32 3/4,9 1/2
Jalyn Holmes,DT,6-5,283,34,10
Neal Johnson,TE,6-4,250,,
Jermaine Johnson II,OLB,6-5,254,34,10
Greg Joseph,K,6-0,206,,
Jaylen Key,SAF,6-2,210,32 1/4,9 3/4
Javon Kinlaw,DE,6-5,319,35,10 1/2
Bam Knight,RB,5-11,209,30 1/2,9 1/4
Zack Kuntz,TE,6-8,251,34,10 1/4
Allen Lazard,WR,6-5,227,32 1/4,9 3/4
Kohl Levao,OL,6-6,350,,
Alec Lindstrom,C,6-3,300,32 3/4,9 1/4
Adrian Martinez,C,6-3,208,,
Marcelino McCrary-Ball,LB,6-0,214,,
Will McDonald IV,DE,6-4,236,35,9 1/2
Connor McGovern,G,6-4,306,33,10 1/2
Braiden McGregor,DE,6-6,267,33 1/4,10
Takk McKinley,N/A,,,,
Jalen Mills,CB,6-0,200,31 1/4,9 1/4
Max Mitchell,OT,6-6,307,33 1/2,10
Jarius Monroe,DB,6-2,205,,
Thomas Morstead,P,6-4,225,32,9
Morgan Moses,OT,6-6,320,35 1/2,10
C.J. Mosley,N/A,,,,
Xavier Newman-Johnson,G,6-2,297,,
Kene Nwangwu,RB,6-1,210,,
Isaiah Oliver,CB,6-0,202,33 1/2,9 3/4
Riley Patterson,K,6-0,195,30 1/2,8 1/2
Haason Reddick,OLB,6-1,240,32 3/4,10 1/4
D.J. Reed,N/A,,,,
Marcus Riley,LB,6-0,233,,
Aaron Rodgers,QB,6-2,223,,
Jeremy Ruckert,TE,6-5,250,32 3/4,10 1/4
Wes Schweitzer,G,6-4,300,,
Kendall Sheffield,DB,5-10,212,31 1/2,9 1/4
Jamien Sherwood,ILB,6-2,216,34,10
Spencer Shrader,K,6-2,201,,
Jaylin Simpson,CB,6-0,179,32 1/2,10
John Simpson,,,,,
Jackson Sirmon,LB,6-2,240,,
Brandon Smith,DB,6-1,205,,
Brandon Smith,DB,6-1,205,,
Tyron Smith,OT,6-5,320,36 1/2,11
Qwan'tez Stiggers,N/A,,,,
Chazz Surratt,LB,6-2,233,30 1/4,9 3/4
Tre Swilling,CB,6-1,196,,
Malik Taylor,WR,6-1,220,,
Tyrod Taylor,QB,6-1,217,32 1/4,10
Leonard Taylor III,DT,6-3,305,34,9
Solomon Thomas,DE,6-3,295,33,9 1/2
Joe Tippmann,C,6-6,313,32 3/4,10 3/4
Jordan Travis,QB,6-1,200,31 1/2,9
Xazavian Valladay,RB,6-0,198,,
Alijah Vera-Tucker,G,6-5,308,32 1/4,9 3/4
Carter Warren,OT,6-5,311,35 1/2,9 1/4
Eric Watts,,,,,
Mike Williams,WR,6-4,218,33 1/2,9 1/2
Quinnen Williams,NT,6-3,303,33 1/4,9 3/4
Quincy Williams,OLB,5-11,230,,
Garrett Wilson,WR,6-0,183,32,10
Easop Winston,WR,5-11,199,,
Kenny Yeboah,TE,6-4,250,34 1/4,9 1/2
Greg Zuerlein,K,6-0,195,,
