Name,Position,Height,Weight,Arms,Hands
Montravius Adams,DT,6-4,304,32 3/4,9 1/4
Jamal Agnew,WR,5-10,190,,
Kyle Allen,QB,6-3,210,,
Calvin Anderson,OT,6-5,305,,
Spencer Anderson,G,6-5,305,,
Calvin Austin III,WR,5-9,162,30,9 1/4
Anthony Averett,CB,5-11,184,30 1/4,8 1/2
Keeanu Benton,DT,6-4,309,34,9 3/4
Beanie Bishop Jr.,N/A,,,,
Chris Boswell,K,6-2,185,31 1/4,8 3/4
Jack Colletto,FB,6-3,237,,
Dylan Cook,OT,6-5,280,,
James Daniels,G,6-4,327,33 3/4,9 1/2
Domenique Davis,DT,6-2,326,,
Shaquan Davis,WR,6-5,215,,
Terrell Edmunds,S,6-1,217,32 3/4,10 1/2
DeShon Elliott,DB,6-1,210,32 1/4,10 1/2
Jalen Elliott,SAF,6-0,205,31 3/4,9 1/4
Troy Fautanu,OT,6-4,317,34 1/2,9 1/2
Breiden Fehoko,DT,6-3,300,,
Justin Fields,QB,6-3,227,32 1/2,9 1/4
Minkah Fitzpatrick,FS,6-1,207,31 1/4,9 1/2
Zach Frazier,C,6-3,310,32 1/4,11
Pat Freiermuth,TE,6-5,258,32 1/2,10
Zyon Gilbert,DB,6-0,193,,
Thomas Graham Jr.,N/A,,,,
Devin Harper,LB,6-0,238,,
Najee Harris,,,,,
Marcus Haynes,DE,6-4,240,,
C.J. Henderson,N/A,,,,
Nate Herbig,G,6-4,334,33 1/4,10 1/4
Nick Herbig,LB,6-2,240,31 1/4,9 1/4
Cameron Heyward,DT,6-5,295,34 1/4,10 1/4
Connor Heyward,TE,6-0,230,32,9 1/2
Alex Highsmith,LB,6-4,242,33 1/4,9 1/4
Cole Holcomb,LB,6-1,240,,
Andy Isabella,WR,5-9,188,29 3/4,8 1/2
Donte Jackson,CB,5-10,180,29 1/2,8 3/4
D'Shawn Jamison,N/A,,,,
Van Jefferson,WR,6-1,200,32 3/4,9 1/4
Jaray Jenkins,WR,6-2,200,31 3/4,10
Brandon Johnson,LB,6-5,245,32 3/4,10
Cameron Johnston,P,5-11,194,31,9
Broderick Jones,OT,6-5,311,34 3/4,10 3/4
Damontae Kazee,S,5-11,174,31,8 3/4
Miles Killebrew,DB,6-2,222,32 1/4,9 1/2
Christian Kuntz,LS,6-1,227,,
DeMarvin Leal,DE,6-4,290,33 1/4,9 1/2
Logan Lee,DT,6-5,286,32 1/4,10 1/4
John Leglue,G,6-7,310,,
Eku Leota,LB,6-3,252,33 1/2,9 1/2
Isaiahh Loudermilk,DE,6-7,293,,
Dean Lowry,DE,6-6,296,31,9 1/2
Tyler Matakevich,ILB,6-1,235,31 1/4,9 1/2
Ryan McCollum,C,6-5,300,,
Mason McCormick,G,6-5,315,34,10
Lance McCutcheon,WR,6-3,202,,
Scott Miller,WR,5-9,174,,
Jeremiah Moon,LB,6-5,245,35,10 1/4
Dan Moore Jr.,N/A,,,,
Doug Nester,G,6-7,319,,
Adetokunbo Ogundeji,LB,6-4,251,35 1/2,9 1/2
Larry Ogunjobi,DT,6-3,305,32 3/4,10
Ayo Oyelola,DB,5-11,213,,
Cordarrelle Patterson,RB,6-2,220,31 3/4,9
David Perales,LB,6-3,255,,
La'Mical Perine,N/A,,,,
George Pickens,WR,6-3,200,32 1/2,8 3/4
James Pierre,CB,6-2,185,31 1/4,8 1/2
Joey Porter Jr.,N/A,,,,
MyCole Pruitt,TE,6-2,258,33 1/2,10 1/4
Patrick Queen,LB,6-0,230,31 3/4,10
Elandon Roberts,OLB,6-1,238,,
Mark Robinson,DB,5-11,206,,
Eric Rowe,CB,6-1,210,31 1/2,9 1/2
Darius Rush,CB,6-2,198,33 1/2,9 1/2
Max Scharping,G,6-6,325,33 3/4,10
Boston Scott,RB,5-6,203,,
Isaac Seumalo,G,6-4,303,33,10
Aaron Shampklin,RB,5-10,195,,
Ben Skowronek,WR,6-3,224,33 1/4,10 1/4
Jacob Slade,DT,6-4,305,,
Preston Smith,DE,6-5,265,34,10 3/4
Matt Sokol,TE,6-5,258,,
Cameron Sutton,CB,5-11,188,30,8 1/4
Cory Trice Jr.,N/A,,,,
Corliss Waitman,P,6-2,215,,
Jonathan Ward,RB,6-0,202,,
Jaylen Warren,RB,5-8,215,30,9 1/4
Darnell Washington,TE,6-7,265,34 1/2,11
Quez Watkins,WR,6-0,193,33,9
T.J. Watt,N/A,,,,
Ryan Watts,DB,6-3,206,34 1/2,9 1/2
Julius Welschof,LB,6-6,265,,
Mike Williams,WR,6-4,218,33 1/2,9 1/2
Rod Williams,N/A,,,,
Payton Wilson,LB,6-4,242,30 1/2,9
Roman Wilson,WR,5-10,186,30 1/2,9 1/2
Russell Wilson,QB,5-11,206,31,10 1/4
Jacoby Windmon,LB,6-2,250,,
Craig Young,LB,6-3,225,,
