Name,Position,Height,Weight,Arms,Hands
Myles Adams,DT,6-2,300,,
Jerome Baker,OLB,6-2,232,31 1/2,10 1/2
AJ Barner,TE,6-6,251,33 1/2,9
Michael Barrett,LB,6-0,230,32 1/4,8 1/2
Marquise Blair,DB,6-1,196,30 3/4,8 1/4
Jake Bobo,WR,6-4,211,32 1/4,10
Quinton Bohanna,DT,6-4,360,34,11
Tyus Bowser,LB,6-3,250,33 1/4,10 1/4
Miles Boykin,WR,6-4,220,33 1/2,10
Anthony Bradford,G,6-5,332,33 1/2,9 1/2
Brittain Brown,RB,6-1,205,,
Pharaoh Brown,TE,6-5,246,35 3/4,10 1/2
Tre Brown,CB,5-10,185,30 1/2,9 1/2
Coby Bryant,CB,6-1,193,30 3/4,9 1/2
Artie Burns,CB,6-0,187,33 1/4,9 1/2
Zach Charbonnet,RB,6-1,214,32,10
Ryan Cooper Jr.,N/A,,,,
Charles Cross,,,,,
McClendon Curtis,G,6-6,335,35,10 1/4
Jaelon Darden,WR,5-8,175,30 3/4,8 3/4
Michael Dickson,P,6-2,208,31 1/4,9 1/4
Tyrel Dodson,LB,6-0,237,31 3/4,9 1/4
Michael Dowell,SAF,6-1,215,,
George Fant,OT,6-5,316,,
Noah Fant,TE,6-4,249,33 1/2,9 3/4
AJ Finley,SAF,6-0,188,,
Stone Forsythe,OT,6-8,307,34 1/2,10
Eric Garror,CB,5-8,174,,
Trevis Gipson,LB,6-4,263,34,9 3/4
Matt Gotel,NT,6-1,350,,
Derick Hall,LB,6-3,254,34 1/2,10
Jaren Hall,QB,6-0,207,29 3/4,9 1/2
Johnathan Hankins,DT,6-3,325,33,9 1/2
N'Keal Harry,N/A,,,,
Christian Haynes,G,6-3,318,33 1/2,9
Faion Hicks,CB,5-10,192,,
George Holani,RB,5-10,218,29 3/4,9 3/4
Sam Howell,QB,6-1,220,30 3/4,9 1/4
Rayshawn Jenkins,DB,6-1,220,32 3/4,9 3/4
Michael Jerrell,OT,6-5,294,,
Josh Jobe,N/A,,,,
Dre'Mont Jones,N/A,,,,
Ernest Jones,LB,6-2,255,,
Tyrice Knight,LB,6-0,233,32 1/2,9 1/4
Sataoa Laumea,OL,6-4,319,33,10
Devere Levelston,DT,6-3,281,,
Tyler Lockett,WR,5-10,182,30,8 1/2
Julian Love,FS,5-11,195,31 3/4,9
Abraham Lucas,OT,6-6,322,34,10 1/2
Tyler Mabry,TE,6-3,260,,
Boye Mafe,LB,6-4,261,32 3/4,10
Kenny McIntosh,RB,6-0,204,30 1/2,9
DK Metcalf,WR,6-4,235,35,10
Mike Morris,C,6-5,290,,
Byron Murphy II,DT,6-0,306,32 1/2,10 1/4
Jason Myers,K,5-10,190,,
Mike Novitsky,N/A,,,,
Uchenna Nwosu,LB,6-2,251,33 3/4,9
Patrick O'Connell,N/A,,,,
Kenneth Odumegwu,DT,6-6,259,,
Ty Okada,DB,5-11,200,,
Olu Oluwatimi,C,6-3,309,32 3/4,8 3/4
Joshua Onujiogu,LB,6-2,265,,
Jason Peters,OT,6-4,328,,
Brandon Pili,DT,6-3,319,,
Cornell Powell,WR,6-0,204,32 3/4,10
Nehemiah Pritchett,CB,6-0,190,31 3/4,8 1/2
Jarran Reed,DT,6-3,306,33 1/2,10 1/2
Jerrick Reed II,SAF,5-9,196,,
John Rhys Plumlee,QB,6-0,200,,
Devin Richardson,LB,6-3,232,,
Roy Robertson-Harris,DE,6-5,290,,
Josh Ross,LB,6-0,229,30 1/2,9 3/4
Brady Russell,TE,6-3,250,,
Laviska Shenault Jr.,N/A,,,,
Jamie Sheriff,LB,6-2,265,,
Marcus Simms,WR,6-0,197,,
Geno Smith,QB,6-3,221,32 1/2,9 1/4
Tyreke Smith,LB,6-3,255,33 1/4,10 1/4
Jaxon Smith-Njigba,WR,6-0,197,30 1/2,9
Chris Stoll,LS,6-2,255,,
Jalen Sundell,OT,6-5,300,33 1/4,9 1/2
Drake Thomas,LB,5-11,228,,
Laken Tomlinson,G,6-3,323,33 3/4,10 1/4
Ezekiel Turner,N/A,,,,
Kenneth Walker III,RB,5-9,211,30 1/2,9 1/2
K'Von Wallace,N/A,,,,
Cody White,G,6-3,303,,
Connor Williams,C,6-5,310,33,10 1/2
Dee Williams,CB,5-10,190,,
Leonard Williams,DE,6-5,300,34 3/4,10 3/4
Damarion Williams,CB,5-10,180,29 3/4,8 3/4
Devon Witherspoon,CB,6-0,185,31 1/4,9
Riq Woolen,N/A,,,,
Cameron Young,DT,6-3,325,34 1/2,10
Dareke Young,WR,6-2,224,,
Ty Zentner,P,6-2,200,,
