Name,Position,Height,Weight,Arms,Hands
Eric Banks,DT,6-5,274,,
Marcus Banks,DB,6-0,190,,
Shaquil Barrett,LB,6-2,250,,
Graham Barton,C,6-5,314,33,9 1/2
Chris Braswell,LB,6-3,255,33 1/4,9 1/2
Ben Bredeson,G,6-5,315,31 1/4,10 1/4
C.J. Brewer,N/A,,,,
K.J. Britt,N/A,,,,
Jack Browning,P,5-11,190,,
Earnest Brown IV,DE,6-5,300,34 1/2,9 3/4
Marquez Callaway,WR,6-2,204,32 1/2,9 1/2
Jake Camarda,P,6-1,193,30 1/2,9 1/2
Devin Culp,TE,6-4,237,33,9 1/4
Lavonte David,OLB,6-1,233,31 3/4,8 3/4
Jamel Dean,DB,6-1,206,31 3/4,9 1/4
Evan Deckers,LS,6-3,252,,
Kalen DeLoach,LB,6-1,212,31 1/2,8 3/4
SirVocea Dennis,LB,6-0,230,33,10 3/4
Yaya Diaby,LB,6-3,270,34,10 1/2
Payne Durham,TE,6-5,255,33 1/2,9 3/4
Silas Dzansi,OT,6-5,335,,
Chase Edmonds,RB,5-9,201,31 1/4,9
Mike Edwards,SAF,5-10,205,,
Mike Evans,WR,6-5,231,35 1/4,9 3/4
Dallis Flowers,CB,6-1,196,,
Tyrek Funderburk,CB,6-0,185,,
Greg Gaines,DT,6-1,312,31 1/4,9 3/4
William Gholston,DT,6-6,281,34,10 1/2
Trenton Gill,P,6-4,219,31 1/4,9 1/4
Chris Godwin,WR,6-1,209,31 3/4,9 1/4
Luke Goedeke,OT,6-5,312,32 1/4,9 3/4
Mike Greene,,,,,
Antonio Grier Jr.,N/A,,,,
Daniel Grzesiak,LB,6-1,245,,
Luke Haggard,OL,6-7,305,,
Robert Hainsey,C,6-4,306,32 1/4,10
Bryce Hall,CB,6-1,202,32 1/4,9 3/4
Logan Hall,DE,6-6,283,32 3/4,9 3/4
Josh Hayes,DB,6-0,190,,
Troy Hill,CB,5-11,182,29 1/2,8 3/4
Dennis Houston,WR,6-1,198,,
Bucky Irving,RB,5-10,194,29 1/2,9 1/2
Keenan Isaac,DB,6-3,190,,
Christian Izien,SAF,5-10,200,,
Rakim Jarrett,WR,6-0,192,31 1/2,9 1/2
Kameron Johnson,WR,5-10,170,,
Deion Jones,LB,6-1,222,32 1/2,9 1/4
Vi Jones,N/A,,,,
Calijah Kancey,DT,6-0,280,30 3/4,9 1/4
Ko Kieft,TE,6-5,265,,
Elijah Klein,G,6-4,319,,
Tanner Knue,WR,5-11,178,,
Cody Mauch,G,6-6,303,32 1/2,9 3/4
Baker Mayfield,QB,6-1,215,30 1/4,9 1/4
Zyon McCollum,CB,6-2,199,30 3/4,9
Chase McLaughlin,K,6-0,190,,
Jalen McMillan,WR,6-1,192,32 1/4,10
Kaevon Merriweather,SAF,6-0,212,32,9 1/4
Lorenz Metz,OL,6-9,310,,
Ryan Miller,G,6-7,320,33 1/4,9 1/2
Ryan Neal,DB,6-3,200,,
Anthony Nelson,LB,6-7,271,35,10
Royce Newman,G,6-5,310,33 3/4,9
Raiqwon O'Neal,N/A,,,,
Sua Opeta,G,6-4,305,33 1/4,10
Cade Otton,TE,6-5,247,32 3/4,9 1/2
Trey Palmer,WR,6-1,190,32,9 3/4
Michael Pratt,QB,6-3,220,30 3/4,9 1/4
Jose Ramirez,LB,6-2,252,32 3/4,8 3/4
J.J. Russell,N/A,,,,
Sterling Shepard,WR,5-10,196,30 1/2,9 3/4
Justin Skule,OT,6-6,315,,
Tykee Smith,SAF,5-10,202,31 3/4,9 1/4
Ben Stille,DE,6-4,296,,
Tanner Taula,TE,6-6,255,,
Tavierre Thomas,CB,5-10,205,,
Cody Thompson,WR,6-2,205,31,9 1/2
Kyle Trask,QB,6-5,236,33,10 1/4
Zach Triner,LS,6-3,245,,
Joe Tryon-Shoyinka,LB,6-5,259,34,10 1/4
Sean Tucker,RB,5-10,205,30,9 1/2
Vita Vea,DT,6-4,347,32 3/4,10
Seth Vernon,P,6-5,230,,
Markees Watts,LB,6-1,240,,
Rachaad White,RB,6-0,214,31 1/4,9 3/4
Jordan Whitehead,FS,5-10,198,29 3/4,8 1/2
D.J. Williams,N/A,,,,
Antoine Winfield Jr.,N/A,,,,
Tristan Wirfs,OT,6-5,320,34,10 1/4
Rashad Wisdom,SAF,5-9,210,,
