Name,Position,Height,Weight,Arms,Hands
Nick Allegretti,G,6-4,320,,
Jonathan Allen,DE,6-3,300,33 3/4,9 1/2
Kazmeir Allen,WR,5-8,176,,
Chigozie Anusiem,DB,6-1,200,,
Dorance Armstrong,DE,6-4,255,34 3/4,10
John Bates,TE,6-6,259,32 1/4,9 1/2
Nick Bellore,N/A,,,,
Tyler Biadasz,C,6-4,318,32 1/4,10
Dyami Brown,WR,6-0,195,32 3/4,9 3/4
Noah Brown,WR,6-2,225,31 3/4,9 1/4
Percy Butler,SAF,6-0,191,31 3/4,9 1/4
Jeremy Chinn,SAF,6-3,220,32 1/4,9 3/4
Brandon Coleman,WR,6-6,225,34,9 1/4
Sam Cosmi,N/A,,,,
Jamison Crowder,WR,5-9,177,30 1/2,8 3/4
Jayden Daniels,QB,6-4,210,,
Anim Dankwah,OT,6-8,362,35 1/4,9 3/4
Carl Davis,DT,6-5,332,34 3/4,11
Jamin Davis,LB,6-4,234,33,9 1/2
Michael Davis,CB,6-2,195,,
Sheldon Day,DT,6-1,293,32 3/4,9 3/4
Michael Deiter,C,6-6,310,33 1/4,10 3/4
Jeff Driskel,QB,6-4,231,33,9 3/4
Austin Ekeler,RB,5-10,200,,
Zach Ertz,TE,6-5,250,31 3/4,9 3/4
Viliami Fehoko Jr.,N/A,,,,
Clelin Ferrell,DE,6-4,265,34 1/4,10 1/2
Emmanuel Forbes,CB,6-0,180,32 1/4,8 1/2
Darrick Forrest,SAF,5-11,200,32,9 3/4
Dante Fowler Jr.,N/A,,,,
Zane Gonzalez,K,6-0,200,29 1/2,9
Julian Good-Jones,G,6-5,313,,
Jalen Graham,LB,6-3,220,33,10
Dominique Hampton,SAF,6-3,220,33 1/4,10
Bobby Hart,OT,6-5,310,33,10 1/4
Sam Hartman,QB,6-1,209,31 1/2,9 3/4
Marquis Hayes,G,6-5,318,35,9
Justin Hollins,LB,6-5,248,33 1/2,10 1/2
Jalyn Holmes,DT,6-5,283,34,10
Noah Igbinoghene,CB,5-11,197,31 3/4,9 1/2
Tyree Jackson,TE,6-7,249,34 1/4,10 1/4
Javontae Jean-Baptiste,DE,6-4,260,33 3/4,10
Andre Jones Jr.,N/A,,,,
Greg Joseph,K,6-0,206,,
Marshon Lattimore,CB,6-0,192,31 1/4,9
Cornelius Lucas,OT,6-8,328,36 3/4,10
Frankie Luvu,LB,6-3,236,,
Jordan Magee,LB,6-3,226,32,8 3/4
Marcus Mariota,QB,6-4,222,32,10
Quan Martin,N/A,,,,
Phidarian Mathis,DT,6-4,312,34 3/4,10 1/2
Luke McCaffrey,WR,6-2,198,30 1/4,9 3/4
Terry McLaurin,WR,6-0,210,31 1/2,9 1/4
Jeremy McNichols,RB,5-9,214,31 1/2,10
Chris Moore,WR,6-1,200,33 1/2,9 1/2
Haggai Ndubuisi,DL,6-7,298,,
Jer'Zhan Newton,N/A,,,,
Ben Nikkel,DB,6-1,210,,
Efe Obada,DE,6-6,265,,
K.J. Osborn,N/A,,,,
Tyler Ott,LS,6-3,253,,
Tyler Owens,DB,6-2,213,33 1/2,9 1/4
Chris Paul,G,6-4,324,33 3/4,9 1/2
Daron Payne,NT,6-3,320,33,9 1/2
Norell Pollard,DT,6-0,260,,
Bobby Price,DB,6-3,208,,
Jeremy Reaves,DB,5-11,200,,
Sheldrick Redwine,DB,6-0,205,31 3/4,9 1/2
Brian Robinson,RB,6-1,228,32,9 3/4
Chris Rodriguez Jr.,N/A,,,,
Mike Sainristil,CB,5-10,182,31,8 1/2
Max Scharping,G,6-6,325,33 3/4,10
Trent Scott,OT,6-5,320,,
Austin Seibert,K,5-9,200,30 1/2,9
Kevon Seymour,CB,6-0,188,30 3/4,9
Ben Sinnott,TE,6-4,247,32 1/2,9 1/2
Benjamin St-Juste,CB,6-3,200,32 3/4,9 1/2
Mike Strachan,WR,6-5,225,34 1/4,10
Armani Taylor-Prioleau,N/A,,,,
Mitchell Tinsley,WR,6-1,205,32 1/2,10
Brycen Tremayne,WR,6-4,212,,
Cole Turner,TE,6-6,240,33,10
Bobby Wagner,MLB,6-0,242,,
Mykal Walker,LB,6-3,230,32 1/2,10
Carlos Watkins,DE,6-3,305,34 3/4,10 1/2
Tress Way,P,6-1,220,,
Michael Wiley,RB,5-11,203,,
Andrew Wylie,OT,6-6,309,,
Colson Yankoff,TE,6-4,225,,
Cade York,K,6-1,206,31 3/4,8 3/4
Olamide Zaccheaus,WR,5-8,193,,
