Team Name,Stadium Name,Indoor/Outdoor,Kicker Name
Arizona Cardinals,State Farm Stadium,Indoor,Matt Prater
Atlanta Falcons,Mercedes-Benz Stadium,Indoor,Younghoe Koo
Baltimore Ravens,M&T Bank Stadium,Outdoor,Justin Tucker
Buffalo Bills,Highmark Stadium,Outdoor,Tyler Bass
Carolina Panthers,Bank of America Stadium,Outdoor,Eddy Pineiro
Chicago Bears,Soldier Field,Outdoor,Cairo Santos
Cincinnati Bengals,Paycor Stadium,Outdoor,Evan McPherson
Cleveland Browns,FirstEnergy Stadium,Outdoor,Cade York
Dallas Cowboys,AT&T Stadium,Indoor,Brandon Aubrey
Denver Broncos,Empower Field at Mile High,Outdoor,Wil Lutz
Detroit Lions,Ford Field,Indoor,Riley Patterson
Green Bay Packers,Lambeau Field,Outdoor,Anders Carlson
Houston Texans,NRG Stadium,Indoor,Ka'imi Fairbairn
Indianapolis Colts,Lucas Oil Stadium,Indoor,Matt Gay
Jacksonville Jaguars,TIAA Bank Field,Outdoor,Brandon McManus
Kansas City Chiefs,GEHA Field at Arrowhead Stadium,Outdoor,Harrison Butker
Las Vegas Raiders,Allegiant Stadium,Indoor,Daniel Carlson
Los Angeles Chargers,SoFi Stadium,Outdoor,Cameron Dicker
Los Angeles Rams,SoFi Stadium,Outdoor,Joshua Karty
Miami Dolphins,Hard Rock Stadium,Outdoor,Jason Sanders
Minnesota Vikings,U.S. Bank Stadium,Indoor,Will Reichard
New England Patriots,Gillette Stadium,Outdoor,Chad Ryland
New Orleans Saints,Caesars Superdome,Indoor,Blake Grupe
New York Giants,MetLife Stadium,Outdoor,Graham Gano
New York Jets,MetLife Stadium,Outdoor,Greg Zuerlein
Philadelphia Eagles,Lincoln Financial Field,Outdoor,Jake Elliott
Pittsburgh Steelers,Acrisure Stadium,Outdoor,Chris Boswell
San Francisco 49ers,Levi's Stadium,Outdoor,Jake Moody
Seattle Seahawks,Lumen Field,Outdoor,Jason Myers
Tampa Bay Buccaneers,Raymond James Stadium,Outdoor,Chase McLaughlin
Tennessee Titans,Nissan Stadium,Outdoor,Nick Folk
Washington Commanders,FedExField,Outdoor,Joey Slye
