Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,R_ATT,R_YDS,R_TD,FL,G,FPTS,FPTS/G,ROST,Score,Weighted Score
1,Joe Burrow,460,652,70.6,4918,7.5,43,9,48,42,201,2,5,17,381.9,22.5,97.9%,2170.37,100.0
2,Jared Goff,390,539,72.4,4629,8.6,37,12,31,35,56,0,0,17,336.5,19.8,87.5%,2016.69,92.92015829214021
3,Baker Mayfield,407,570,71.4,4500,7.9,41,16,40,60,378,3,2,17,381.8,22.5,94.0%,2014.32,92.81097541312128
4,Lamar Jackson,316,474,66.7,4172,8.8,41,4,23,139,915,4,5,17,434.4,25.6,98.5%,1946.12,89.66908834599454
5,Sam Darnold,361,545,66.2,4319,7.9,35,12,48,67,212,1,4,17,319.8,18.8,37.5%,1899.24,87.50938650278485
6,Geno Smith,407,578,70.4,4320,7.5,21,15,50,53,272,2,0,17,281.1,16.5,38.0%,1893.1299999999999,87.22790659105252
7,Patrick Mahomes II,392,581,67.5,3928,6.8,26,11,36,58,307,2,0,16,293.9,18.4,96.1%,1744.69,80.3894650038928
8,Kyler Murray,372,541,68.8,3851,7.1,21,11,30,78,572,5,4,17,308.4,18.1,89.2%,1741.1800000000003,80.22776377800403
9,Justin Herbert,332,504,65.9,3870,7.7,23,3,41,69,306,2,2,17,288.6,17.0,87.1%,1713.32,78.94428909046515
10,Josh Allen,307,483,63.6,3731,7.7,28,6,14,102,531,12,2,17,385.1,22.7,99.1%,1710.15,78.79825123118668
11,Bo Nix,376,567,66.3,3775,6.7,29,12,24,92,430,4,0,17,329.1,19.4,91.0%,1705.9299999999998,78.60384121031754
12,Brock Purdy,300,455,65.9,3864,8.5,20,12,31,66,323,5,3,15,279.0,18.6,89.1%,1705.5400000000002,78.58587440744103
13,Aaron Rodgers,368,584,63.0,3897,6.7,28,11,40,22,107,0,2,17,267.6,15.7,22.4%,1701.5000000000002,78.39975675713029
14,Jayden Daniels,331,480,69.0,3568,7.4,25,9,47,148,891,6,0,17,364.7,21.5,98.4%,1675.4899999999998,77.2015092114416
15,C.J. Stroud,336,532,63.2,3727,7.0,20,12,52,52,233,0,4,17,232.4,13.7,71.6%,1629.1000000000001,75.0643810436409
16,Matthew Stafford,340,517,65.8,3762,7.3,20,8,28,30,41,0,2,16,222.6,13.9,50.4%,1621.9,74.73268622130495
17,Caleb Williams,351,562,62.5,3541,6.3,20,6,68,81,489,0,5,17,260.5,15.3,81.0%,1591.3300000000002,73.32436528813685
18,Kirk Cousins,303,453,66.9,3508,7.7,18,16,28,23,0,0,2,14,192.3,13.7,18.0%,1502.0100000000002,69.20950674215796
19,Jordan Love,268,425,63.1,3389,8.0,25,11,14,25,83,1,0,15,244.9,16.3,75.9%,1478.69,68.13518406759204
20,Jalen Hurts,248,361,68.7,2903,8.0,18,5,38,150,630,14,5,15,320.0,21.3,98.3%,1360.02,62.66820843334086
21,Tua Tagovailoa,291,399,72.9,2867,7.2,19,7,21,17,49,0,2,11,188.5,17.1,51.6%,1250.6299999999999,57.628750570100465
22,Russell Wilson,214,336,63.7,2482,7.4,16,5,33,43,155,2,4,11,177.8,16.2,23.7%,1095.3000000000002,50.472895465455366
23,Bryce Young,234,384,60.9,2403,6.3,15,9,29,43,249,6,2,14,203.8,14.6,43.9%,1081.3400000000001,49.8297760599262
24,Drake Maye,225,338,66.6,2276,6.7,15,10,34,54,421,2,6,14,187.1,13.4,75.7%,1041.3300000000002,47.986566359695395
25,Derek Carr,189,279,67.7,2145,7.7,15,5,8,17,71,1,0,10,156.0,15.6,15.1%,942.5799999999999,43.43727973390703
26,Daniel Jones,216,341,63.3,2070,6.1,8,7,29,67,265,2,2,10,142.3,14.2,19.7%,927.39,42.73749579622881
27,Jameis Winston,181,296,61.1,2121,7.2,13,12,24,25,83,1,2,12,143.2,11.9,11.5%,926.6600000000001,42.70386562674197
28,Will Levis,190,301,63.1,2091,6.9,13,12,41,45,183,0,6,12,132.0,11.0,9.6%,921.78,42.4790502471587
29,Trevor Lawrence,172,284,60.6,2045,7.2,11,7,18,26,119,3,1,10,152.2,15.2,51.4%,902.88,41.60835133852681
30,Gardner Minshew II,203,306,66.3,2013,6.6,9,10,29,19,58,0,4,10,106.5,10.7,3.7%,870.5500000000001,40.1189494487877
31,Dak Prescott,185,286,64.7,1978,6.9,11,8,21,13,54,1,1,8,124.5,15.6,76.9%,862.57,39.751321020698676
32,Anthony Richardson Sr.,126,264,47.7,1814,6.9,8,12,14,86,499,6,3,11,175.5,16.0,41.4%,849.7299999999999,39.159798587532876
