Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,REC_YDS,Y/R,REC_TD,FL,G,FPTS,FPTS/G,ROST,Score,Weighted Score
1,Saquon Barkley,345,2005,5.8,72,17,13,33,43,278,8.4,2,1,16,355.3,22.2,99.0%,986.04,100.0
2,Derrick Henry,325,1921,5.9,87,19,16,19,22,193,10.2,2,1,17,336.4,19.8,98.7%,944.955,95.83540287674982
3,Bijan Robinson,304,1456,4.8,37,5,14,61,72,431,7.1,1,0,17,341.7,20.1,98.7%,735.8900000000001,74.6434472342453
4,Jahmyr Gibbs,250,1412,5.6,70,13,16,52,63,517,9.9,4,1,17,362.9,21.3,99.0%,721.61,73.19594943894256
5,Jonathan Taylor,303,1431,4.7,70,11,11,18,31,136,7.6,1,1,14,244.7,17.5,98.0%,703.2450000000001,71.33437401802279
6,Josh Jacobs,301,1329,4.4,38,7,15,36,43,342,9.5,1,3,17,293.1,17.2,98.1%,668.49,67.81141982504334
7,Kyren Williams,316,1299,4.1,30,2,14,34,40,182,5.4,2,3,16,272.1,17.0,97.6%,650.2850000000001,65.96606286681602
8,Chuba Hubbard,250,1195,4.8,38,8,10,43,54,171,4.0,1,3,15,241.6,16.1,93.3%,595.6200000000001,60.424923722542665
9,Aaron Jones Sr.,255,1138,4.5,41,3,5,51,62,408,8.0,2,3,17,241.6,14.2,89.3%,567.355,57.55983092252643
10,Bucky Irving,207,1122,5.4,56,8,8,47,52,392,8.3,0,1,17,244.4,14.4,98.1%,562.11,57.028169442388986
11,James Conner,236,1094,4.6,53,6,8,47,55,414,8.8,1,1,16,253.8,15.9,92.3%,551.72,55.97498302129688
12,Tony Pollard,260,1079,4.2,41,6,5,41,57,238,5.8,0,2,16,200.7,12.5,87.3%,532.07,53.983153071878206
13,Rico Dowdle,235,1079,4.6,27,2,2,39,49,249,6.4,3,2,16,197.8,12.4,42.6%,530.32,53.805763636179336
14,James Cook,207,1009,4.9,65,6,16,32,38,258,8.1,2,0,16,266.7,16.7,97.6%,519.535,52.71253788531519
15,Najee Harris,263,1043,4.0,36,9,6,36,48,283,7.9,0,0,17,204.6,12.0,82.7%,516.87,52.44239911609378
16,Joe Mixon,245,1016,4.1,59,8,11,36,52,309,8.6,1,0,14,240.5,17.2,96.6%,515.475,52.30099439449384
17,Chase Brown,229,990,4.3,40,8,7,54,65,360,6.7,4,1,16,255.0,15.9,94.5%,504.715,51.21030277842539
18,Alvin Kamara,228,950,4.2,24,3,6,68,89,543,8.0,2,0,14,265.3,19.0,94.5%,489.28999999999996,49.64674160947969
19,D'Andre Swift,253,959,3.8,56,5,6,42,52,386,9.2,0,0,17,214.5,12.6,88.5%,481.19999999999993,48.82669558959179
20,De'Von Achane,203,907,4.5,61,5,6,78,87,592,7.6,6,0,17,299.9,17.6,97.9%,476.485,48.34875776712315
21,J.K. Dobbins,195,905,4.6,61,6,9,32,38,153,4.8,0,0,13,191.8,14.8,42.8%,454.34000000000003,46.10402116509382
22,Breece Hall,209,876,4.2,42,3,5,57,76,483,8.5,3,2,16,240.9,15.1,96.6%,449.53999999999996,45.61746728431979
23,Tyrone Tracy Jr.,192,839,4.4,45,6,5,38,53,284,7.5,1,2,17,182.3,10.7,84.8%,419.88,42.61096976270362
24,David Montgomery,185,775,4.2,21,1,12,36,38,341,9.5,0,1,14,221.7,15.8,93.4%,403.26,40.92627695052356
25,Rhamondre Stevenson,207,801,3.9,33,2,7,33,41,168,5.1,1,3,15,175.9,11.7,83.0%,402.525,40.851773387530024
26,Brian Robinson Jr.,187,799,4.3,40,4,8,20,25,159,8.0,0,2,14,159.8,11.4,85.5%,398.775,40.47165316817532
27,Jordan Mason,153,789,5.2,38,9,3,11,14,91,8.3,0,1,12,115.0,9.6,62.5%,382.90999999999997,38.86349122682534
28,Tank Bigsby,168,766,4.6,65,4,7,7,12,54,7.7,0,1,16,129.0,8.1,73.1%,376.42,38.205629833862126
29,Kareem Hunt,200,728,3.6,20,1,7,23,32,176,7.7,0,0,13,155.4,12.0,32.8%,365.62000000000006,37.11088360212057
30,Rachaad White,144,613,4.3,56,2,3,51,57,393,7.7,6,3,16,199.6,12.5,72.7%,321.365,32.62495818677588
31,Tyler Allgeier,137,644,4.7,25,4,3,13,13,88,6.8,0,0,17,106.2,6.2,45.8%,314.805,31.960001216384704
32,Kenneth Walker III,153,573,3.7,28,5,7,46,53,299,6.5,1,0,11,181.2,16.5,94.0%,302.39500000000004,30.702056703800196
