Team,Rsh TD,Rec TD,Tot TD,2-PT,Weighted Score,Score
Lions,24,35,61,0,100.0,39.150000000000006
Ravens,19,39,60,1,97.741273100616,38.6
Bills,29,26,58,1,91.37577002053388,37.050000000000004
Bengals,10,39,52,1,75.35934291581107,33.15
Buccaneers,15,34,50,1,72.07392197125256,32.35
Commanders,23,24,48,4,67.96714579055441,31.35
Eagles,28,19,47,3,65.91375770020534,30.85
Packers,19,27,47,2,64.47638603696096,30.5
Vikings,9,32,44,0,53.59342915811087,27.85
Chiefs,15,26,42,0,50.30800821355235,27.05
Seahawks,17,17,39,0,38.19301848049281,24.1
Broncos,11,23,39,0,38.19301848049281,24.1
Rams,14,20,38,0,36.550308008213555,23.700000000000003
Colts,17,17,35,1,32.03285420944558,22.6
Saints,15,19,35,1,32.03285420944558,22.6
Cardinals,16,16,35,3,30.800821355236135,22.3
Texans,14,19,35,0,30.595482546201225,22.25
Steelers,13,20,35,0,30.595482546201225,22.25
Jets,8,25,34,3,30.184804928131413,22.150000000000002
Chargers,15,18,34,2,29.774127310061594,22.05
Falcons,13,18,35,2,29.36344969199177,21.95
49ers,14,18,34,0,27.92607802874743,21.6
Bears,12,19,33,3,26.488706365503084,21.250000000000004
Panthers,15,17,32,1,25.051334702258725,20.900000000000002
Titans,11,20,31,2,22.792607802874727,20.349999999999998
