Name,Position,Height,Weight,Arms,Hands
Josh Allen,QB,6-5,237,33 1/4,10 1/4
Alec Anderson,DG,5-8,166,,
Joe Andreessen,LB,6-1,232,,
Eli Ankou,DT,6-3,325,,
Tyler Bass,K,5-10,183,29 1/2,8 3/4
Christian Benford,CB,6-1,205,,
Terrel Bernard,LB,6-1,224,30 1/4,9 3/4
Cole Bishop,SAF,6-2,207,29 3/4,9 1/2
Ahmarean Brown,WR,5-9,167,,
Spencer Brown,OT,6-8,311,34 3/4,10 1/4
Shane Buechele,QB,6-0,210,30 1/4,9 1/2
Deon Cain,WR,6-2,202,33,8 3/4
DeWayne Carter,DT,6-3,305,33,10 1/4
Lewis Cine,SAF,6-2,199,32 1/4,9 1/2
Will Clapp,C,6-5,311,31 1/4,9 3/4
Travis Clayton,OT,6-7,301,,
Kameron Cline,DE,6-4,275,,
Brandon Codrington,N/A,,,,
Keon Coleman,WR,6-4,215,32 1/4,9 1/2
James Cook,DG,6-3,220,,
Amari Cooper,WR,6-1,210,31 1/2,10
Te'Cory Couch,N/A,,,,
Zach Davidson,TE,6-7,251,32,9 1/2
Ray Davis,G,6-1,198,,
Dion Dawkins,OT,6-5,320,35,10
Branson Deen,DT,6-1,298,,
Rasul Douglas,CB,6-2,209,32 1/2,9 1/4
Tommy Doyle,OT,6-8,320,35 1/4,10 1/2
Mike Edwards,SAF,5-10,205,,
David Edwards,G,6-6,308,33 1/2,9 3/4
Mike Edwards,SAF,5-10,205,,
Kaiir Elam,CB,6-1,191,31,9
A.J. Epenesa,N/A,,,,
Darrynton Evans,RB,5-10,203,31 3/4,9 1/4
Reid Ferguson,LS,6-2,235,,
Reggie Gilliam,FB,6-0,244,,
Frank Gore Jr.,N/A,,,,
Richard Gouraige,OT,6-5,306,34,10
Tylan Grable,OT,6-5,309,33 3/4,10 1/4
KJ Hamler,N/A,,,,
Damar Hamlin,S,6-0,200,32 1/4,9
Daequan Hardy,CB,5-9,178,30,8 1/4
Lucas Havrisik,K,6-2,188,,
Mack Hollins,WR,6-4,221,33 1/4,9 3/4
Micah Hyde,S,6-0,197,31 1/2,9 1/2
Ja'Marcus Ingram,N/A,,,,
Kareem Jackson,S,5-10,183,30,9 1/4
Quinton Jefferson,DE,6-4,291,33 1/2,9
Ty Johnson,RB,5-10,210,,
Austin Johnson,NT,6-4,314,32 3/4,10
Taron Johnson,CB,5-11,192,31,9 1/4
Kingsley Jonathan,DE,6-4,260,,
DaQuan Jones,DT,6-4,320,33 1/2,9 3/4
Dalton Kincaid,TE,6-4,240,32 3/4,10 1/4
Dawson Knox,TE,6-4,254,33 1/2,9 3/4
Cam Lewis,CB,5-9,183,,
Zion Logue,DT,6-6,314,33 1/2,10
Sam Martin,P,6-1,211,,
Connor McGovern,G,6-4,306,33,10 1/2
Matt Milano,OLB,6-0,223,32,9 1/2
Von Miller,OLB,6-3,250,33 1/2,9 1/4
Quintin Morris,TE,6-2,252,,
Nicholas Morrow,LB,6-0,216,,
Ed Oliver,DT,6-1,287,31 3/4,9 1/4
Jordan Phillips,DT,6-6,330,34 3/4,9 1/2
Taylor Rapp,FS,6-0,208,30 3/4,9
Greg Rousseau,N/A,,,,
Curtis Samuel,WR,5-11,195,31 1/4,9 1/2
Khalil Shakir,WR,6-0,190,29,9 1/2
Tyrell Shavers,WR,6-4,211,,
Dawuane Smoot,DE,6-3,264,33 1/4,9 1/4
Javon Solomon,DE,6-1,246,34,10 3/4
Baylon Spector,LB,6-0,233,31 1/2,10
Casey Toohill,DE,6-5,254,33 1/2,9 1/2
O'Cyrus Torrence,N/A,,,,
Mitchell Trubisky,QB,6-3,222,32,9 1/2
Edefuan Ulofoshio,LB,6-0,239,33,9 1/4
Marquez Valdes-Scantling,WR,6-4,206,32 1/4,10
Ryan Van Demark,OT,6-6,307,,
Sedrick Van Pran-Granger,C,6-4,310,31 1/2,9 1/2
Jalen Virgil,WR,6-1,210,,
Mike White,QB,6-5,216,32,9 1/2
Dorian Williams,LB,6-2,230,33 3/4,10 1/4
