Name,Position,Height,Weight,Arms,Hands
Keenan Allen,WR,6-2,211,32 3/4,10
Kiran Amegadjie,OT,6-5,326,36 1/4,9 3/4
Tyson Bagent,QB,6-3,213,30 1/4,9 1/2
Micah Baskerville,LB,6-0,224,31 1/4,9 3/4
Ryan Bates,N/A,,,,
Travis Bell,DT,6-1,305,,
Theo Benedet,OT,6-7,305,,
Andrew Billings,DT,6-1,311,33,10
Josh Blackwell,CB,5-11,180,,
Khari Blasingame,FB,6-0,233,,
Austin Booker,DE,6-6,245,34,9 1/4
Larry Borom,G,6-5,333,33 1/4,10 1/2
Jaquan Brisker,N/A,,,,
Kevin Byard,FS,5-11,212,,
Stephen Carlson,TE,6-4,240,,
DeAndre Carter,WR,5-8,190,,
Adrian Colbert,FS,6-2,205,,
Douglas Coleman III,N/A,,,,
Byron Cowart,DT,6-3,300,33 3/4,10
Jake Curhan,OT,6-6,316,33 1/2,10 1/4
Scott Daly,LS,6-1,245,,
Nate Davis,QB,6-1,226,32,9 1/2
Gervon Dexter Sr.,N/A,,,,
Tremaine Edmunds,MLB,6-5,250,34 1/2,9 1/2
T.J. Edwards,N/A,,,,
Darrynton Evans,RB,5-10,203,31 3/4,9 1/4
Gerald Everett,TE,6-3,252,33,8 1/2
Demetric Felton,RB,5-9,190,31 1/2,9 1/2
Jonathan Ford,DT,6-5,338,32 3/4,9 1/4
Royce Freeman,RB,6-0,238,32,9 1/2
Chris Glaser,G,6-4,306,,
Kyler Gordon,CB,6-0,200,31,9 1/4
Daniel Hardy,TE,6-4,249,31 3/4,10
Khalil Herbert,RB,5-9,212,31 1/4,8 1/2
Elijah Hicks,SAF,5-11,200,,
Travis Homer,RB,5-10,202,31 1/2,10
John Jackson,WR,5-10,175,,
Teven Jenkins,OT,6-6,320,33 1/2,9 1/2
Collin Johnson,WR,6-6,220,31 3/4,9
Jaylon Johnson,CB,6-0,195,31 1/2,9 1/2
Roschon Johnson,RB,6-0,225,32,9 3/4
Braxton Jones,OT,6-5,310,35 1/2,10 1/4
Carl Jones,LB,6-2,230,,
Jaylon Jones,DB,5-11,190,,
Velus Jones Jr.,N/A,,,,
Cole Kmet,TE,6-6,260,33,10 1/2
Doug Kramer,C,6-2,300,,
Jamree Kromah,DE,6-4,275,,
Marcedes Lewis,TE,6-6,267,34 1/2,10
Dashaun Mallory,DT,6-1,275,,
Jacob Martin,N/A,,,,
Jake McQuaide,LS,6-2,238,,
DJ Moore,N/A,,,,
Tarvarius Moore,DB,6-1,200,,
Bill Murray,G,6-2,240,,
Rome Odunze,WR,6-3,215,32 1/4,9 1/4
Amen Ogbongbemiga,LB,6-0,231,32 3/4,9 1/2
Jonathan Owens,DB,5-11,210,,
Zacch Pickens,DT,6-4,300,34 1/2,10 1/2
Austen Pleasants,OT,6-7,330,,
Matt Pryor,OT,6-7,332,,
Teagan Quitoriano,TE,6-6,259,33 3/4,9 1/2
Austin Reed,QB,6-1,220,30 1/4,10
Sam Roberts,DT,6-5,300,,
Dominique Robinson,DE,6-5,253,33 1/4,9 3/4
Jack Sanborn,LB,6-2,234,31 1/2,9 3/4
Cairo Santos,K,5-8,175,28 1/2,9
Patrick Scales,LS,6-3,226,,
Tyler Scott,,,,,
Noah Sewell,LB,6-2,253,31 3/4,10
Coleman Shelton,C,6-5,285,31 1/2,8 1/2
Terell Smith,CB,6-0,207,33,9
Ameer Speed,DB,6-3,215,,
Tyrique Stevenson,CB,6-0,204,32 1/2,9 3/4
Reddy Steward,DB,5-11,178,,
Ricky Stromberg,C,6-4,313,33 1/4,9 3/4
Montez Sweat,DE,6-6,262,35 3/4,10 1/2
Tommy Sweeney,TE,6-5,255,32 3/4,9 3/4
D'Andre Swift,N/A,,,,
Darrell Taylor,DE,6-4,267,33,9 3/4
Tory Taylor,P,6-4,223,32 1/4,9
Ro Torrence,DB,6-3,200,34 1/4,8 1/2
Samori Toure,WR,6-1,191,,
DeMarcus Walker,DE,6-4,280,33,10 1/2
Nsimba Webster,WR,5-10,180,,
Ian Wheeler,RB,5-11,205,,
Caleb Williams,QB,6-1,215,32,9 3/4
Chris Williams,G,6-6,320,33 1/2,10
Joel Wilson,TE,6-4,242,,
JT Woods,SAF,6-2,193,32 1/2,8 1/2
Darnell Wright,OT,6-6,333,33 3/4,9
