Name,Position,Height,Weight,Arms,Hands
Kris Abrams-Draine,CB,5-11,178,31,8 3/4
Nate Adkins,TE,6-3,252,,
Salvon Ahmed,RB,5-11,197,29 1/4,8 3/4
Kwon Alexander,MLB,6-1,227,30 1/4,9 1/4
Zach Allen,DE,6-5,285,34 3/4,10 1/4
Tyler Badie,RB,5-8,197,29 1/2,9 1/4
Levelle Bailey,LB,6-2,225,,
Quinn Bailey,OT,6-6,323,,
Michael Bandy,WR,5-10,190,,
Cody Barton,LB,6-2,237,32,9 1/4
Garett Bolles,OT,6-5,300,34,9 1/2
Nik Bonitto,LB,6-3,240,32 1/2,9 1/2
Baron Browning,LB,6-3,240,33 1/2,10
Michael Burton,RB,5-11,242,29 1/4,9 1/2
K.J. Cloyd,N/A,,,,
Jonathon Cooper,LB,6-4,257,32 1/4,9 3/4
Frank Crum,OT,6-7,315,34,10 1/2
Zach Cunningham,ILB,6-3,238,34 1/2,9 1/4
Kaden Davis,WR,6-1,190,,
Riley Dixon,P,6-4,221,32 1/4,9 3/4
Greg Dulcich,TE,6-4,245,33 1/2,10
Dieter Eiselen,G,6-4,300,,
Jonah Elliss,LB,6-2,246,33,10 1/2
Audric Estimé,N/A,,,,
Andrew Farmer,LB,6-4,250,,
Cameron Fleming,OT,6-5,320,34,10
Alex Forsyth,C,6-4,312,32 3/4,10 1/4
Mitchell Fraboni,LS,6-2,223,,
Troy Franklin,WR,6-3,180,32,8 3/4
John Franklin-Myers,DE,6-4,288,33,10
Nick Gargiulo,G,6-5,327,34,10 1/2
Matt Henningsen,DT,6-3,291,,
Lil'Jordan Humphrey,N/A,,,,
Jordan Jackson,DT,6-4,294,33 3/4,9 1/2
Brandon Jones,DB,6-1,187,,
D.J. Jones,N/A,,,,
Devon Key,SAF,6-0,208,,
Lucas Krull,TE,6-6,260,,
P.J. Locke,N/A,,,,
Wil Lutz,K,5-11,184,,
Damarri Mathis,CB,5-11,195,32,8 1/4
Tanner McCalister,SAF,5-11,191,,
Mike McGlinchey,OT,6-8,315,34,10
Jaleel McLaughlin,RB,5-7,187,,
Ja'Quan McMillian,N/A,,,,
Quinn Meinerz,G,6-3,320,33 1/2,10 1/4
Jordan Miller,DB,6-2,190,33,9 3/4
Marvin Mims Jr.,N/A,,,,
Riley Moss,CB,6-0,193,30,9 1/2
Quinton Newsome,CB,6-1,185,,
Bo Nix,QB,6-2,217,32,10 1/4
Alex Palczewski,OT,6-6,315,,
Donald Parham,TE,6-8,237,,
Matt Peart,OT,6-7,318,36 3/4,9 1/2
Ronnie Perkins,LB,6-3,253,33,9
A.T. Perry,N/A,,,,
Ben Powers,G,6-4,310,33 3/4,10
Josh Reynolds,WR,6-3,194,31 1/2,9 1/2
Malcolm Roach,DT,6-3,290,32,9 3/4
Drew Sanders,LB,6-5,234,32 1/4,9 3/4
Will Sherman,DB,6-2,190,,
David Sills,WR,6-3,211,32,9
Alex Singleton,LB,6-2,240,,
JL Skinner,N/A,,,,
Keidron Smith,DB,6-2,210,,
Tremon Smith,DB,6-0,190,,
Jarrett Stidham,QB,6-3,215,32,9 1/4
Justin Strnad,LB,6-3,235,31 3/4,9 1/4
Pat Surtain II,N/A,,,,
Courtland Sutton,WR,6-4,216,32 1/2,9 3/4
Reese Taylor,DB,5-10,188,,
Calvin Throckmorton,G,6-5,311,32 1/2,9 1/2
Dondrea Tillman,LB,6-3,270,,
Adam Trautman,TE,6-5,253,32 3/4,9 1/2
Delarrin Turner-Yell,SAF,5-11,200,31 3/4,10
Eyioma Uwazurike,DT,6-6,320,35 1/4,10 1/4
Devaughn Vele,WR,6-5,210,33 1/2,9 3/4
Levi Wallace,DB,6-0,179,32 3/4,9 1/2
Blake Watson,RB,5-9,195,,
Luke Wattenberg,C,6-5,300,34 1/4,9 1/2
Kristian Welch,LB,6-3,240,,
Javonte Williams,RB,5-10,220,31,9 1/2
Zach Wilson,QB,6-2,214,30 3/4,9 1/2
Thomas Yassmin,TE,6-5,251,,
