Name,Position,Height,Weight,Arms,Hands
Jamal Adams,S,6-1,213,33 1/2,9 1/4
Myles Adams,DT,6-2,300,,
Mitchell Agude,LB,6-4,245,,
Kwon Alexander,MLB,6-1,227,30 1/4,9 1/4
Maurice Alexander,LB,6-2,220,32 3/4,9
Alex Anzalone,MLB,6-3,238,32 1/4,9 1/4
Terrion Arnold,CB,6-0,199,31 3/4,9
Kayode Awosika,G,6-3,315,32 3/4,9
David Bada,DE,6-4,293,,
Mike Badgley,K,5-10,188,29,8 3/4
Derrick Barnes,LB,6-0,261,,
Jake Bates,K,5-10,202,,
Abraham Beauplan,LB,6-2,236,,
Brian Branch,SAF,6-0,203,30 3/4,9 1/2
Teddy Bridgewater,QB,6-2,212,33,9 1/4
Jack Campbell,OT,6-5,277,,
John Cominsky,DE,6-5,285,33 1/2,9 3/4
Marcus Davenport,DE,6-6,265,33 3/4,9 1/4
Carlton Davis,CB,6-1,206,32 3/4,9
Taylor Decker,OT,6-7,318,33 3/4,10
Khalil Dorsey,DB,5-8,185,,
Kingsley Eguakun,C,6-3,307,32 1/2,10 1/4
Jack Fox,P,6-2,218,31 3/4,9 1/4
Jake Fromm,QB,6-2,215,31 1/4,9
Connor Galvin,OT,6-7,300,32 1/2,9
Jahmyr Gibbs,RB,5-9,200,30 1/2,9 1/4
DaRon Gilbert,LB,6-1,222,,
Cam Gill,LB,6-3,240,,
Graham Glasgow,G,6-6,315,33 3/4,10
Jared Goff,QB,6-4,217,32 3/4,9
Antoine Green,WR,6-2,200,32 1/4,9
Erick Hallett,DB,5-11,190,,
Hogan Hatten,LS,6-2,239,,
Parker Hesse,TE,6-3,251,,
Hendon Hooker,QB,6-3,221,33,10 1/2
James Houston,LB,6-1,245,,
Aidan Hutchinson,DE,6-7,268,32 1/4,10 1/4
Jermar Jefferson,RB,5-10,215,30 1/2,9 3/4
Jamarco Jones,OT,6-4,293,35 1/4,9 1/2
Brandon Joseph,SAF,6-0,200,31,9
Greg Joseph,K,6-0,206,,
Kerby Joseph,SAF,6-1,203,33,10 1/4
Tom Kennedy,WR,5-10,195,,
Sam LaPorta,TE,6-3,245,32 1/4,10 1/4
David Long Jr.,N/A,,,,
Nate Lynn,DE,6-3,256,,
Christian Mahogany,G,6-3,319,33 1/2,10 1/2
Giovanni Manu,OL,6-7,354,,
Brodric Martin,DT,6-5,330,,
Matt McCrane,K,5-10,165,,
Alim McNeill,DT,6-2,315,32 3/4,9 1/2
Ifeatu Melifonwu,SAF,6-3,210,32 1/4,9
Kaevon Merriweather,SAF,6-0,212,32,9 1/4
James Mitchell,TE,6-4,246,33,9 3/4
David Montgomery,RB,5-11,224,31 1/2,9 1/4
Emmanuel Moseley,DB,5-11,195,,
Al-Quadin Muhammad,DE,6-4,250,33 1/4,9 1/2
Netane Muti,G,6-3,315,31 3/4,10 3/4
Ben Niemann,LB,6-2,235,,
Michael Niese,G,6-5,295,,
Morice Norris Jr.,N/A,,,,
Trevor Nowaske,LB,6-3,237,,
Pat O'Connor,N/A,,,,
Levi Onwuzurike,DT,6-3,290,33,10 1/4
Joshua Paschal,DE,6-3,274,32 3/4,9 3/4
Tim Patrick,WR,6-4,212,,
Kyle Peko,NT,6-1,305,,
Donovan Peoples-Jones,WR,6-2,204,33 1/2,10 1/4
Anthony Pittman,LB,6-3,242,,
Frank Ragnow,C,6-5,311,33 1/4,9 1/2
Ennis Rakestraw Jr.,N/A,,,,
Kalif Raymond,WR,5-8,180,,
D.J. Reader,N/A,,,,
Jalen Reeves-Maybin,LB,6-1,226,32 1/4,9 3/4
Craig Reynolds,RB,5-11,216,,
Amik Robertson,CB,5-9,183,30 1/4,9
Allen Robinson,WR,6-2,220,32,9 1/2
Malcolm Rodriguez,LB,5-11,234,30 1/4,9 3/4
Penei Sewell,OT,6-5,335,33 1/4,10 1/2
Dan Skipper,OT,6-9,330,33 1/2,10 1/2
Chris Smith,LB,6-1,266,34 1/4,9 1/2
Tre'Quan Smith,N/A,,,,
Za'Darius Smith,N/A,,,,
Colby Sorsdal,G,6-6,315,,
Amon-Ra St. Brown,N/A,,,,
Loren Strickland,SAF,5-10,202,,
Isaiah Thomas,LB,6-5,266,33 1/4,10 1/4
Stantley Thomas-Oliver,CB,6-0,190,31 1/4,9 3/4
Ezekiel Turner,N/A,,,,
Isaac Ukwu,DE,6-3,258,,
Sione Vaki,RB,5-11,213,29 1/4,8 3/4
Kindle Vildor,CB,5-11,190,32 1/4,9 3/4
Isaiah Williams,OT,6-3,296,,
Jameson Williams,WR,6-1,180,32 1/4,9 1/4
Jonah Williams,OT,6-5,312,33 3/4,10 1/4
Mekhi Wingo,DT,6-0,291,32,9 1/4
Brock Wright,TE,6-5,250,,
Kevin Zeitler,G,6-4,339,32 3/4,10 1/4
Shane Zylstra,TE,6-4,240,,
