Name,Position,Height,Weight,Arms,Hands
Cam Akers,RB,5-10,217,30 3/4,9
Azeez Al-Shaair,LB,6-2,228,32 1/2,9 1/2
Tremayne Anchrum,G,6-2,314,33 3/4,9 3/4
Will Anderson Jr.,N/A,,,,
Denico Autry,DT,6-5,285,,
Derek Barnett,DE,6-3,259,32 1/4,10
Andrew Beck,RB,6-3,255,,
Kris Boyd,DB,5-11,200,30 3/4,9
Shaun Bradley,LB,6-1,240,31 3/4,9 1/2
Nick Broeker,G,6-4,305,32 1/2,9 3/4
British Brooks,RB,5-11,225,,
Myles Bryant,CB,5-9,192,29 1/2,9 1/4
Calen Bullock,SAF,6-3,190,32 1/2,9
Solomon Byrd,DE,6-3,250,33 3/4,9 3/4
Nico Collins,WR,6-4,222,34 1/4,9 1/2
Braeden Daniels,G,6-4,297,33,9 1/2
Khalil Davis,DT,6-2,315,31 1/2,9 3/4
Tank Dell,WR,5-10,165,30 1/2,8 3/4
Stefon Diggs,WR,6-0,191,31 1/4,10
Mario Edwards,DE,6-3,280,33 1/4,11
Cameron Erving,G,6-5,315,34 1/4,10 1/2
Ka'imi Fairbairn,N/A,,,,
Foley Fatukasi,DT,6-4,318,34 1/4,10 1/4
Blake Fisher,OT,6-6,310,34 1/2,10
Cole Fotheringham,TE,6-4,243,,
Kendrick Green,G,6-3,310,32 1/4,10 1/4
Kenyon Green,OT,6-4,325,34 1/4,10 1/2
Troy Hairston,RB,5-11,245,,
Arlington Hambright,G,6-5,300,,
Jake Hansen,LB,6-1,230,,
Christian Harris,LB,6-2,232,32 1/4,9 3/4
Marcus Harris,WR,6-1,187,,
LaDarius Henderson,OT,6-4,315,35,10 3/4
Neville Hewitt,LB,6-2,234,,
Brandon Hill,SAF,5-11,195,30 3/4,9 1/2
Jamal Hill,LB,6-0,226,,
Kurt Hinish,DT,6-1,296,,
Ka'dar Hollman,N/A,,,,
Dylan Horton,DE,6-4,275,33 1/4,9 1/2
Tytus Howard,OT,6-5,322,34,10 3/4
Jerry Hughes,DE,6-2,254,33,9 3/4
Danielle Hunter,DE,6-5,263,34 1/4,10 1/2
Xavier Hutchinson,WR,6-3,210,31 1/2,9 1/2
Diontae Johnson,WR,5-10,183,30 3/4,9
Xavier Johnson,WR,6-1,210,,
Johnny Johnson III,WR,6-1,199,30 1/2,9 3/4
Brevin Jordan,TE,6-3,245,33,9 3/4
Jawhar Jordan,RB,5-10,186,30 1/4,8 1/2
Gregory Junior,CB,6-0,190,,
Dalton Keene,,,,,
Case Keenum,QB,6-1,215,31,9 1/4
Desmond King,DB,5-10,200,31 1/4,9 3/4
Kamari Lassiter,CB,6-0,180,31,9
Shaq Mason,G,6-1,310,,
John Metchie III,N/A,,,,
Davis Mills,QB,6-4,225,31 1/2,9 1/2
Joe Mixon,RB,6-1,220,,
Eric Murray,S,5-11,199,31 3/4,9
Chris Myarick,TE,6-5,261,,
Dare Ogunbowale,RB,5-11,205,31 1/2,9 1/4
Jeff Okudah,CB,6-1,205,32 3/4,9 1/4
Jarrett Patterson,C,6-4,310,31 1/2,10
Jayden Peevy,DT,6-5,308,35 1/2,10 1/2
Mark Perry,SAF,6-0,215,,
Del'Shawn Phillips,N/A,,,,
Dameon Pierce,RB,5-10,215,30 3/4,9 1/2
Jalen Pitre,SAF,6-0,200,30 3/4,9
Troy Pride,CB,5-11,195,30 3/4,9
Scott Quessenberry,C,6-3,310,31 3/4,9 3/4
Teagan Quitoriano,TE,6-6,259,33 3/4,9 1/2
D'Angelo Ross,N/A,,,,
Dalton Schultz,TE,6-5,242,31 1/4,9 1/2
Juice Scruggs,C,6-3,310,33 1/4,10 1/4
Tim Settle,DT,6-3,313,33,9 1/4
David Sharpe,OT,6-6,343,35 1/2,10
Steven Sims,WR,5-10,176,,
Kedon Slovis,QB,6-3,215,31 1/4,10
Irv Smith,TE,6-2,240,31 1/2,9 1/2
M.J. Stewart,N/A,,,,
Derek Stingley Jr.,N/A,,,,
Cade Stover,TE,6-4,251,32 3/4,9 3/4
C.J. Stroud,N/A,,,,
J.J. Taylor,N/A,,,,
Jaylon Thomas,G,6-5,311,,
Zach Thomas,ILB,5-11,242,,
Tommy Togiai,DT,6-2,296,31 3/4,9
Maxwell Tooley,LB,6-2,225,,
Henry To'oTo'o,N/A,,,,
Tommy Townsend,P,6-1,191,32 1/4,9 1/4
Laremy Tunsil,OT,6-5,313,34 1/4,10
Ezekiel Turner,N/A,,,,
Jimmie Ward,SAF,5-11,195,31,9 1/2
Jared Wayne,WR,6-3,210,,
Rashad Weaver,LB,6-4,259,33 1/2,9 3/4
Jon Weeks,LS,5-10,242,,
Devin White,LB,6-0,237,32 1/4,9 3/4
Robert Woods,WR,6-0,193,31,9 1/4
Russ Yeast,SAF,5-10,191,,
Kilian Zierer,OT,6-7,312,,
