Name,Position,Height,Weight,Arms,Hands
Adetomiwa Adebawore,DT,6-2,282,34,10 1/2
McTelvin Agim,DT,6-3,300,33 1/2,10 1/4
Salvon Ahmed,RB,5-11,197,29 1/4,8 3/4
Austin Ajiake,LB,6-1,223,,
Mo Alie-Cox,TE,6-5,267,,
Liam Anderson,LB,6-3,226,,
Genard Avery,DE,6-0,250,31,10 1/4
Jason Bean,QB,6-2,196,,
Julian Blackmon,SAF,6-0,202,31,9
Tanor Bortolini,C,6-4,303,31 1/2,10
Julius Brents,CB,6-3,198,34,9 3/4
Josiah Bronson,DT,6-3,295,,
Mason Brooks,G,6-6,315,,
Taven Bryan,DT,6-4,291,32 3/4,9 3/4
DeForest Buckner,DT,6-7,295,34 1/2,11 3/4
Jaylon Carlies,LB,6-3,227,34 1/4,10
Ryan Coll,C,6-5,324,,
Nick Cross,SAF,6-0,212,31 1/2,9
Marcel Dabo,SAF,6-0,208,,
Raekwon Davis,DT,6-7,325,34,11
Trevor Denbow,SAF,5-10,208,,
Josh Downs,WR,5-9,171,30 1/2,9 1/4
Ashton Dulin,WR,6-2,215,33 1/2,9
Samson Ebukam,DE,6-3,245,,
Sam Ehlinger,QB,6-2,225,30 1/2,9 3/4
Ethan Fernea,WR,6-0,195,,
Joe Flacco,QB,6-6,230,33 1/4,9 3/4
Tre Flowers,CB,6-3,200,34,9
Dallis Flowers,CB,6-1,196,,
Zaire Franklin,OLB,6-0,235,,
Blake Freeland,OT,6-7,302,34,10
Wesley French,C,6-4,307,,
Will Fries,G,6-6,305,33,10 1/4
Matt Gay,K,6-0,232,30 1/2,9
Mark Glowinski,G,6-4,310,33 1/4,9 3/4
Matt Goncalves,OT,6-6,317,33 1/4,9
Tyler Goodson,RB,5-9,197,29 1/2,9
Adam Gotsis,DE,6-4,290,34 1/4,10 3/4
Anthony Gould,WR,5-8,174,29 3/4,9
Kylen Granson,TE,6-3,242,32 3/4,9 1/2
Sebastian Gutierrez,OT,6-6,308,,
Darren Hall,CB,6-0,190,30 3/4,9
Ronnie Harrison,DB,6-3,214,33 1/2,9 1/2
Trysten Hill,DT,6-3,310,33 1/2,10 1/4
Evan Hull,RB,5-10,209,30 3/4,9 1/4
Alex Johnson,WR,5-9,167,,
Jaylon Jones,DB,5-11,190,,
Kelvin Joseph,CB,6-1,192,32,9 1/4
Gregory Junior,CB,6-0,190,,
Ryan Kelly,C,6-4,307,33 3/4,9 3/4
Chris Lammons,DB,5-10,190,,
Isaiah Land,DE,6-4,235,32 1/2,9 1/4
Laiatu Latu,DE,6-5,265,32 3/4,9 3/4
Titus Leo,DE,6-3,245,,
Tyquan Lewis,DE,6-3,267,33 3/4,10 1/2
David Long,ILB,5-11,225,31,9 3/4
Atonio Mafi,G,6-3,329,,
Will Mallory,TE,6-4,239,32 1/4,9 1/2
Cameron McGrone,LB,6-1,236,32 1/4,9 1/4
Sean McKeon,TE,6-5,255,33 1/2,9 1/4
Adonai Mitchell,WR,6-2,205,32 1/2,9
D.J. Montgomery,N/A,,,,
Kenny Moore II,N/A,,,,
Durell Nchami,LB,6-4,260,,
Quenton Nelson,G,6-5,330,33 3/4,10 1/2
Dayo Odeyingbo,DE,6-6,286,35 1/4,10 1/4
Andrew Ogletree,TE,6-5,260,,
Albert Okwuegbunam,TE,6-5,258,34 1/4,10 1/4
Segun Olubi,LB,6-0,225,,
Kwity Paye,DE,6-3,265,33,10
Pheldarius Payne,DT,6-3,275,,
Trent Pennix,RB,6-2,200,,
Alec Pierce,WR,6-3,211,33,9
Danny Pinter,C,6-4,301,32,9 1/2
Michael Pittman,RB,6-0,225,,
Bernhard Raimann,OT,6-6,303,33,10 1/4
Luke Rhodes,LS,6-2,238,,
Anthony Richardson,QB,6-4,244,32 3/4,10 1/2
Derek Rivers,DE,6-5,250,32 3/4,9 1/2
Rigoberto Sanchez,P,6-0,195,,
Daniel Scott,SAF,6-1,208,30 1/4,10
Trey Sermon,RB,6-0,215,33 1/2,9 1/2
Spencer Shrader,K,6-2,201,,
Josh Sills,G,6-6,325,,
Jaylin Simpson,CB,6-0,179,32 1/2,10
Braden Smith,OT,6-6,312,32 1/4,9 1/2
Ameer Speed,DB,6-3,215,,
E.J. Speed,N/A,,,,
Grover Stewart,DT,6-4,315,,
Grant Stuard,LB,5-11,230,29 1/2,9 1/2
Jonathan Taylor,RB,5-10,226,31 1/4,9 1/2
Rodney Thomas,RB,5-10,210,,
Laquon Treadwell,WR,6-2,215,33 1/2,9 1/2
Dalton Tucker,G,6-6,307,,
Michael Tutsie,SAF,5-11,189,,
Jack Wilson,HB,6-0,200,,
Juwann Winfree,WR,6-1,210,,
Samuel Womack,CB,5-10,189,,
Jelani Woods,TE,6-7,253,34 1/4,9 1/4
