Name,Position,Height,Weight,Arms,Hands
Yasir Abdullah,LB,6-1,240,32 1/2,9 1/4
Tucker Addington,LS,6-2,228,,
Josh Hines-Allen,DE,6-5,255,33 1/2,8 3/4
Arik Armstead,DE,6-7,290,33,10 1/2
C.J. Beathard,N/A,,,,
Tank Bigsby,RB,5-11,215,32,9 1/2
Peter Bowden,LS,6-2,242,,
Shawn Bowman,TE,6-4,249,,
Christian Braswell,CB,5-11,185,,
Montaric Brown,CB,6-0,190,31 1/4,9 1/2
Tyson Campbell,CB,6-1,195,32,9
Jerome Carvin,G,6-5,307,,
Joshua Cephus,WR,6-3,185,,
Andre Chachere,DB,6-0,197,31 1/2,10
Andre Cisco,FS,6-0,210,32 1/2,10 3/4
Ezra Cleveland,G,6-6,311,33 1/2,9
Myles Cole,DE,6-6,278,37,10
DJ Coleman,DE,6-5,263,,
Logan Cooke,P,6-5,230,,
Elijah Cooks,WR,6-4,215,,
Dennis Daley,OT,6-6,325,33 1/2,9 1/2
Ronald Darby,CB,5-11,193,31 1/2,8 3/4
Gabe Davis,WR,6-2,225,32 1/4,9 1/4
Josiah Deguara,TE,6-2,238,31 3/4,9
Kalen DeLoach,LB,6-1,212,31 1/2,8 3/4
De'Shaan Dixon,N/A,,,,
Devin Duvernay,WR,5-11,202,30 3/4,9 1/2
Terrell Edmunds,S,6-1,217,32 3/4,10 1/2
Dieter Eiselen,G,6-4,300,,
Evan Engram,TE,6-3,240,33 1/2,10
Travis Etienne,RB,5-10,215,30 1/4,9 1/2
Luke Farrell,TE,6-5,250,33,9 1/4
Tre Flowers,CB,6-3,200,34,9
Luke Fortner,C,6-4,307,33 1/4,10
Javon Foster,OT,6-5,313,34 3/4,9 3/4
Jake Funk,RB,5-10,205,,
Myles Gaskin,RB,5-10,199,29 1/2,8 3/4
Joe Gaziano,DE,6-4,280,,
Joe Giles-Harris,LB,6-2,234,31 1/4,8 1/2
Tashaun Gipson,FS,6-1,212,,
Matt Haack,P,6-0,205,,
Tyler Hall,CB,5-10,190,,
DaVon Hamilton,DT,6-4,335,33,9 3/4
Blake Hance,OL,6-5,310,,
Anton Harrison,OT,6-5,315,34 1/4,9 1/4
Cooper Hodges,OT,6-4,305,,
Jalen Jackson,RB,5-9,216,,
Matthew Jackson,DB,6-1,209,,
Jordan Jefferson,,,,,
Antonio Johnson,DT,6-3,328,34 1/2,9 1/4
Caleb Johnson,LB,6-2,220,,
D'Ernest Johnson,N/A,,,,
Jarrian Jones,CB,5-11,190,30,8 3/4
Mac Jones,QB,6-3,220,32 3/4,9 3/4
Steven Jones,,,,,
Tim Jones,,,,,
Velus Jones Jr.,N/A,,,,
Christian Kirk,WR,5-11,200,30 1/2,10
Tyler Lacy,DE,6-4,279,33 1/4,11
Trevor Lawrence,QB,6-6,220,31 1/2,10
Jeremiah Ledbetter,DE,6-3,299,34 1/4,10
Cam Little,K,6-1,172,30 1/2,9 1/4
Walker Little,OT,6-7,325,33 3/4,10 1/4
Devin Lloyd,LB,6-3,235,33,9 1/2
Ross Matiscik,LS,6-0,240,,
Zech McPhearson,CB,5-11,191,30 3/4,8 3/4
Ventrell Miller,LB,6-0,232,32 1/2,9 1/4
Mitch Morse,C,6-6,305,32 1/4,9 1/4
Chad Muma,LB,6-3,239,31 3/4,10
Patrick Murtagh,TE,6-6,250,,
Tanner Muse,LB,6-2,227,31 1/2,9
Foye Oluokun,LB,6-2,229,,
Esezi Otomewo,DE,6-5,282,34 1/2,9
Anthony Pittman,LB,6-3,242,,
Deantre Prince,CB,6-0,185,30 3/4,8 1/2
Louis Rees-Zammit,RB,6-3,194,,
Josh Reynolds,WR,6-3,194,31 1/2,9 1/2
John Rhys Plumlee,QB,6-0,200,,
Roy Robertson-Harris,DE,6-5,290,,
Cam Robinson,OT,6-6,335,35 1/2,10 1/2
Keilan Robinson,RB,5-8,191,30 3/4,9 3/4
Darnell Savage,SAF,5-11,198,31,9 1/4
Brandon Scherff,G,6-5,315,33 1/2,11
Tyler Shatley,C,6-3,305,,
Maason Smith,DT,6-5,306,35,8 1/2
Brenton Strange,TE,6-4,253,31 1/4,9 3/4
Daniel Thomas,RB,6-1,235,32 1/2,9
Brian Thomas Jr.,N/A,,,,
Austin Trammell,WR,5-10,185,,
Cole Van Lanen,G,6-4,312,33 1/2,9 3/4
Travon Walker,DE,6-5,272,35 1/2,10 3/4
Parker Washington,WR,5-10,204,29,10 1/4
David White Jr.,N/A,,,,
Andrew Wingard,DB,6-0,200,30 1/2,8 3/4
John Wolford,QB,6-1,218,,
