Name,Position,Height,Weight,Arms,Hands
Felix Anudike-Uzomah,DE,6-4,255,33 1/2,9 3/4
Matt Araiza,P,6-2,200,30 1/2,9
Emani Bailey,RB,5-7,202,30,9 3/4
Nick Bolton,LB,5-11,237,32,10 1/2
Swayze Bozeman,LB,6-1,224,,
Marquise Brown,WR,5-9,180,30 1/2,9
Deon Bush,DB,6-0,200,31,9 1/4
Harrison Butker,K,6-4,205,31 3/4,8 3/4
Mike Caliendo,G,6-4,300,,
Leo Chenal,LB,6-3,250,31,9 3/4
Cole Christiansen,LB,6-1,230,,
Jack Cochrane,LB,6-3,236,,
Chamarri Conner,DB,6-0,202,31 1/2,9
Bryan Cook,FS,6-1,206,32,8 1/2
Baylor Cupp,TE,6-6,243,,
Michael Danna,DE,6-2,257,,
Ethan Driskell,OT,6-8,313,35 1/2,10 1/2
Clyde Edwards-Helaire,RB,5-7,207,29,9 3/4
Anthony Firkser,TE,6-2,246,,
Joseph Fortson,N/A,,,,
Chukwuebuka Godrick,N/A,,,,
Noah Gray,TE,6-3,240,31 3/4,9 1/4
C.J. Hanson,N/A,,,,
Mecole Hardman,WR,5-10,187,30 1/4,9
Peyton Hendershot,TE,6-4,254,32 3/4,9
Malik Herring,DE,6-3,275,33 1/2,10 1/2
Jaden Hicks,SAF,6-1,215,31 1/2,9 1/2
DeAndre Hopkins,WR,6-1,212,33 1/2,10
Creed Humphrey,C,6-4,302,32 1/4,9 1/2
D.J. Humphries,N/A,,,,
Kareem Hunt,RB,5-11,216,31 1/2,9 3/4
Siaki Ika,DT,6-3,335,32 1/2,10 1/4
Keaontay Ingram,RB,6-0,221,31 1/2,9
Nazeeh Johnson,SAF,5-10,199,,
Cam Jones,LB,6-2,227,31 1/4,9 1/2
Chris Jones,DT,6-6,310,34 1/2,10 3/4
Nic Jones,CB,6-0,189,32 1/2,10
Truman Jones,DE,6-3,250,,
George Karlaftis,DE,6-4,263,32 3/4,10 1/4
Travis Kelce,TE,6-5,250,33 3/4,9 3/4
Fabien Lovett Sr.,N/A,,,,
Patrick Mahomes,QB,6-2,225,33 1/4,9 1/4
Trent McDuffie,CB,5-11,193,29 3/4,8 3/4
McKade Mettauer,G,6-3,307,,
Skyy Moore,WR,5-10,195,31,10 1/4
Wanya Morris,OT,6-6,307,35 1/4,10 1/4
Steven Nelson,CB,5-11,194,30 3/4,9 1/4
Lucas Niang,OT,6-6,315,34 1/4,10 1/2
Derrick Nnadi,NT,6-1,317,33 1/2,10
Hunter Nourzad,C,6-3,317,33 1/4,10 3/4
Chris Oladokun,QB,6-1,213,,
Charles Omenihu,DE,6-5,280,36,9 1/2
Isiah Pacheco,RB,5-10,216,30 1/2,9 1/4
Mike Pennel,DT,6-4,330,33 1/2,10
Samaje Perine,RB,5-10,236,30 1/2,10
Cornell Powell,WR,6-0,204,32 3/4,10
Justin Reid,S,6-1,207,31 3/4,9 3/4
Nikko Remigio,WR,5-9,187,,
Rashee Rice,WR,6-1,203,32 3/4,9 1/2
Christian Roland-Wallace,CB,5-11,202,32 1/2,9
Justyn Ross,WR,6-4,210,32 1/4,9 3/4
Darius Rush,CB,6-2,198,33 1/2,9 1/2
Eric Scott Jr.,N/A,,,,
Spencer Shrader,K,6-2,201,,
Trey Smith,G,6-6,321,33 3/4,9 3/4
JuJu Smith-Schuster,WR,6-1,215,33,10 1/2
Carson Steele,RB,6-0,228,,
Kingsley Suamataia,OT,6-4,326,34 1/4,10 3/4
Jawaan Taylor,OT,6-5,330,35 1/4,10
Keith Taylor,DB,5-11,212,,
Cameron Thomas,DE,6-5,270,32 1/2,10 1/4
BJ Thompson,DE,6-6,243,,
Tyquan Thornton,WR,6-2,185,33 1/4,8 1/4
Joe Thuney,N/A,,,,
Robert Tonyan,TE,6-5,240,,
Drue Tranquill,LB,6-2,234,31 1/2,9 3/4
Marlon Tuipulotu,DT,6-2,307,33,10 1/2
Joshua Uche,N/A,,,,
Montrell Washington,WR,5-10,170,,
Jaylen Watson,CB,6-2,197,32 1/4,9 3/4
Justin Watson,WR,6-2,215,,
Carson Wentz,QB,6-5,237,33 1/4,10
Tershawn Wharton,DT,6-1,280,,
Jared Wiley,TE,6-6,249,33 1/4,9 1/2
Joshua Williams,CB,6-3,193,33,9 1/2
James Winchester,LS,6-3,209,,
Xavier Worthy,WR,5-11,165,31 1/4,8 3/4
Matthew Wright,K,5-11,174,,
Bailey Zappe,QB,6-1,215,31 1/2,9 3/4
