Name,Position,Height,Weight,Arms,Hands
Ameer Abdullah,RB,5-9,203,30,8 3/4
Davante Adams,WR,6-1,215,32 3/4,9
David Agoha,DE,6-4,252,,
Gottlieb Ayedze,OT,6-5,320,33,10
Alex Bachman,WR,6-0,190,,
Jakorian Bennett,DB,5-11,195,32,9 1/4
Jacob Bobenmoyer,LS,6-2,235,,
Brock Bowers,TE,6-4,230,32 3/4,9 3/4
Carter Bradley,QB,6-3,213,,
Ben Brown,,,,,
Harrison Bryant,TE,6-5,230,30 3/4,9 1/2
Amari Burney,LB,6-2,228,,
Adam Butler,DT,6-5,300,,
Matthew Butler,DT,6-3,290,33 1/2,9 1/4
Daniel Carlson,K,6-5,215,32,9 3/4
Zachary Carter,N/A,,,,
Andre Carter II,LB,6-6,256,33 1/2,9 1/2
K'Lavon Chaisson,N/A,,,,
AJ Cole,N/A,,,,
Chris Collier,RB,5-11,210,,
Maxx Crosby,DE,6-5,255,33,9 3/4
Divine Deablo,LB,6-3,223,33,9
MJ Devonshire,N/A,,,,
Tommy Eichenberg,LB,6-2,233,31 3/4,9 1/4
Marcus Epps,SAF,6-0,191,,
Jeff Foreman,WR,6-0,182,,
Cole Fotheringham,TE,6-4,243,,
Tomari Fox,DL,6-2,288,,
Amari Gainer,LB,6-3,235,,
DJ Glaze,N/A,,,,
Jalen Guyton,WR,6-1,212,,
Thomas Harper,SAF,5-10,195,,
Nate Hobbs,CB,6-1,195,,
Darnay Holmes,CB,5-10,195,29 1/2,9 1/4
Keenan Isaac,DB,6-3,190,,
Shedrick Jackson,WR,6-1,195,,
Andre James,C,6-4,300,32,10
John Jenkins,DT,6-3,327,34,9 1/2
Jake Johanning,G,6-2,290,,
Jack Jones,,,,,
Kyu Kelly,N/A,,,,
Ramel Keyton,WR,6-2,191,,
Malcolm Koonce,DE,6-2,250,33 1/2,9 3/4
Dylan Laube,RB,5-10,206,29 1/2,9 1/4
Jonah Laulu,DT,6-5,292,,
Jake Luton,QB,6-6,224,31 3/4,10 1/2
Blake Lynch,LB,6-3,225,,
Tyler Manoa,DT,6-5,315,,
Terrace Marshall Jr.,N/A,,,,
Luke Masterson,LB,6-1,220,,
Alexander Mattison,RB,5-11,220,31,9 1/4
Kana'i Mauga,N/A,,,,
Michael Mayer,TE,6-4,265,31 3/4,9 1/2
Tyreik McAllister,WR,5-10,185,,
Marquan McCall,DT,6-3,345,33 1/4,11
Sincere McCormick,RB,5-9,205,30,9 1/4
Jordan Meredith,G,6-2,300,,
Jakobi Meyers,WR,6-2,200,32,9 1/2
Kolton Miller,OT,6-8,325,34 1/4,10 3/4
Gardner Minshew,QB,6-1,225,31 3/4,10 1/4
Tre'von Moehrig,N/A,,,,
Thayer Munford Jr.,N/A,,,,
Aidan O'Connell,N/A,,,,
Ovie Oghoufo,DE,6-4,250,,
Dylan Parham,G,6-3,285,33 1/4,10 1/4
Andrus Peat,G,6-7,316,34 1/2,10 3/4
Isaiah Pola-Mao,SAF,6-4,205,,
Jackson Powers-Johnson,G,6-3,328,32 1/4,10
Will Putnam,C,6-4,301,,
Decamerion Richardson,CB,6-2,188,32 1/2,9
Desmond Ridder,QB,6-3,207,32 3/4,10
Janarius Robinson,DE,6-5,260,35 1/4,11
Phalen Sanford,DB,5-11,197,,
John Shenker,TE,6-4,249,,
Justin Shorter,TE,6-4,229,33 3/4,10
Nesta Jade Silvera,DT,6-2,315,33,10
Brandon Smith,DB,6-1,205,,
Chris Smith II,N/A,,,,
Charles Snowden,DE,6-7,245,35,9 3/4
Robert Spillane,LB,6-1,229,,
Isaiah Spiller,RB,6-1,215,31 3/4,8 3/4
Trey Taylor,SAF,6-0,213,,
Tre Tucker,WR,5-9,185,29,8 3/4
DJ Turner,WR,5-9,206,,
Dalton Wagner,OT,6-8,320,34 1/2,10 1/2
Sam Webb,CB,6-2,195,32 1/4,9 1/4
Trevon Wesco,TE,6-3,267,34 3/4,9 1/2
Zamir White,RB,6-0,215,31 1/2,8 1/2
Cody Whitehair,C,6-3,316,32,10 1/4
Kristian Wilkerson,WR,6-1,214,,
Christian Wilkins,DT,6-4,310,32 1/2,9 3/4
Tyree Wilson,DE,6-6,275,35 3/4,9 3/4
