Name,Position,Height,Weight,Arms,Hands
Davis Allen,TE,6-6,251,32 1/4,10
A.J. Arcuri,N/A,,,,
Tutu Atwell,WR,5-9,165,29 1/4,9
Steve Avila,G,6-3,338,33,9 1/4
Stetson Bennett,QB,5-11,190,29,10
Tanner Brown,K,6-0,180,,
Bobby Brown III,DT,6-4,328,34 3/4,10 1/2
Logan Bruss,G,6-5,317,33 1/4,10 3/4
Quintez Cephus,WR,6-1,208,32 1/4,8 3/4
Geron Christian,OT,6-5,315,35,10 3/4
Blake Corum,RB,5-8,210,29,9
Kam Curl,N/A,,,,
Tyler Davis,,,,,
Justin Dedich,OL,6-2,300,,
Kevin Dotson,G,6-4,330,,
Cobie Durant,CB,5-11,182,30 3/4,8 3/4
Cory Durden,DT,6-4,316,,
Ethan Evans,P,6-3,250,,
Tony Fields II,LB,6-0,222,31 1/4,9
Braden Fiske,DT,6-5,291,31,9 1/2
Emmanuel Forbes,CB,6-0,180,32 1/4,8 1/2
Miller Forristall,TE,6-5,244,,
Neville Gallimore,DT,6-2,307,32 3/4,9 3/4
Jimmy Garoppolo,QB,6-2,225,31,9 1/4
A.J. Green,N/A,,,,
Nick Hampton,LB,6-3,250,33 3/4,9 1/2
Rob Havenstein,OT,6-8,323,33 3/4,10
Jack Heflin,DT,6-3,304,,
Tyler Higbee,TE,6-6,255,33 1/4,10 1/4
Tre Tomlinson,N/A,,,,
Michael Hoecht,N/A,,,,
Jacob Hummel,N/A,,,,
Tanner Ingle,SAF,5-8,195,,
Alaric Jackson,OT,6-7,345,34,9 1/4
Brennan Jackson,LB,6-4,263,32 3/4,9 3/4
Jonah Jackson,G,6-4,315,33 1/2,10 1/2
Desjuan Johnson,DE,6-3,280,,
John Johnson,S,6-0,204,32,10
Quindell Johnson,DB,6-1,205,,
Tyler Johnson,WR,6-1,208,31,9
Shaun Jolly,DB,5-9,186,,
Nikola Kalinic,TE,6-4,248,,
Joshua Karty,K,6-2,208,31 1/2,9 1/4
Derion Kendrick,CB,6-0,190,31,9 1/4
Kamren Kinchens,SAF,5-11,207,31 1/4,9 3/4
Cooper Kupp,WR,6-2,208,31 1/2,9 1/2
Quentin Lake,SAF,6-1,196,31 1/4,9 1/4
Cam Lampkin,DB,6-11,176,,
Blake Larson,OL,6-7,306,,
KT Leveston,OL,6-4,337,34 1/2,10
Beaux Limmer,C,6-5,312,32,9 1/2
Hunter Long,TE,6-5,243,33 3/4,9 1/2
Mike Mcallister,OL,6-2,308,,
Warren McClendon Jr.,N/A,,,,
Jaylen McCollough,DB,6-0,202,,
Conor McDermott,OT,6-8,305,34 3/4,11
Dylan McMahon,C,6-3,298,31 3/4,9 1/2
Larrell Murchison,DT,6-2,285,32 3/4,10
Puka Nacua,WR,6-2,212,31 1/2,9 1/2
Elias Neal,LB,6-0,226,,
Joe Noteboom,G,6-5,300,34 1/2,9 3/4
Ty Nsekhe,OT,6-8,325,,
David Olajiga,DT,6-3,315,,
Colby Parkinson,TE,6-7,265,33 1/4,9 3/4
Troy Reeder,LB,6-3,236,,
Ronnie Rivers,RB,5-9,192,28,8 1/2
Demarcus Robinson,WR,6-1,203,33,9 1/2
Christian Rozeboom,LB,6-2,237,,
Ryan Sanborn,P,6-3,211,,
Cody Schrader,RB,5-9,214,28 1/4,9 1/4
Xavier Smith,WR,5-9,174,,
Omar Speights,LB,6-1,228,,
Matthew Stafford,QB,6-3,214,33 1/4,10
Drake Stoops,WR,5-10,189,,
Kevin Strong,DT,6-4,295,,
Jason Taylor II,SAF,6-0,204,32,10
Keir Thomas,LB,6-2,260,,
Kobie Turner,DT,6-2,297,,
Zach VanValkenburg,LB,6-4,259,,
Jared Verse,LB,6-4,260,33 1/2,10
Josh Wallace,CB,6-0,190,31 1/2,9
Alex Ward,LS,6-4,240,30 1/2,9 3/4
Rashad Weaver,LB,6-4,259,33 1/2,9 3/4
Tre'Davious White,N/A,,,,
Jordan Whittington,WR,6-1,202,30 1/2,10
Sam Wiglusz,,,,,
Darious Williams,DB,5-9,192,,
Jonah Williams,OT,6-5,312,33 3/4,10 1/4
Kyren Williams,RB,5-9,202,28 3/4,9
Ahkello Witherspoon,CB,6-2,195,33,10
Charles Woods,DB,5-11,185,,
Russ Yeast,SAF,5-10,191,,
Byron Young,DT,6-3,292,34 1/2,11
Ty Zentner,P,6-2,200,,
