Name,Position,Height,Weight,Arms,Hands
De'Von Achane,N/A,,,,
Tucker Addington,LS,6-2,228,,
Robbie Chosen,WR,6-3,190,,
Terron Armstead,OT,6-5,304,34,9 1/4
Jake Bailey,P,6-2,214,30,8 3/4
C.J. Beathard,N/A,,,,
Odell Beckham Jr.,N/A,,,,
Quinton Bell,LB,6-4,255,,
Braxton Berrios,WR,5-9,185,28,9 1/4
Tarik Black,WR,6-3,217,,
Ethan Bonner,CB,6-1,186,,
Tyus Bowser,LB,6-3,250,33 1/4,10 1/4
Tim Boyle,QB,6-4,232,,
Will Bradley-King,N/A,,,,
Aaron Brewer,LS,6-5,232,,
Jordyn Brooks,ILB,6-0,240,33,9 1/4
Cameron Brown,LB,6-5,230,34,9 1/2
Shakel Brown,DT,6-3,295,,
Calais Campbell,DE,6-8,307,35 3/4,9 1/2
Elijah Campbell,DB,5-11,200,,
Jackson Carman,G,6-5,322,32 1/2,9 3/4
Bradley Chubb,OLB,6-4,268,34,10
Jordan Colbert,DB,6-2,214,,
Tanner Conner,TE,6-3,232,,
Lester Cotton,G,6-4,330,,
River Cracraft,WR,6-0,198,,
Matt Dickerson,DE,6-5,298,33 1/4,10
Tyrel Dodson,LB,6-0,237,31 3/4,9 1/4
Grant DuBose,WR,6-2,201,32,9 1/2
Storm Duck,DB,6-0,195,,
Liam Eichenberg,G,6-6,302,32 1/2,9 3/4
Dee Eskridge,N/A,,,,
Erik Ezukanma,WR,6-2,206,33 1/2,9 1/2
Neil Farrell,DE,6-4,325,32 1/4,10 1/4
Blake Ferguson,LS,6-3,230,31 1/2,9 3/4
Kendall Fuller,CB,5-11,198,31 1/2,10
Cameron Goode,LB,6-3,245,,
Da'Shawn Hand,N/A,,,,
Anderson Hardy,OT,6-6,290,,
Jonathan Harris,DT,6-5,295,,
Ryan Hayes,OT,6-6,305,32 1/2,10
Julian Hill,TE,6-4,251,,
Tyreek Hill,WR,5-10,191,,
Chasen Hines,G,6-3,335,34,10
Jevon Holland,S,6-1,205,31 1/2,9 1/4
Tyler Huntley,QB,6-1,204,,
Alec Ingold,FB,6-1,232,31 1/2,9 3/4
Austin Jackson,OT,6-5,315,34 1/4,10 1/4
Dequan Jackson,LB,6-1,255,,
Isaiah Johnson,DB,6-1,210,,
Benito Jones,DT,6-1,335,33,9 3/4
Naquan Jones,DT,6-3,313,33,10
Robert Jones,OLB,6-3,245,,
Mohamed Kamara,LB,6-1,253,32 1/2,8 3/4
Kader Kohou,CB,5-10,197,,
Kendall Lamm,OT,6-5,308,,
David Long Jr.,N/A,,,,
Jason Maitre,DB,5-10,188,,
Bayron Matos,OT,6-7,334,,
Marcus Maye,FS,6-0,207,32 1/2,9 1/4
Isaiah McKenzie,WR,5-8,173,29,9
Derrick McLendon,DE,6-4,250,,
Patrick McMorris,SAF,6-0,206,32,9 3/4
Jake McQuaide,LS,6-2,238,,
Andrew Meyer,C,6-3,295,,
Raheem Mostert,RB,5-10,205,,
Grayson Murphy,LB,6-2,260,,
Siran Neal,DB,6-0,206,31 1/4,10
Nik Needham,DB,6-1,196,,
Emmanuel Ogbah,OLB,6-4,275,35 1/2,10
Matt Overton,LS,6-1,243,,
Patrick Paul,OT,6-7,332,36 1/4,9 1/2
Jaelan Phillips,OLB,6-5,263,33 1/4,9 3/4
Brandon Pili,DT,6-3,319,,
Jordan Poyer,FS,6-0,191,31 3/4,9 3/4
Deneric Prince,RB,6-0,216,31 1/4,9 1/4
Jalen Ramsey,CB,6-1,208,33 1/2,9 1/2
Duke Riley,MLB,6-1,227,32,9 1/4
Chop Robinson,LB,6-3,254,32 1/2,9 1/4
Hayden Rucci,TE,6-5,247,,
Jason Sanders,K,5-11,195,,
Anthony Schwartz,WR,6-0,195,31 1/2,9 1/2
Zach Sieler,DE,6-6,300,,
Cam Smith,CB,6-1,186,31 3/4,9 1/4
Jonnu Smith,TE,6-3,248,33,9 1/4
Kion Smith,OT,6-5,300,,
Durham Smythe,TE,6-6,246,31 3/4,9 1/4
Jack Stoll,TE,6-4,247,,
Tua Tagovailoa,QB,6-1,225,30 1/2,10
Skylar Thompson,QB,6-2,210,31,8 3/4
Channing Tindall,LB,6-2,236,33,10 3/4
Zach Triner,LS,6-3,245,,
Jaylen Waddle,WR,5-10,185,30 1/2,9 1/4
Anthony Walker,MLB,6-1,235,30 1/2,9 1/2
Malik Washington,WR,5-8,191,30 1/2,9 1/4
Tahj Washington,WR,5-10,175,29 1/4,8 1/2
Jeff Wilson,RB,6-0,205,31 1/2,9 1/4
Jaylen Wright,RB,5-11,210,31 1/2,9 1/2
Isaiah Wynn,G,6-2,305,33 1/2,8 1/2
