Name,Position,Height,Weight,Arms,Hands
Tucker Addington,LS,6-2,228,,
David Andrews,C,6-3,300,,
Jake Andrews,C,6-3,308,32,10
Alex Austin,CB,6-1,191,32,8 1/2
Javon Baker,WR,6-1,202,32 1/4,9 3/4
Keshawn Banks,DE,6-3,251,,
Bryce Baringer,P,6-2,215,30 1/2,9
Christian Barmore,DT,6-5,315,33 3/4,10
Miles Battle,N/A,,,,
Jaheim Bell,TE,6-2,241,33,10
Ja'Whaun Bentley,N/A,,,,
Isaiah Bolden,CB,6-2,205,,
Kendrick Bourne,WR,6-1,205,32 1/2,9 1/4
Kayshon Boutte,WR,5-11,197,31 1/2,9 1/2
Jacoby Brissett,QB,6-4,235,32 1/4,9 3/4
Ben Brown,,,,,
Joe Cardona,LS,6-3,245,31 1/2,9 3/4
Jerome Carvin,G,6-5,307,,
Lester Cotton,G,6-4,330,,
Marcellas Dial Jr.,N/A,,,,
Demario Douglas,WR,5-8,192,30 1/4,8 3/4
Kyle Dugger,S,6-1,216,33,10 1/2
Daniel Ekuale,DE,6-3,310,,
Christian Elliss,LB,6-2,231,,
Alex Erickson,WR,6-0,195,,
Liam Fornadel,G,6-4,312,,
Antonio Gibson,DB,6-3,206,,
Joe Giles-Harris,LB,6-2,234,31 1/4,8 1/2
Davon Godchaux,NT,6-3,330,32 1/2,10 1/4
Christian Gonzalez,CB,6-1,205,32,9 1/2
Kevin Harris,DE,6-5,248,,
Marcus Harris,WR,6-1,187,,
JaMycal Hasty,RB,5-8,205,31 1/4,9 1/4
Jaylinn Hawkins,SAF,6-1,208,31 3/4,9 1/2
Sincere Haynesworth,C,6-1,310,,
Hunter Henry,TE,6-5,249,32 3/4,9 1/4
Trysten Hill,DT,6-3,310,33 1/2,10 1/4
Austin Hooper,TE,6-4,254,33 3/4,10 3/4
Bryan Hudson,C,6-5,305,,
JaQuae Jackson,WR,6-1,184,,
Curtis Jacobs,LB,6-1,241,31 1/2,10 1/4
Demontrey Jacobs,N/A,,,,
DJ James,CB,6-1,174,31,8 1/2
Anfernee Jennings,OLB,6-3,255,33,9 1/4
Terrell Jennings,RB,6-0,217,,
John Jiles,WR,6-3,205,,
Eric Johnson,TE,6-3,252,,
Caleb Jones,OT,6-9,370,,
Jonathan Jones,DB,5-10,185,30 1/4,8 3/4
Marcus Jones,DE,6-6,278,,
Truman Jones,DE,6-3,250,,
Mike Jordan,CB,6-1,200,,
Jamree Kromah,DE,6-4,275,,
Matt Landers,WR,6-4,200,32 1/2,9 1/4
Titus Leo,DE,6-3,245,,
Nick Leverett,G,6-4,310,,
Vederian Lowe,OT,6-5,315,35 1/2,10 1/2
Marte Mapu,SAF,6-3,230,,
Ochaun Mathis,LB,6-5,260,35 1/4,10 3/4
Drake Maye,QB,6-4,225,32 1/4,9 1/4
Jalen McKenzie,OT,6-5,315,,
Raekwon McMillan,MLB,6-2,250,33,9 3/4
Joe Milton III,QB,6-5,246,33 1/2,10 1/4
Yannick Ngakoue,DE,6-2,246,32 1/2,9 1/2
Chukwuma Okorafor,OT,6-6,320,34 1/2,10 1/4
Mike Onwenu,OT,6-3,350,34 1/2,10 1/2
K.J. Osborn,N/A,,,,
Andrew Parker,LB,6-2,235,,
Jabrill Peppers,FS,5-11,217,30 3/4,9 3/4
Mark Perry,SAF,6-0,215,,
Dell Pettus,SAF,5-11,200,,
Jeremiah Pharms,,,,,
Ja'Lynn Polk,N/A,,,,
Jalen Reagor,WR,5-11,197,31 1/2,9 1/2
Monty Rice,LB,6-0,233,30 3/4,8 3/4
Yvandy Rigby,N/A,,,,
Layden Robinson,G,6-3,311,34 3/4,10 1/2
Tyrese Robinson,G,6-3,317,33 1/4,9 3/4
John Parker Romo,K,5-11,175,,
Jaquelin Roy,DT,6-3,305,32 3/4,10 1/4
Jotham Russell,DE,6-4,239,,
Braylon Sanders,WR,6-1,190,31 1/2,10
Brenden Schooler,DB,6-1,210,,
Joey Slye,K,5-11,213,,
Lecitus Smith,G,6-3,314,32,9 3/4
Sidy Sow,G,6-5,318,33 3/4,10 1/2
Rhamondre Stevenson,RB,6-0,227,30 1/4,8 3/4
Cole Strange,G,6-5,310,33,10 1/4
Sione Takitaki,LB,6-1,245,32,9 3/4
Jahlani Tavai,OLB,6-2,255,32,9
A.J. Thomas,N/A,,,,
Zach Thomas,ILB,5-11,242,,
Tyquan Thornton,WR,6-2,185,33 1/4,8 1/4
Joshua Uche,N/A,,,,
Caedan Wallace,OT,6-5,314,34,10 3/4
Armon Watts,DT,6-5,307,33 1/2,9 3/4
Jack Westover,TE,6-3,248,32 1/4,9 1/4
Tyrone Wheatley Jr.,N/A,,,,
Keion White,DE,6-5,285,34,10 1/4
Mitchell Wilcox,TE,6-4,250,32 1/4,9 1/4
Marco Wilson,CB,6-0,191,30 3/4,9 3/4
Deatrich Wise,DE,6-5,280,35 3/4,10 1/2
Oshane Ximines,LB,6-4,254,33,10
