Name,Position,Height,Weight,Arms,Hands
Johnathan Abram,DB,5-11,205,31 1/2,9 3/4
Paulson Adebo,CB,6-1,192,31 1/2,10
Ugo Amadi,SAF,5-9,201,31 3/4,9 1/2
Ryder Anderson,DL,6-6,280,,
Kevin Austin Jr.,N/A,,,,
Khristian Boyd,DT,6-2,320,,
Millard Bradford,SAF,5-10,191,31 1/4,9
Bryan Bresee,DT,6-5,305,32 1/2,10 1/4
Derek Carr,QB,6-3,215,31 1/2,9 1/4
Demario Davis,OLB,6-2,248,32,9
Austin Deculus,OT,6-5,321,34 1/2,9 1/4
Ben DiNucci,QB,6-3,209,,
Clyde Edwards-Helaire,RB,5-7,207,29,9 3/4
Josiah Ezirim,OT,6-6,329,35 3/4,10 3/4
Tra Fluellen,N/A,,,,
Jaylan Ford,LB,6-2,240,31 3/4,9 1/2
Isaiah Foskey,DE,6-5,270,34,10
Taliese Fuaga,OT,6-6,324,33 1/4,10 1/4
Willie Gay Jr.,N/A,,,,
Carl Granderson,DE,6-5,261,34,9 3/4
J.T. Gray,N/A,,,,
Blake Grupe,K,5-7,156,,
Jake Haener,QB,6-1,200,29 3/4,9 1/2
Will Harris,DB,6-1,207,31 1/4,9
Matthew Hayball,P,6-0,189,,
Sincere Haynesworth,C,6-1,310,,
Kyle Hergel,G,6-2,315,,
Tre Herndon,CB,5-11,190,,
Justin Herron,G,6-5,290,33 1/2,9
Taysom Hill,TE,6-2,221,,
Dallin Holker,TE,6-3,241,33 3/4,10 1/4
Jordan Howden,SAF,6-0,210,32 1/4,9 1/2
Khaleke Hudson,LB,6-0,220,29 1/2,10
D'Marco Jackson,N/A,,,,
Jermaine Jackson,WR,5-7,170,,
Michael Jacobson,TE,6-7,244,,
Shemar Jean-Charles,CB,5-10,184,,
Trajan Jeffcoat,DE,6-4,281,32 3/4,10 1/4
Juwan Johnson,TE,6-4,231,34 1/4,10 1/2
Cameron Jordan,DE,6-4,287,35,11 1/4
Alvin Kamara,RB,5-10,215,32 3/4,9 1/4
Jacob Kibodi,RB,6-1,225,,
Tanoh Kpassagnon,DE,6-7,289,35 3/4,10 3/4
Niko Lalos,DE,6-5,270,,
Marshon Lattimore,CB,6-0,192,31 1/4,9
Shane Lemieux,G,6-4,310,32 1/4,9 1/2
Tyrann Mathieu,FS,5-9,190,31 1/4,9 1/2
Erik McCoy,C,6-4,303,33,9 3/4
Connor McGovern,G,6-4,306,33,10 1/2
Kool-Aid McKinstry,CB,5-11,199,32,8 1/2
Bub Means,WR,6-2,215,33 1/4,10 1/4
Kendre Miller,RB,6-0,220,32 1/2,9 1/2
Jordan Mims,RB,6-0,205,,
Foster Moreau,TE,6-4,250,33 1/2,9 3/4
Chris Olave,WR,6-0,187,31 1/4,9 1/2
Anfernee Orji,LB,6-2,230,32,10 1/4
Lucas Patrick,G,6-3,313,,
Camron Peterson,N/A,,,,
Rico Payton,CB,6-0,182,,
Trevor Penning,OT,6-7,325,34 1/4,10 1/4
A.T. Perry,N/A,,,,
Dante Pettis,WR,6-1,195,32 1/4,9 1/2
Adam Prentice,RB,6-0,245,,
Ryan Ramczyk,OT,6-6,314,33 3/4,11
Spencer Rattler,QB,6-0,211,31,10
Chris Reed,G,6-3,314,,
John Ridgeway,DT,6-5,321,33 1/2,10
Cesar Ruiz,G,6-4,316,33 1/4,11
Nick Saldiveri,G,6-6,316,33 1/4,10 1/4
Khalen Saunders,DT,6-0,324,32 1/4,9 1/4
Nephi Sewell,LB,6-0,228,29 1/2,8 1/2
Rashid Shaheed,WR,6-0,180,,
Nathan Shepherd,DE,6-4,315,32 1/2,10 1/4
Charlie Smyth,K,6-4,210,,
Isaiah Stalbird,LB,6-1,215,,
Equanimeous St. Brown,N/A,,,,
Alontae Taylor,CB,6-1,199,32 1/4,9 1/4
Roderic Teamer,SAF,6-0,205,,
Mason Tipton,WR,5-11,187,,
Payton Turner,DE,6-6,270,35,10 1/4
Oli Udoh,OT,6-6,320,35 1/2,10
Marquez Valdes-Scantling,WR,6-4,206,32 1/4,10
Xazavian Valladay,RB,6-0,198,,
Kendal Vickers,DE,6-3,295,,
Treyton Welch,TE,6-3,241,,
Pete Werner,LB,6-3,242,33 1/4,9
Jamaal Williams,RB,6-0,224,31 1/4,10
Cedrick Wilson Jr.,N/A,,,,
Zach Wood,LS,6-3,255,,
Rejzohn Wright,DB,6-2,193,32 1/2,9 3/4
Chase Young,DE,6-5,264,33 3/4,10
Landon Young,OT,6-7,321,33 3/4,10 1/4
