Name,Position,Height,Weight,Arms,Hands
Matthew Adams,OLB,6-0,229,,
Deonte Banks,CB,6-2,200,31 1/2,9 1/2
Carlos Basham,N/A,,,,
Daniel Bellinger,TE,6-6,255,32 1/2,10 1/4
Dane Belton,SAF,6-1,190,31,9 1/4
Ross Blacklock,DT,6-5,307,32 1/2,9 3/4
Curtis Bolton,LB,6-0,228,,
Ekow Boye-Doe,CB,6-0,177,,
Tim Boyle,QB,6-4,232,,
Brian Burns,LB,6-5,250,34,10
Lawrence Cager,TE,6-5,220,33 1/2,9
Elijah Chatman,DT,6-0,278,,
Alex Cook,SAF,6-1,196,,
Chase Cota,WR,6-4,200,,
Carter Coughlin,LB,6-3,240,31 1/2,9 1/2
DJ Davidson,DT,6-5,320,33,10 1/4
Tommy DeVito,QB,6-2,210,,
Greg Dulcich,TE,6-4,245,33 1/2,10
Cory Durden,DT,6-4,316,,
Jermaine Eluemunor,G,6-4,338,33 1/4,9 1/2
Joshua Ezeudu,OT,6-4,310,34,9 1/2
Cordale Flott,CB,6-1,175,30 1/4,8
Bryce Ford-Wheaton,WR,6-3,220,33 1/2,9 1/2
Tomon Fox,LB,6-2,245,,
Graham Gano,K,6-2,202,30 1/2,8
Elijah Garcia,DE,6-5,302,,
Jamie Gillan,P,6-1,207,,
Eric Gray,RB,5-10,210,29 3/4,9 3/4
Art Green,CB,6-2,201,,
Garret Greenfield,OT,6-7,320,33 1/2,9 3/4
Matt Haack,P,6-0,205,,
Tre Hawkins III,CB,6-3,195,,
Azizi Hearn,DB,6-1,204,,
Isaiah Hodgins,WR,6-3,201,33 1/4,10
Timmy Horne,DT,6-4,323,,
Chris Hubbard,OT,6-4,295,,
Bryan Hudson,C,6-5,305,,
Jalin Hyatt,WR,6-0,185,32 1/2,9
Adoree' Jackson,N/A,,,,
Kearis Jackson,WR,5-11,196,31 1/4,9 1/2
Alex Johnson,WR,5-9,167,,
Dyontae Johnson,LB,6-2,230,,
Jakob Johnson,RB,6-3,255,,
Marcellus Johnson,OT,6-4,307,,
Patrick Johnson,LB,6-2,248,32,10
Theo Johnson,TE,6-6,264,33,10 1/4
Anthony Johnson Jr.,N/A,,,,
Daniel Jones,QB,6-5,230,32 1/2,9 3/4
Greg Joseph,K,6-0,206,,
Casey Kreiter,LS,6-1,250,,
Jake Kubas,G,6-4,308,,
Dexter Lawrence,DT,6-4,340,34 3/4,10 1/2
Raheem Layne,SAF,5-11,192,,
Ricky Lee,OT,6-6,305,,
Drew Lock,QB,6-4,228,32 1/2,9
Chris Manhertz,TE,6-6,235,,
Cade Mays,G,6-6,325,34 1/4,10
Jude McAtamney,K,6-2,205,,
Nick McCloud,CB,6-1,193,,
Micah McFadden,LB,6-2,232,31 1/4,9 1/2
Jalen McKenzie,OT,6-5,315,,
Joshua Miles,OT,6-5,325,35 3/4,10 3/4
Dante Miller,RB,5-10,200,,
Jimmy Morrissey,C,6-4,305,32 3/4,10
Darius Muasau,LB,6-0,234,31 1/2,9 1/2
Jordan Murray,OT,6-9,325,,
Malik Nabers,WR,6-0,200,,
Evan Neal,OT,6-7,340,34,10 1/4
Tyler Nubin,SAF,6-2,210,32,9
Rakeem Nunez-Roches,DT,6-2,305,32 3/4,10 1/4
Azeez Ojulari,LB,6-3,240,34 1/2,10 1/2
Bobby Okereke,ILB,6-1,235,34 1/2,10 1/4
Gunner Olszewski,WR,6-0,190,,
Gervarrius Owens,SAF,6-0,200,32,9 1/2
Andru Phillips,DB,5-11,180,31 1/4,8 3/4
Tyre Phillips,G,6-5,325,35 1/4,10 1/2
Jason Pinnock,S,6-0,200,,
Elijah Riley,DB,6-0,205,,
Jordon Riley,DT,6-5,315,,
Wan'Dale Robinson,N/A,,,,
Casey Rogers,DL,6-5,305,,
Jon Runyan,OT,6-7,330,,
Austin Schlottmann,G,6-6,300,,
John Michael Schmitz,C,6-4,320,32 3/4,9 1/2
Duke Shelley,CB,5-9,176,,
Isaiah Simmons,SAF,6-4,238,33 1/2,9 3/4
Devin Singletary,RB,5-7,203,29,8 1/2
Darius Slayton,WR,6-1,198,32 3/4,10
Ihmir Smith-Marsette,WR,6-1,185,30 3/4,9 3/4
Aaron Stinnie,G,6-3,312,,
Greg Stroman,CB,6-0,182,30,8 3/4
Ty Summers,LB,6-1,241,31 1/2,10
Jonathan Sutherland,DB,5-11,202,,
Kayvon Thibodeaux,LB,6-5,258,33 1/4,9 3/4
Andrew Thomas,OT,6-5,315,36 1/4,10 1/4
Tyrone Tracy Jr.,N/A,,,,
Greg Van Roten,G,6-4,295,,
Armon Watts,DT,6-5,307,33 1/2,9 3/4
Benton Whitley,LB,6-4,260,,
Dee Williams,CB,5-10,190,,
Divaad Wilson,CB,6-0,195,,
Joel Wilson,TE,6-4,242,,
