Name,Position,Height,Weight,Arms,Hands
David Anenih,LB,6-2,245,,
Saquon Barkley,RB,6-0,232,31 1/2,9 1/2
Zack Baun,LB,6-3,225,32 3/4,9 3/4
Mekhi Becton,OT,6-7,363,35 3/4,10 3/4
Reed Blankenship,SAF,6-1,203,,
Khari Blasingame,FB,6-0,233,,
Ian Book,QB,6-0,206,31 1/2,10
Thomas Booker,DT,6-3,301,33 1/4,10 3/4
James Bradberry,CB,6-1,212,33,9 1/4
A.J. Brown,N/A,,,,
Sydney Brown,SAF,5-10,211,31 1/2,10 1/4
Oren Burks,ILB,6-3,233,33 1/2,9 1/4
Grant Calcaterra,TE,6-4,240,33 1/4,10
Parris Campbell,WR,6-1,205,32 1/4,9 1/2
Jalen Carter,DT,6-3,314,33 1/2,10 1/4
McCallan Castles,TE,6-4,250,,
Tariq Castro-Fields,CB,6-1,197,30 3/4,8 3/4
Le'Raven Clark,N/A,,,,
Britain Covey,WR,5-8,173,,
Braeden Daniels,G,6-4,297,33,9 1/2
Jordan Davis,DT,6-6,336,34,10 3/4
Tyrion Davis-Price,N/A,,,,
Nakobe Dean,LB,5-11,231,32,9 1/4
Cooper DeJean,CB,6-0,198,31 1/4,9 3/4
Landon Dickerson,G,6-6,333,33 1/4,10 1/2
Jahan Dotson,WR,5-11,184,30 3/4,9 1/2
Jack Driscoll,OT,6-5,312,33,10
Jake Elliott,K,5-9,167,29,9
Kevin Foelsch,TE,6-4,250,,
Kenneth Gainwell,RB,5-9,200,30 3/4,10
Dallas Gant,LB,6-2,224,,
C.J. Gardner-Johnson,N/A,,,,
Nick Gates,G,6-5,312,32,10 1/4
Dallas Goedert,TE,6-5,256,34,10
Brandon Graham,DE,6-2,265,32 1/4,10
Danny Gray,WR,6-0,200,32,9 3/4
Will Grier,QB,6-1,220,31 1/2,9 1/2
Gabe Hall,OT,6-4,293,33 3/4,9 1/4
Charles Harris,LB,6-3,250,32 1/2,9 3/4
Jacob Harris,WR,6-5,211,,
Griffin Hebert,WR,6-1,231,,
KJ Henry,DE,6-4,255,33,10
Bryce Huff,DE,6-3,255,,
Jalyx Hunt,LB,6-3,252,34 1/2,10
Jalen Hurts,QB,6-1,223,31 3/4,9 3/4
Siaki Ika,DT,6-3,335,32 1/2,10 1/4
Tarron Jackson,LB,6-2,254,33 1/4,10
E.J. Jenkins,N/A,,,,
Fred Johnson,OT,6-7,326,34,10 3/4
Lane Johnson,OT,6-6,325,35 1/4,10 1/4
Patrick Johnson,LB,6-2,248,32,10
Cam Jurgens,C,6-3,303,33 1/2,10
Trevor Keegan,G,6-5,306,32 1/2,10
Darian Kinnard,G,6-5,322,35,11 1/4
Rick Lovato,LS,6-2,249,,
Avonte Maddox,CB,5-9,184,29 1/2,8 3/4
Jordan Mailata,OT,6-8,365,,
Braden Mann,P,5-11,198,30,9 1/4
Ochaun Mathis,LB,6-5,260,35 1/4,10 3/4
Tristin McCollum,DB,6-3,195,,
Tanner McKee,QB,6-6,230,33,9 1/2
Dylan McMahon,C,6-3,298,31 3/4,9 1/2
Quinyon Mitchell,CB,6-0,193,31,9 1/4
Lew Nichols III,RB,5-10,220,,
Parry Nickerson,DB,5-10,179,30 1/4,8 1/4
Moro Ojomo,DT,6-3,292,34 1/2,10 1/2
Albert Okwuegbunam,TE,6-5,258,34 1/4,10 1/4
Kyle Philips,WR,5-11,189,29 3/4,8 3/4
Kenny Pickett,QB,6-3,220,31,8 1/2
Eli Ricks,CB,6-2,188,32 1/2,9
Kelee Ringo,CB,6-2,207,31 1/4,8 1/2
Isaiah Rodgers,CB,5-10,170,,
Marcus Rosemy-Jacksaint,WR,6-3,195,33,10
John Ross,WR,5-11,190,31 1/2,8 3/4
Andre' Sam,N/A,,,,
Will Shipley,RB,5-11,210,30 1/4,9 3/4
Darius Slay,CB,6-0,190,32 1/4,9 1/2
Ainias Smith,WR,5-9,176,29,8 1/2
Brandon Smith,DB,6-1,205,,
DeVonta Smith,WR,6-0,170,31 1/4,9 1/4
Nolan Smith,LB,6-2,238,32 3/4,9
Tyler Steen,OT,6-6,321,32 3/4,10 1/2
Caden Sterns,SAF,6-1,207,32 1/4,9 1/2
Jack Stoll,TE,6-4,247,,
Josh Sweat,LB,6-5,265,34 3/4,10 1/4
Brett Toth,OL,6-6,304,33 1/2,10 1/4
Jeremiah Trotter Jr.,N/A,,,,
C.J. Uzomah,N/A,,,,
Laekin Vakalahi,OT,6-5,320,,
Ben VanSumeren,LB,6-2,231,,
Devin White,LB,6-0,237,32 1/4,9 3/4
Milton Williams,,,,,
Johnny Wilson,WR,6-3,203,,
A.J. Woods,N/A,,,,
JT Woods,SAF,6-2,193,32 1/2,8 1/2
Byron Young,DT,6-3,292,34 1/2,11
