Name,Position,Height,Weight,Arms,Hands
Israel Abanikanda,RB,5-10,216,32,8 1/4
Brandon Aiyuk,WR,6-0,200,33 1/2,9 3/4
Isaac Alarcon,OT,6-7,320,,
Brandon Allen,QB,6-2,209,31 1/4,9
Adrian Amos,S,6-0,218,32 1/4,9 1/4
Evan Anderson,DL,6-3,326,,
Aaron Banks,G,6-5,325,33 1/4,10
Alex Barrett,DE,6-2,250,,
Ben Bartch,G,6-6,315,33,9
Robert Beal Jr.,N/A,,,,
Ronnie Bell,WR,6-0,190,31,9 1/2
Tatum Bethune,LB,6-0,299,32 1/2,10
Nick Bosa,DE,6-4,266,33,10 3/4
Jake Brendel,C,6-4,299,31 3/4,9
Ji'Ayir Brown,N/A,,,,
Shakel Brown,DT,6-3,295,,
Spencer Burford,G,6-4,300,34 3/4,9 1/2
De'Vondre Campbell,N/A,,,,
Anders Carlson,K,6-5,220,31 3/4,9 1/2
Maliek Collins,DT,6-2,310,33 1/4,9 1/2
Chris Conley,WR,6-3,205,33 3/4,10
Jacob Cowing,WR,5-9,170,29 1/4,9
Kalia Davis,DT,6-2,310,33 3/4,9 1/2
Khalil Davis,DT,6-2,315,31 1/2,9 3/4
Joshua Dobbs,QB,6-3,220,32 3/4,9 1/4
Dieter Eiselen,G,6-4,300,,
Jordan Elliott,DT,6-4,302,32 1/2,10 1/4
Jon Feliciano,G,6-4,325,32 1/2,9 3/4
Demetrius Flannigan-Fowles,LB,6-2,223,,
Leonard Floyd,DE,6-3,240,33 1/4,10 1/4
Russell Gage,WR,6-0,184,,
Jonathan Garvin,LB,6-4,257,34,9 3/4
Tashaun Gipson,FS,6-1,212,,
Kevin Givens,DT,6-1,285,32 1/4,9 3/4
Jalen Graham,LB,6-3,220,33,10
Renardo Green,CB,6-0,186,31 1/4,9 1/4
Dre Greenlaw,LB,6-0,230,32 1/4,10
Yetur Gross-Matos,DE,6-5,265,35,9 3/4
Isaac Guerendo,RB,6-0,221,30 3/4,9 1/4
Sebastian Gutierrez,OT,6-6,308,,
Javon Hargrave,NT,6-2,305,32,9 3/4
Charlie Heck,OT,6-8,315,34 1/4,10 1/4
Matt Hennessy,C,6-4,309,32 1/4,10
Chris Hubbard,OT,6-4,295,,
Talanoa Hufanga,SAF,6-0,200,32,10
Drake Jackson,C,6-2,292,31,8 1/4
Jauan Jennings,WR,6-3,212,31 3/4,9
Kyle Juszczyk,FB,6-2,235,,
George Kittle,TE,6-4,250,33 1/4,9 1/4
Deommodore Lenoir,CB,5-10,200,30 3/4,9 3/4
Chase Lucas,CB,5-11,184,32,9 1/4
Darrell Luter Jr.,N/A,,,,
Jaylen Mahoney,N/A,,,,
Terrace Marshall Jr.,N/A,,,,
Jordan Mason,RB,5-11,223,,
Christian McCaffrey,RB,5-11,210,30,9
Nick McCloud,CB,6-1,193,,
T.Y. McGill,N/A,,,,
Colton McKivitz,OT,6-6,301,33 3/4,10
Elijah Mitchell,,,,,
Jake Moody,K,6-1,210,31,9 1/2
Jaylon Moore,,,,,
Tanner Mordecai,QB,6-2,218,,
Malik Mustapha,SAF,5-10,206,30 1/4,9
Drake Nugent,C,6-1,300,33,9
Pat O'Donnell,N/A,,,,
George Odum,DB,6-1,202,,
Sam Okuayinonu,DT,6-1,269,,
Terique Owens,WR,6-3,200,,
Ricky Pearsall,WR,6-1,192,31,9 1/4
Taybor Pepper,LS,6-4,245,,
Austen Pleasants,OT,6-7,330,,
Mason Pline,TE,6-7,260,,
Dominick Puni,G,6-5,313,33 1/2,10 1/4
Brock Purdy,QB,6-1,220,29,9 1/4
Curtis Robinson,LB,6-3,235,,
Deebo Samuel Sr.,N/A,,,,
Eric Saubert,TE,6-5,248,33 1/2,10 1/2
Nesta Jade Silvera,DT,6-2,315,33,10
Patrick Taylor,RB,6-1,217,32 1/4,9 1/2
Trent Taylor,WR,5-8,180,28 3/4,8 1/4
Ambry Thomas,CB,6-0,190,32 1/4,8 3/4
Jake Tonges,TE,6-4,240,,
Malik Turner,WR,6-2,202,,
Ke'Shawn Vaughn,N/A,,,,
Tracy Walker III,N/A,,,,
Charvarius Ward,CB,6-1,196,,
Fred Warner,MLB,6-3,230,32,9 3/4
DaShaun White,LB,6-0,222,,
Trent Williams,OT,6-5,320,34 1/4,9 3/4
Brayden Willis,TE,6-4,240,33 1/4,9 3/4
Dee Winters,LB,5-11,227,31 3/4,8 3/4
Mitch Wishnowsky,P,6-2,220,31 1/4,9 1/4
Chandler Wooten,LB,6-3,230,,
Matthew Wright,K,5-11,174,,
Rock Ya-Sin,CB,5-11,195,32,10
Isaac Yiadom,CB,6-1,188,32 1/4,9
Nick Zakelj,OT,6-6,316,32 1/2,10
