Name,Pos.,Team,Ht.,Wt.
"Lynn, Jack",LB,Falcons,6-2,246
"Lane, Jerome",WR,Giants,6-3,220
"Tribune, Nigel",CB,Giants,5-10,179
"Davis, Reggie",WR,Falcons,6-0,170
"Henderson, Carlos",WR,Broncos,5-11,199
"Shorts, Daikiel",WR,Bills,6-1,202
"Hall, Marvin",WR,Falcons,5-10,183
"Mabin, Greg",CB,Bills,6-2,200
"Langley, Brendan",CB,Broncos,6-0,201
"Rehkow, Austin",P,Bills,6-3,214
"Bausby, DeVante",DB,Chiefs,6-2,190
"Wreh-Wilson, Blidi",CB,Falcons,6-1,190
"Henderson, De'Angelo",RB,Broncos,5-7,208
"Maulet, Arthur",CB,Saints,5-10,190
"Holmes, Daquan",CB,Packers,5-11,187
"Johnson, Jordan",RB,Bills,6-1,220
"Robinson-Woodgett, John",FB,Saints,6-1,247 
"Torgersen, Alek",QB,Falcons,6'3,230
"Tyson, Michael",CB,Seahawks,6-1,207
"Sylve, Bradley",DB,Bills,5-11,180
"Carraway, Josh",OLB,Titans,6-3,242
"Sayles, Marcus",CB,Bills,5-10,170
"Tautu, Sae",LB,Saints,6-3,245
"Logan, Abner",LB,Bills,6-2,235
"Bacci, Joe",FB,Titans,6-1,245
"Sanders, B.T.",S,Bills,6-0,195
"Anzalone, Alex",LB,Saints,6-3,240
"Lindsey, Jacob",LB,Bills,6-2,220
"McKenzie, Isaiah",WR,Broncos,5-7,173
"Vallejo, Tanner",LB,Bills,6-1,228
"Jones, J'Terius",DE,Falcons,6-3,245
"Walker, DeMarcus",DE,Broncos,6-4,280
"Milano, Matt",LB,Bills,6-1,221
"Kelly, Chad",QB,Broncos,6-2,224
"Pyke, Greg",G,Bills,6-5,320
"Mama, Damien",OL,Chiefs,6-4,325
"Voytek, Zach",G,Bills,6-5,305
"Lawrence, Devaroe",DT,Saints,6-2,294
"Brooks, Corin",OL,Chiefs,6-5,300
"Kemp, Marcus",WR,Chiefs,6-4,185
"Bolles, Garett",OT,Broncos,6-5,297
"Austell, Erik",C,Texans,6-3,300
"Stevens, Tony",WR,Chiefs,6-4,198
"Reilly, Brandon",WR,Bills,6-2,200
"Donatell, Stevie",TE,Seahawks,6-6,241
"Towbridge, Keith",TE,Bills,6-5,262
"Williams, Nigel",DT,Bills,6-2,297
"Muhammad, Al-Quadin",DE,Saints,6-4,250
"Carrell, Jordan",DT,Cowboys,6-3,300
"Samuel, Curtis",WR,Panthers,5-11,195
"Smith-Schuster, JuJu",WR,Steelers,6-1,215
"Mixon, Joe",RB,Bengals,6-1,228
"Humphrey, Marlon",CB,Ravens,6-0,197
"Wilson, Quincy",CB,Colts,6-1,213
"Williams, Marcus",S,Saints,6-1,195
"McMillan, Raekwon",LB,Dolphins,6-2,243
"McDowell, Malik",DT,Seahawks,6-6,299
"Barnett, Derek",DE,Eagles,6-3,259
"Treadwell, Laquon",WR,Vikings,6-2,215
"Ryan, Shakeir",WR,Rams,5-8,169
"Godwin, Chris",WR,Buccaneers,6-1,205
"Mahomes, Patrick",QB,Chiefs,6-3,230
"Ford, Isaiah",WR,Dolphins,6-2,198
"Dupre, Malachi",WR,Packers,6-2,196
"Smith, Maurice",S,Dolphins,6-0,195
"Conley, Gareon",CB,Raiders,6-0,195
"Elliott, Ezekiel",RB,Cowboys,6-0,225
"Evans, Justin",S,Buccaneers,6-1,195
"Neal, Keanu",S,Falcons,6-0,211
"McCaffrey, Christian",RB,Panthers,5-11,205
"Jones, Sidney",CB,Eagles,6-0,181
"Apple, Eli",CB,Giants,6-1,199
"Woods, Xavier",S,Cowboys,5-11,205
"Mack, Marlon",RB,Colts,6-0,210
"Jackson, Adoree'",CB,Titans,5-11,185
"Griffin, Shaquill",CB,Seahawks,6-1,198
"Lewis, Jourdan",CB,Cowboys,5-10,170
"Foreman, D'Onta",RB,Texans,6-1,233
"Hunt, Kareem",RB,Chiefs,5-11,208
"Cohen, Tarik",RB,Bears,5-6,179
"Killings, D.J.",DB,Patriots,6-0,185
"Hooker, Malik",S,Colts,6-2,205
"Tabor, Teez",CB,Lions,6-0,201
"Cravens, Su'a",S,Redskins,6-1,244
"Johnson, Jadar",DB,Giants,6-1,181
"Borders, Breon",CB,Raiders,6-0,189
"Luke, Cole",CB,Panthers,5-11,200
"Douglas, Rasul",CB,Eagles,6-2,209
"Perine, Samaje",RB,Redskins,5-11,236
"Cook, Dalvin",RB,Vikings,5-11,213
"Robinson, Rashard",CB,49ers,6-1,177
"McNichols, Jeremy",RB,Buccaneers,5-9,214
"Williams, Stanley",HB,Bengals,5-8,196
"Thomas, Jahad",RB,Cowboys,5-10,190
"Lattimore, Marshon",CB,Saints,6-0,192
"Hood, Elijah",RB,Raiders,6-0,220
"Nicholson, Montae",S,Redskins,6-2,216
"Wilson, Howard",DB,Browns,6-0,184
"Morrow, Nicholas",LB,Raiders,6-0,216
"Baker, Budda",S,Cardinals,5-10,195
"Smith, Malik",S,Texans,6-0,190
"Hill, Brian",RB,Falcons,"6'1""",219
"Tocho, Jack",S,Vikings,6-0,202
"Webb, Terrish",S,Steelers,5-10,190
"Watson, Deshaun",QB,Texans,6-2,221
"Ward, Greg",WR,Eagles,5-11,186
"Watson, Brad",CB,Chargers,6-0,200
"Redding, Devine",RB,Chiefs,5-8,205
"Kamara, Alvin",RB,Saints,5-10,215
"Moore, Kenny",DB,Patriots,5-9,179
"Davis, Justin",RB,Rams,6-1,198
"Johnson, John",S,Rams,6-1,204
"Jack, Myles",LB,Jaguars,6-1,244
"Newby, Terrell",RB,Vikings,5-10,200
"Hill, Delano",SS,Seahawks,6-1,216
"Nelson, Dontrell",CB,Broncos,6-1,180
"Ekpe, Hendrick",LB,Bears,6-5,251
"Olugbode, Kenneth",LB,Browns,6-0,222
"Walker, Anthony",LB,Colts,6-1,245
"Smith, Jaylon",LB,Cowboys,6-2,240
"Lee, Marquel",LB,Raiders,6-3,240
"Lee, Elijah",LB,Vikings,6-2,229
"Woodson-Luster, Xavier",LB,Raiders,6-1,219
"Lawson, Carl",LB,Bengals,6-2,261
"Bourne, Kendrick",WR,49ers,6-1,203
"Tom, Cameron",C,Saints,6-4,287
"Cooper, Ethan",G,Steelers,6-2,322
"Butker, Harrison",K,Panthers,6-4,205
"Sayles, Casey",DT,Rams,6-3,289
"Smith, Eric",T,Dolphins,6-5,300
"Sharpe, David",T,Raiders,6-6,357
"Hall, Daeshon",DE,Panthers,6-5,265
"Robinson, Cam",OL,Jaguars,6-6,320
"Craig, Winston",DT,Eagles,6-4,290
"Johnson, Rod",OL,Browns,6-6,300
"Okwara, Romeo",DE,Giants,6-5,275
"Pocic, Ethan",G/T,Seahawks,6-6,317
"Kaaya, Brad",QB,Lions,6-4,215
"Cannon, KD",WR,Jets,5-11,182
"Zamora, Ishmael",WR,Raiders,6-3,224
"Malone, Josh",WR,Bengals,6-3,208
"Butt, Jake",TE,Broncos,6-6,250
"Cherry, Bra'Lon",WR,Titans,5-11,188
"Hodges, Bucky",TE,Vikings,6-6,257
"Brown, Noah",WR,Cowboys,6-2,222
"Smith, Jonnu",TE,Titans,6-3,248
"Marshall, Jalin",WR,Jets,5-10,200
"Clark, Michael",WR,Packers,6-6,217
"Thomas, Solomon",DL,49ers,6-3,273
"Garrett, Myles",DL,Browns,6-4,272
"Clark, Kenny",DT,Packers,6-3,314
"McKinley, Takkarist",DE,Falcons,"6'4""",230
