Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM,P Blk,Score,Weighted Score
"Lions
            
          

            Lions",13.4,34,456,1,4,2,90T,15,1,0,199.56000000000006,100.0
"Browns
            
          

            Browns",10.0,44,441,0,1,0,28,14,2,0,191.4,94.2176870748299
"Broncos
            
          

            Broncos",15.7,26,408,0,7,1,61,20,0,0,182.27999999999997,87.75510204081627
"Patriots
            
          

            Patriots",14.8,26,386,0,5,2,62,8,2,1,170.32000000000002,79.2800453514739
"Texans
            
          

            Texans",8.5,39,331,0,2,0,36,20,2,0,147.2,62.89682539682536
"Bills
            
          

            Bills",11.2,25,281,0,3,0,29,6,1,0,124.87999999999998,47.08049886621311
"Saints
            
          

            Saints",12.3,22,271,1,3,3,54T,20,2,1,122.41999999999999,45.33730158730155
"49ers
            
          

            49ers",9.0,30,271,0,2,0,30,9,2,0,120.50000000000001,43.976757369614496
"Chiefs
            
          

            Chiefs",10.0,27,269,0,3,1,55,11,0,0,120.5,43.97675736961449
"Steelers
            
          

            Steelers",11.3,23,259,1,2,1,73T,15,0,1,116.12000000000002,40.873015873015866
"Jaguars
            
          

            Jaguars",12.8,20,257,1,2,2,96T,17,1,0,115.52000000000002,40.44784580498866
"Eagles
            
          

            Eagles",9.3,26,242,0,3,0,31,24,2,0,110.52000000000001,36.90476190476189
"Titans
            
          

            Titans",7.6,32,244,0,1,0,20,11,3,0,108.94,35.78514739229023
"Chargers
            
          

            Chargers",13.1,18,235,0,2,1,53,30,1,0,107.44000000000001,34.72222222222221
"Colts
            
          

            Colts",10.8,22,237,0,2,0,36,12,0,1,106.32000000000002,33.92857142857142
"Jets
            
          

            Jets",7.9,29,230,0,3,1,40,15,3,1,104.85999999999999,32.89399092970518
"Bengals
            
          

            Bengals",7.3,30,220,0,1,0,23,11,1,0,98.81999999999998,28.61394557823126
"Dolphins
            
          

            Dolphins",9.7,22,213,0,2,1,44,14,1,0,96.48000000000002,26.95578231292517
"Raiders
            
          

            Raiders",9.3,22,204,0,2,0,24,17,1,0,93.02000000000002,24.50396825396826
"Giants
            
          

            Giants",7.2,28,203,0,2,0,22,17,2,0,92.98,24.475623582766428
"Commanders
            
          

            Commanders",9.8,20,196,0,2,0,24,18,3,0,89.72,22.16553287981858
"Ravens
            
          

            Ravens",11.2,17,190,0,2,0,22,20,3,0,87.48,20.578231292516996
"Bears
            
          

            Bears",9.0,21,189,0,2,0,38,10,1,2,86.00000000000001,19.529478458049883
"Panthers
            
          

            Panthers",7.4,24,177,0,0,0,16,8,1,0,79.36,14.824263038548743
"Cowboys
            
          

            Cowboys",10.4,16,166,1,3,1,60T,15,2,0,77.96,13.832199546485246
"Falcons
            
          

            Falcons",9.3,18,168,0,1,0,28,17,0,1,77.02,13.166099773242617
"Cardinals
            
          

            Cardinals",9.6,17,163,0,1,0,27,3,0,0,73.54,10.700113378684803
"Vikings
            
          

            Vikings",7.2,21,152,0,0,0,15,10,1,1,68.88000000000001,7.3979591836734695
"Packers
            
          

            Packers",7.9,18,142,0,1,0,39,22,3,0,66.56,5.7539682539682495
"Seahawks
            
          

            Seahawks",7.6,18,137,0,1,0,23,23,2,1,64.54,4.322562358276643
"Rams
            
          

            Rams",8.3,15,125,0,1,0,38,18,0,1,58.92,0.34013605442176637
"Buccaneers
            
          

            Buccaneers",9.1,14,127,0,0,0,17,12,1,0,58.440000000000005,0.0
