Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,Y/R,FL,G,FPTS,FPTS/G,ROST,Score
2,Saquon Barkley,345,2005,5.8,72,17,13,33,43,8.4,1,16,355.3,22.2,99.2%,986.04
4,Derrick Henry,325,1921,5.9,87,19,16,19,22,10.2,1,17,336.4,19.8,99.7%,944.955
3,Bijan Robinson,304,1456,4.8,37,5,14,61,72,7.1,0,17,341.7,20.1,99.8%,735.8900000000001
1,Jahmyr Gibbs,250,1412,5.6,70,13,16,52,63,9.9,1,17,362.9,21.3,99.8%,721.61
12,Jonathan Taylor,303,1431,4.7,70,11,11,18,31,7.6,1,14,244.7,17.5,99.7%,703.2450000000001
6,Josh Jacobs,301,1329,4.4,38,7,15,36,43,9.5,3,17,293.1,17.2,99.3%,668.49
7,Kyren Williams,316,1299,4.1,30,2,14,34,40,5.4,3,16,272.1,17.0,97.8%,650.2850000000001
15,Chuba Hubbard,250,1195,4.8,38,8,10,43,54,4.0,3,15,241.6,16.1,80.3%,595.6200000000001
14,Aaron Jones Sr.,255,1138,4.5,41,3,5,51,62,8.0,3,17,241.6,14.2,96.7%,567.355
13,Bucky Irving,207,1122,5.4,56,8,8,47,52,8.3,1,17,244.4,14.4,91.3%,562.11
11,James Conner,236,1094,4.6,53,6,8,47,55,8.8,1,16,253.8,15.9,92.1%,551.72
21,Tony Pollard,260,1079,4.2,41,6,5,41,57,5.8,2,16,200.7,12.5,89.7%,532.07
23,Rico Dowdle,235,1079,4.6,27,2,2,39,49,6.4,2,16,197.8,12.4,73.6%,530.32
8,James Cook,207,1009,4.9,65,6,16,32,38,8.1,0,16,266.7,16.7,97.6%,519.535
20,Najee Harris,263,1043,4.0,36,9,6,36,48,7.9,0,17,204.6,12.0,90.1%,516.87
17,Joe Mixon,245,1016,4.1,59,8,11,36,52,8.6,0,14,240.5,17.2,97.9%,515.475
10,Chase Brown,229,990,4.3,40,8,7,54,65,6.7,1,16,255.0,15.9,81.5%,504.715
9,Alvin Kamara,228,950,4.2,24,3,6,68,89,8.0,0,14,265.3,19.0,94.6%,489.28999999999996
19,D'Andre Swift,253,959,3.8,56,5,6,42,52,9.2,0,17,214.5,12.6,91.0%,481.19999999999993
5,De'Von Achane,203,907,4.5,61,5,6,78,87,7.6,0,17,299.9,17.6,99.5%,476.485
24,J.K. Dobbins,195,905,4.6,61,6,9,32,38,4.8,0,13,191.8,14.8,82.7%,454.34000000000003
16,Breece Hall,209,876,4.2,42,3,5,57,76,8.5,2,16,240.9,15.1,99.0%,449.53999999999996
26,Tyrone Tracy Jr.,192,839,4.4,45,6,5,38,53,7.5,2,17,182.3,10.7,82.2%,419.88
18,David Montgomery,185,775,4.2,21,1,12,36,38,9.5,1,14,221.7,15.8,80.3%,403.26
28,Rhamondre Stevenson,207,801,3.9,33,2,7,33,41,5.1,3,15,175.9,11.7,88.2%,402.525
29,Brian Robinson Jr.,187,799,4.3,40,4,8,20,25,8.0,2,14,159.8,11.4,91.1%,398.775
41,Jordan Mason,153,789,5.2,38,9,3,11,14,8.3,1,12,115.0,9.6,44.9%,382.90999999999997
36,Tank Bigsby,168,766,4.6,65,4,7,7,12,7.7,1,16,129.0,8.1,39.5%,376.42
31,Kareem Hunt,200,728,3.6,20,1,7,23,32,7.7,0,13,155.4,12.0,57.5%,365.62000000000006
22,Rachaad White,144,613,4.3,56,2,3,51,57,7.7,3,16,199.6,12.5,93.0%,321.365
43,Tyler Allgeier,137,644,4.7,25,4,3,13,13,6.8,0,17,106.2,6.2,33.6%,314.805
27,Kenneth Walker III,153,573,3.7,28,5,7,46,53,6.5,0,11,181.2,16.5,89.5%,302.39500000000004
