Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM,FG Blk,XP Blk,Score,Weighted Score,Combined Score
Cowboys,32.7,31,1013,2,27,5,99,0,0,0,1,425.04,94.90079732987205,182.6558993706883
Bengals,28.2,32,902,1,27,1,100T,0,1,1,0,379.04,80.68483837072749,174.9025254455574
Jets,30.9,26,804,1,26,3,99T,0,0,0,1,339.08000000000004,68.33549663143582,168.33549663143583
Giants,26.3,35,919,0,33,1,47,0,3,2,0,386.86000000000007,83.10155139378207,145.99837679060744
Commanders,29.2,36,1053,0,35,2,62,0,1,1,0,441.54,100.0,145.33730158730157
Panthers,25.4,41,1041,0,34,1,43,0,1,0,0,436.68000000000006,98.49805303170778,134.283200423998
Seahawks,27.8,34,947,1,28,1,97T,0,3,1,1,397.7600000000001,86.47011558192722,113.42589789485238
Saints,26.8,31,831,0,26,2,42,0,0,2,0,349.36,71.51245441621855,108.41721632098043
Ravens,26.5,28,741,0,25,1,59,0,0,1,0,312.4000000000001,60.09024043513199,104.06699780474648
Browns,24.1,36,869,0,30,2,56,1,0,1,0,365.82,76.59929538290375,101.07491896567018
Lions,32.1,12,385,0,11,1,72,0,0,0,0,165.11999999999998,14.57444835898386,93.85449371045776
Eagles,25.8,28,723,0,24,0,34,0,1,0,1,304.86000000000007,57.76005933617655,90.65405026588174
Texans,29.1,21,611,0,18,3,80,0,0,0,0,258.32,43.37721738055504,90.45771624676814
Colts,29.3,22,644,0,21,3,55,0,0,0,0,272.36,47.71617528895482,88.16402109394349
Cardinals,28.4,24,681,1,21,1,96T,1,1,0,0,287.8800000000001,52.512516224735805,86.44108765330722
Titans,26.5,34,901,0,33,1,42,0,2,0,0,379.4000000000001,80.79609370171212,80.79609370171212
49ers,27.8,26,724,0,24,3,60,0,3,1,0,305.76000000000005,58.03819766363806,80.20373054345664
Raiders,30.0,19,570,0,18,2,68,0,1,0,0,241.7,38.24092960009889,72.9631518223211
Falcons,26.5,24,637,0,23,0,38,0,1,0,1,269.6000000000001,46.86321775140617,71.36718600537444
Rams,26.4,25,659,0,22,2,43,1,0,0,2,278.47999999999996,49.60751591569317,69.13699437374305
Bears,28.6,22,630,0,20,2,67,0,1,0,0,266.42,45.88046232770876,66.45869362022576
Chiefs,26.8,25,671,0,21,1,56,0,0,1,0,283.06000000000006,51.022930959886295,64.18903073312892
Packers,29.2,15,438,0,15,1,43,0,0,1,1,187.14000000000001,21.379566104209164,62.252581977225034
Jaguars,25.3,27,683,0,24,2,41,0,2,1,1,288.85999999999996,52.815377959082745,57.13794031735939
Buccaneers,25.8,25,644,0,21,2,53,0,0,1,0,272.16,47.65436677174115,53.408335025709405
Broncos,28.1,12,337,0,11,0,38,0,0,0,0,145.02,8.36269237900983,52.33944974862432
Chargers,28.2,20,564,0,17,2,56,0,1,1,0,238.94,37.38797206255022,51.22017160903546
Dolphins,27.7,21,582,0,19,1,45,0,0,0,0,246.44,39.70579145806292,50.40590483674772
Patriots,25.2,19,478,0,15,1,46,0,0,0,0,203.14000000000001,26.324247481302926,41.14851051985167
Steelers,22.7,21,477,0,13,0,35,0,0,2,0,202.14,26.015204895234557,33.413164078908025
Vikings,24.8,11,273,0,8,0,35,0,0,1,0,117.96,0.0,28.61394557823126
Bills,25.9,16,415,0,14,1,53,0,1,0,0,177.38,18.36331046418196,18.703446518603727
