Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,FL,G,FPTS,FPTS/G,ROST,Score
1,Ja'Marr Chase,127,175,1708,13.4,70,19,17,3,0,17,403.0,23.7,99.7%,479.95
2,Justin Jefferson,103,154,1533,14.9,97,28,10,1,0,17,317.5,18.7,99.8%,424.3
3,Amon-Ra St. Brown,115,141,1263,11.0,66,14,12,2,1,17,316.2,18.6,99.7%,362.0
5,Drake London,100,158,1271,12.7,39,12,9,1,0,17,280.8,16.5,98.4%,357.25
4,Brian Thomas Jr.,87,133,1282,14.7,85,18,10,6,0,17,284.0,16.7,93.2%,355.95
6,Malik Nabers,109,170,1204,11.0,59,16,7,5,0,15,273.6,18.2,97.7%,342.65
13,Jerry Jeudy,90,145,1229,13.7,89,13,4,0,0,17,240.9,14.2,75.9%,340.75
8,CeeDee Lamb,101,152,1194,11.8,65,16,6,14,1,15,263.4,17.6,93.2%,336.85
9,Jaxon Smith-Njigba,100,137,1130,11.3,46,14,6,5,0,17,253.0,14.9,90.4%,320.5
12,Ladd McConkey,82,112,1149,14.0,60,15,7,0,0,16,240.9,15.1,88.2%,319.45
10,Garrett Wilson,101,154,1104,10.9,42,16,7,2,2,17,251.9,14.8,98.8%,314.85
7,Terry McLaurin,82,117,1096,13.4,86,12,13,2,1,17,267.8,15.8,94.2%,309.2
15,Courtland Sutton,81,135,1081,13.3,47,17,8,0,1,17,240.3,14.1,90.3%,302.6
11,Davante Adams,85,141,1063,12.5,71,16,8,0,0,14,241.3,17.2,98.9%,299.5
20,A.J. Brown,67,97,1079,16.1,67,17,7,0,0,13,216.9,16.7,98.7%,296.7
25,Zay Flowers,74,116,1059,14.3,53,19,4,9,0,17,209.5,12.3,95.1%,292.65
19,Jakobi Meyers,87,129,1027,11.8,43,16,4,2,0,15,218.0,14.5,71.1%,289.2
14,Mike Evans,74,110,1004,13.6,57,15,11,0,0,14,240.4,17.2,98.6%,282.4
16,DJ Moore,98,140,966,9.9,44,11,6,14,1,17,238.1,14.0,94.8%,278.8
23,Nico Collins,68,99,1006,14.8,67,14,7,0,0,12,210.6,17.6,98.8%,278.8
28,Calvin Ridley,64,120,1017,15.9,63,19,4,8,1,17,199.2,11.7,85.9%,278.65
26,Puka Nacua,79,106,990,12.5,51,11,3,11,0,11,206.6,18.8,97.1%,276.65
22,Jameson Williams,58,91,1001,17.3,82,17,7,11,0,15,212.2,14.1,86.4%,274.05
24,Jauan Jennings,77,113,975,12.7,45,12,6,0,0,15,210.5,14.0,80.0%,273.7
32,DK Metcalf,66,108,992,15.0,71,20,5,0,2,15,191.2,12.7,96.7%,273.6
31,Darnell Mooney,64,106,992,15.5,49,21,5,0,0,16,193.2,12.1,70.5%,272.9
18,Tyreek Hill,81,123,959,11.8,80,13,6,8,0,17,218.2,12.8,99.2%,271.1
17,Tee Higgins,73,109,911,12.5,42,12,10,0,1,12,222.1,18.5,95.3%,258.3
42,George Pickens,59,103,900,15.3,44,17,3,2,1,14,164.4,11.7,93.4%,247.15
30,Marvin Harrison Jr.,62,116,885,14.3,60,14,8,0,1,17,196.5,11.6,95.6%,246.95
21,Jordan Addison,63,99,875,13.9,69,13,9,3,0,15,212.5,14.2,86.0%,245.3
29,Jayden Reed,55,75,857,15.6,70,15,6,20,1,17,197.0,11.6,88.5%,236.5
27,DeVonta Smith,68,89,833,12.3,49,14,8,1,0,13,199.4,15.3,92.6%,236.05
37,Khalil Shakir,76,100,821,10.8,52,9,4,2,0,15,182.5,12.2,78.3%,233.85
35,Josh Downs,72,107,803,11.2,69,10,5,1,0,14,183.5,13.1,54.0%,228.45
41,Michael Pittman Jr.,69,111,808,11.7,33,12,3,0,1,16,165.8,10.4,81.0%,227.65
43,Alec Pierce,37,69,824,22.3,65,13,7,0,0,16,161.4,10.1,21.8%,222.45
34,Keenan Allen,70,121,744,10.6,45,9,7,0,0,15,185.4,12.4,84.6%,214.0
40,Rashod Bateman,45,72,756,16.8,59,11,9,0,0,17,174.6,10.3,26.5%,209.25
36,Wan'Dale Robinson,93,140,699,7.5,35,4,3,3,0,17,182.7,10.7,36.9%,208.8
46,Jaylen Waddle,58,83,744,12.8,63,12,2,4,0,16,149.6,9.4,83.9%,207.3
38,Cooper Kupp,67,100,710,10.6,69,10,6,2,0,12,175.0,14.6,96.0%,203.95
49,Rome Odunze,54,101,734,13.6,47,8,3,3,1,17,144.9,8.5,65.4%,203.9
39,Quentin Johnston,55,91,711,12.9,66,12,8,3,0,15,174.7,11.6,52.7%,201.0
50,Ray-Ray McCloud III,62,87,686,11.1,60,8,1,10,2,17,140.5,8.3,19.3%,193.7
44,Deebo Samuel Sr.,51,81,670,13.1,76,10,3,42,1,15,153.6,10.2,94.2%,186.85
51,Tank Dell,51,81,667,13.1,50,9,3,9,0,14,140.0,10.0,76.4%,186.1
33,Xavier Worthy,59,98,638,10.8,54,4,6,20,0,17,187.2,11.0,78.4%,183.15
47,DeMario Douglas,66,87,621,9.4,36,8,3,3,0,17,147.7,8.7,19.2%,179.85
48,DeAndre Hopkins,56,80,610,10.9,35,6,5,0,0,16,147.0,9.2,81.1%,174.6
