First Name,Last Name,Position,Height,Weight,Arms,Hands,Team,Conference,Division
Aaron,Rodgers,QB,6-2,223.0,,,New York Jets,AFC,East
Alex,McGough,QB,6-3,214.0,,,Green Bay Packers,NFC,North
Andy,Dalton,QB,6-2,220.0,31 3/4,9 1/2,Carolina Panthers,NFC,South
Anthony,Richardson,QB,6-4,244.0,32 3/4,10 1/2,Indianapolis Colts,AFC,South
Austin,Reed,QB,6-1,220.0,30 1/4,10,Chicago Bears,NFC,North
Bailey,Zappe,QB,6-1,215.0,31 1/2,9 3/4,Cleveland Browns,AFC,North
Bailey,Zappe,QB,6-1,215.0,31 1/2,9 3/4,Kansas City Chiefs,AFC,West
Baker,Mayfield,QB,6-1,215.0,30 1/4,9 1/4,Tampa Bay Buccaneers,NFC,South
Ben,DiNucci,QB,6-3,209.0,,,New Orleans Saints,NFC,South
Bo,Nix,QB,6-2,217.0,32,10 1/4,Denver Broncos,AFC,West
Brandon,Allen,QB,6-2,209.0,31 1/4,9,San Francisco 49ers,NFC,NFC
Brett,Rypien,QB,6-2,210.0,30 1/2,9,Minnesota Vikings,NFC,North
Brock,Purdy,QB,6-1,220.0,29,9 1/4,San Francisco 49ers,NFC,NFC
Bryce,Young,QB,5-10,204.0,30 1/2,9 3/4,Carolina Panthers,NFC,South
Caleb,Williams,QB,6-1,215.0,32,9 3/4,Chicago Bears,NFC,North
Carson,Wentz,QB,6-5,237.0,33 1/4,10,Kansas City Chiefs,AFC,West
Carter,Bradley,QB,6-3,213.0,,,Las Vegas Raiders,AFC,West
Case,Keenum,QB,6-1,215.0,31,9 1/4,Houston Texans,AFC,South
Chris,Oladokun,QB,6-1,213.0,,,Kansas City Chiefs,AFC,West
Clayton,Tune,QB,6-3,220.0,31 1/2,9 1/2,Arizona Cardinals,NFC,West
Cooper,Rush,QB,6-3,225.0,32 1/2,9 1/4,Dallas Cowboys,NFC,East
Dak,Prescott,QB,6-2,238.0,32 1/4,10,Dallas Cowboys,NFC,East
Daniel,Jones,QB,6-5,230.0,32 1/2,9 3/4,Minnesota Vikings,NFC,North
Daniel,Jones,QB,6-5,230.0,32 1/2,9 3/4,New York Giants,NFC,East
Davis,Mills,QB,6-4,225.0,31 1/2,9 1/2,Houston Texans,AFC,South
Derek,Carr,QB,6-3,215.0,31 1/2,9 1/4,New Orleans Saints,NFC,South
Deshaun,Watson,QB,6-3,223.0,33,9 3/4,Cleveland Browns,AFC,North
Desmond,Ridder,QB,6-3,207.0,32 3/4,10,Arizona Cardinals,NFC,West
Desmond,Ridder,QB,6-3,207.0,32 3/4,10,Las Vegas Raiders,AFC,West
Devin,Leary,QB,6-1,215.0,31,9 1/2,Baltimore Ravens,AFC,North
Dorian,Thompson-Robinson,QB,6-2,203.0,30 3/4,10,Cleveland Browns,AFC,North
Drake,Maye,QB,6-4,225.0,32 1/4,9 1/4,New England Patriots,AFC,East
Drew,Lock,QB,6-4,228.0,32 1/2,9,New York Giants,NFC,East
Easton,Stick,QB,6-1,224.0,32 1/4,9 1/4,Los Angeles Chargers,AFC,West
Emory,Jones,QB,6-2,210.0,,,Atlanta Falcons,NFC,South
Gardner,Minshew,QB,6-1,225.0,31 3/4,10 1/4,Las Vegas Raiders,AFC,West
