First Name,Last Name,Position,Height,Weight,Arms,Hands,Team,Conference,Division
Adam,Thielen,WR,6-2,195.0,,,Carolina Panthers,NFC,South
Adonai,Mitchell,WR,6-2,205.0,32 1/2,9,Indianapolis Colts,AFC,South
Ahmarean,Brown,WR,5-9,167.0,,,Buffalo Bills,AFC,East
Ainias,Smith,WR,5-9,176.0,29,8 1/2,Philadelphia Eagles,NFC,East
Alec,Pierce,WR,6-3,211.0,33,9,Indianapolis Colts,AFC,South
Alex,Johnson,WR,5-9,167.0,,,Indianapolis Colts,AFC,South
Alex,Bachman,WR,6-0,190.0,,,Las Vegas Raiders,AFC,West
Alex,Erickson,WR,6-0,195.0,,,New England Patriots,AFC,East
Alex,Johnson,WR,5-9,167.0,,,New York Giants,NFC,East
Allen,Robinson,WR,6-2,220.0,32,9 1/2,Detroit Lions,NFC,North
Allen,Lazard,WR,6-5,227.0,32 1/4,9 3/4,New York Jets,AFC,East
Amari,Cooper,WR,6-1,210.0,31 1/2,10,Buffalo Bills,AFC,East
Amari,Cooper,WR,6-1,210.0,31 1/2,10,Cleveland Browns,AFC,North
Andre,Baccellia,WR,5-10,175.0,,,Arizona Cardinals,NFC,West
Andrei,Iosivas,WR,6-3,210.0,32,8 3/4,Cincinnati Bengals,AFC,North
Andy,Isabella,WR,5-9,188.0,29 3/4,8 1/2,Pittsburgh Steelers,AFC,North
Anthony,Miller,WR,5-11,199.0,31 3/4,10,Baltimore Ravens,AFC,North
Anthony,Gould,WR,5-8,174.0,29 3/4,9,Indianapolis Colts,AFC,South
Anthony,Schwartz,WR,6-0,195.0,31 1/2,9 1/2,Miami Dolphins,AFC,East
Antoine,Green,WR,6-2,200.0,32 1/4,9,Detroit Lions,NFC,North
Ashton,Dulin,WR,6-2,215.0,33 1/2,9,Indianapolis Colts,AFC,South
Austin,Trammell,WR,5-10,185.0,,,Jacksonville Jaguars,AFC,South
Ben,Skowronek,WR,6-3,224.0,33 1/4,10 1/4,Pittsburgh Steelers,AFC,North
Bo,Melton,WR,5-11,189.0,31 1/4,9,Green Bay Packers,NFC,North
Brandin,Cooks,WR,5-10,189.0,30 3/4,9 3/4,Dallas Cowboys,NFC,East
Brandon,Powell,WR,5-8,181.0,,,Minnesota Vikings,NFC,North
Brandon,Aiyuk,WR,6-0,200.0,33 1/2,9 3/4,San Francisco 49ers,NFC,NFC
Brandon,Coleman,WR,6-6,225.0,34,9 1/4,Washington Commanders,NFC,East
Braxton,Berrios,WR,5-9,185.0,28,9 1/4,Miami Dolphins,AFC,East
Braylon,Sanders,WR,6-1,190.0,31 1/2,10,New England Patriots,AFC,East
Brenden,Rice,WR,6-3,210.0,33,9 3/4,Los Angeles Chargers,AFC,West
Britain,Covey,WR,5-8,173.0,,,Philadelphia Eagles,NFC,East
Bryce,Ford-Wheaton,WR,6-3,220.0,33 1/2,9 1/2,New York Giants,NFC,East
Bryce,Oliver,WR,6-1,214.0,,,Tennessee Titans,AFC,South
Brycen,Tremayne,WR,6-4,212.0,,,Washington Commanders,NFC,East
Bub,Means,WR,6-2,215.0,33 1/4,10 1/4,New Orleans Saints,NFC,South
Calvin,Austin III,WR,5-9,162.0,30,9 1/4,Pittsburgh Steelers,AFC,North
Calvin,Ridley,WR,6-1,190.0,31 3/4,9 1/4,Tennessee Titans,AFC,South
Casey,Washington,WR,6-0,200.0,,,Atlanta Falcons,NFC,South
Cedric,Tillman,WR,6-2,219.0,,,Cleveland Browns,AFC,North
CeeDee,Lamb,WR,6-2,200.0,32 1/4,9 1/4,Dallas Cowboys,NFC,East
Charlie,Jones,WR,5-8,175.0,,,Cincinnati Bengals,AFC,North
Chase,Cota,WR,6-4,200.0,,,New York Giants,NFC,East
Chris,Moore,WR,6-1,200.0,33 1/2,9 1/2,Arizona Cardinals,NFC,West
Chris,Blair,WR,6-2,198.0,,,Atlanta Falcons,NFC,South
Chris,Brooks,WR,6-2,210.0,,,Green Bay Packers,NFC,North
Chris,Olave,WR,6-0,187.0,31 1/4,9 1/2,New Orleans Saints,NFC,South
Chris,Conley,WR,6-3,205.0,33 3/4,10,San Francisco 49ers,NFC,NFC
Chris,Godwin,WR,6-1,209.0,31 3/4,9 1/4,Tampa Bay Buccaneers,NFC,South
Chris,Moore,WR,6-1,200.0,33 1/2,9 1/2,Washington Commanders,NFC,East
Christian,Watson,WR,6-4,208.0,32 1/2,10 1/4,Green Bay Packers,NFC,North
Christian,Kirk,WR,5-11,200.0,30 1/2,10,Jacksonville Jaguars,AFC,South
Cody,Thompson,WR,6-2,205.0,31,9 1/2,Tampa Bay Buccaneers,NFC,South
Cole,Burgess,WR,6-1,192.0,,,Cincinnati Bengals,AFC,North
Collin,Johnson,WR,6-6,220.0,31 3/4,9,Chicago Bears,NFC,North
Colton,Dowell,WR,6-3,212.0,,,Tennessee Titans,AFC,South
Cooper,Kupp,WR,6-2,208.0,31 1/2,9 1/2,Los Angeles Rams,NFC,West
Cornell,Powell,WR,6-0,204.0,32 3/4,10,Kansas City Chiefs,AFC,West
Cornell,Powell,WR,6-0,204.0,32 3/4,10,Seattle Seahawks,NFC,West
Courtland,Sutton,WR,6-4,216.0,32 1/2,9 3/4,Denver Broncos,AFC,West
Curtis,Samuel,WR,5-11,195.0,31 1/4,9 1/2,Buffalo Bills,AFC,East
Dan,Chisena,WR,6-3,202.0,,,Arizona Cardinals,NFC,West
Dan,Chisena,WR,6-3,202.0,,,Carolina Panthers,NFC,South
Danny,Gray,WR,6-0,200.0,32,9 3/4,Philadelphia Eagles,NFC,East
Dante,Pettis,WR,6-1,195.0,32 1/4,9 1/2,New Orleans Saints,NFC,South
Dareke,Young,WR,6-2,224.0,,,Seattle Seahawks,NFC,West
Darius,Slayton,WR,6-1,198.0,32 3/4,10,New York Giants,NFC,East
Darnell,Mooney,WR,5-11,177.0,31,9 3/4,Atlanta Falcons,NFC,South
Davante,Adams,WR,6-1,215.0,32 3/4,9,Las Vegas Raiders,AFC,West
Davante,Adams,WR,6-1,215.0,32 3/4,9,New York Jets,AFC,East
David,Moore,WR,6-0,219.0,,,Carolina Panthers,NFC,South
David,Bell,WR,6-1,212.0,32,9 1/4,Cleveland Browns,AFC,North
David,Sills,WR,6-3,211.0,32,9,Denver Broncos,AFC,West
Dax,Milne,WR,6-1,200.0,29 1/2,9 1/2,Carolina Panthers,NFC,South
Dayton,Wade,WR,5-9,184.0,,,Baltimore Ravens,AFC,North
DeAndre,Carter,WR,5-8,190.0,,,Chicago Bears,NFC,North
DeAndre,Hopkins,WR,6-1,212.0,33 1/2,10,Kansas City Chiefs,AFC,West
DeAndre,Hopkins,WR,6-1,212.0,33 1/2,10,Tennessee Titans,AFC,South
Demarcus,Robinson,WR,6-1,203.0,33,9 1/2,Los Angeles Rams,NFC,West
