Pos.,Team,Ht.,Wt.,Last Name,First Name,ID,Abbreviation,Conference,Division
WR,Giants,6-3,220,Lane,Jerome,21.0,NYG,NFC,East
WR,Falcons,6-0,170,Davis,Reggie,2.0,ATL,NFC,South
WR,Broncos,5-11,199,Henderson,Carlos,10.0,DEN,AFC,West
WR,Bills,6-1,202,Shorts,Daikiel,4.0,BUF,AFC,East
WR,Falcons,5-10,183,Hall,Marvin,2.0,ATL,NFC,South
WR,Broncos,5-7,173,McKenzie,Isaiah,10.0,DEN,AFC,West
WR,Chiefs,6-4,185,Kemp,Marcus,16.0,KC,AFC,West
WR,Chiefs,6-4,198,Stevens,Tony,16.0,KC,AFC,West
WR,Bills,6-2,200,Reilly,Brandon,4.0,BUF,AFC,East
WR,Panthers,5-11,195,Samuel,Curtis,5.0,CAR,NFC,South
WR,Steelers,6-1,215,Smith-Schuster,JuJu,25.0,PIT,AFC,North
WR,Vikings,6-2,215,Treadwell,Laquon,18.0,MIN,NFC,North
WR,Rams,5-8,169,Ryan,Shakeir,29.0,LAR,NFC,West
WR,Buccaneers,6-1,205,Godwin,Chris,30.0,TB,NFC,South
WR,Dolphins,6-2,198,Ford,Isaiah,17.0,MIA,AFC,East
WR,Packers,6-2,196,Dupre,Malachi,12.0,GB,NFC,North
WR,Eagles,5-11,186,Ward,Greg,24.0,PHI,NFC,East
WR,49ers,6-1,203,Bourne,Kendrick,27.0,SF,NFC,West
WR,Jets,5-11,182,Cannon,KD,22.0,NYJ,AFC,East
WR,Raiders,6-3,224,Zamora,Ishmael,23.0,LV,AFC,West
WR,Bengals,6-3,208,Malone,Josh,7.0,CIN,AFC,North
WR,Titans,5-11,188,Cherry,Bra'Lon,31.0,TEN,AFC,South
WR,Cowboys,6-2,222,Brown,Noah,9.0,DAL,NFC,East
WR,Jets,5-10,200,Marshall,Jalin,22.0,NYJ,AFC,East
WR,Packers,6-6,217,Clark,Michael,12.0,GB,NFC,North
WR,Packers,6-0,194,Pearson,Colby,12.0,GB,NFC,North
WR,49ers,5-8,178,Bolden,"Jr., Victor",27.0,SF,NFC,West
WR,Cowboys,5-10,181,Switzer,Ryan,9.0,DAL,NFC,East
WR,Rams,5-11,207,Cooper,Pharoh,29.0,LAR,NFC,West
WR,Bills,6-2,200,Jones,Zay,4.0,BUF,AFC,East
WR,Seahawks,6-2,203,Lawler,Kenny,28.0,SEA,NFC,West
WR,Lions,6-1,200,Thomas,Noel,11.0,DET,NFC,North
WR,Vikings,6-1,189,Adams,Rodney,18.0,MIN,NFC,North
WR,Titans,6-1,195,Pascascio,Giovanni,31.0,TEN,AFC,South
WR,Titans,5-11,203,Taylor,Taywan,31.0,TEN,AFC,South
WR,Rams,6-3,230,North,Marquez,29.0,LAR,NFC,West
WR,Chiefs,6-1,203,Robinson,Demarcus,16.0,KC,AFC,West
WR,Raiders,6-1,212,Hatcher,Keon,23.0,LV,AFC,West
WR,Bengals,5-11,188,Ross,John,7.0,CIN,AFC,North
WR,Steelers,5-9,190,Ayers,Demarcus,25.0,PIT,AFC,North
WR,Cardinals,6-1,204,Williams,Chad,1.0,ARI,NFC,West
WR,Packers,6-1,220,Yancey,DeAngelo,12.0,GB,NFC,North
WR,Commanders,6-2,219,Pascal,Zach,,,,
WR,Commanders,6-0,177,Quick,James,,,,
WR,Ravens,6-3,197,Adeboyejo,Quincy,3.0,BAL,AFC,North
WR,Cowboys,6-1,204,Brown,Brian,9.0,DAL,NFC,East
WR,Cardinals,6-4,215,Bundy,Marquis,1.0,ARI,NFC,West
WR,Bears,6-2,210,Gentry,Tanner,6.0,CHI,NFC,North
WR,Browns,5-11,185,Coleman,Corey,8.0,CLE,AFC,North
WR,Broncos,5-9,160,Raymond,Kalif,10.0,DEN,AFC,West
WR,Titans,6-2,194,Sharpe,Tajae',31.0,TEN,AFC,South
WR,Commanders,6-3,217,Davis,Robert,,,,
WR,Panthers,6-2,210,Ross,Fred,5.0,CAR,NFC,South
WR,Jets,5-11,189,Marks,Gabe,22.0,NYJ,AFC,East
WR,Ravens,5-10,175,White,Tim,3.0,BAL,AFC,North
WR,Jets,6-2,202,Hansen,Chad,22.0,NYJ,AFC,East
WR,Ravens,6-1,233,Bailey,Aaron,3.0,BAL,AFC,North
WR,Eagles,5-11,191,Gibson,Shelton,24.0,PHI,NFC,East
WR,Browns,6-1,198,Higgins,Rashard,8.0,CLE,AFC,North
WR,Cowboys,6-1,214,Jones,Andy,9.0,DAL,NFC,East
WR,Dolphins,6-0,193,Morgan,Drew,17.0,MIA,AFC,East
WR,Giants,6-2,211,Johnson,Keeon,21.0,NYG,NFC,East
WR,Dolphins,6-3,210,Owusu,Francis,17.0,MIA,AFC,East
WR,Chargers,5-10,190,Scott,Artavis,26.0,LAC,AFC,West
WR,Bengals,6-2,197,Boyd,Tyler,7.0,CIN,AFC,North
WR,Colts,6-4,221,Howard,Bug,14.0,IND,AFC,South
WR,Seahawks,6-2,219,Moore,David,28.0,SEA,NFC,West
WR,Rams,6-3,192,Reynolds,Josh,29.0,LAR,NFC,West
WR,Buccaneers,5-11,187,Sperbeck,Thomas,30.0,TB,NFC,South
WR,Dolphins,6-2,219,Stringfellow,Damore'ea,17.0,MIA,AFC,East
WR,Titans,6-3,209,Davis,Corey,31.0,TEN,AFC,South
WR,Eagles,6-1,204,Johnson,Marcus,24.0,PHI,NFC,East
WR,Cardinals,6-3,222,Hogan,Krishawn,1.0,ARI,NFC,West
WR,Buccaneers,5-9,186,Wilson,Jesus,30.0,TB,NFC,South
WR,Falcons,6-2,205,Burton,Deante,2.0,ATL,NFC,South
WR,Rams,6-1,195,Thomas,Mike,29.0,LAR,NFC,West
WR,Raiders,6-1,211,Cooper,Amari,23.0,LV,AFC,West
