Pos.,Team,Ht.,Wt.,First Name,Last Name,ID,Abbreviation,Conference,Division
TE,Seahawks,6-6,241,Donatell,Stevie,28.0,SEA,NFC,West
TE,Bills,6-5,262,Towbridge,Keith,4.0,BUF,AFC,East
TE,Broncos,6-6,250,Butt,Jake,10.0,DEN,AFC,West
TE,Vikings,6-6,257,Hodges,Bucky,18.0,MIN,NFC,North
TE,Titans,6-3,248,Smith,Jonnu,31.0,TEN,AFC,South
TE,Jets,6-2,241,Firkser,Anthony,22.0,NYJ,AFC,East
TE,49ers,6-4,247,Hikutini,Cole,27.0,SF,NFC,West
TE,Seahawks,6-4,250,Swoopes,Tyrone,28.0,SEA,NFC,West
TE,Colts,6-3,247,Daniels,Darrell,14.0,IND,AFC,South
TE,Rams,6-4,232,Mundt,Johnny,29.0,LAR,NFC,West
TE,Jets,6-5,258,Leggett,Jordan,22.0,NYJ,AFC,East
TE,Buccaneers,6-6,250,Howard,O.J.,30.0,TB,NFC,South
TE,Falcons,6-4,248,Hooper,Austin,2.0,ATL,NFC,South
TE,Colts,6-6,251,Jeter,Colin,14.0,IND,AFC,South
TE,Rams,6-3,245,Everett,Gerald,29.0,LAR,NFC,West
TE,Chiefs,6-3,236,Byrd,Emanuel,16.0,KC,AFC,West
TE,Dolphins,6-2,241,Duarte,Thomas,17.0,MIA,AFC,East
TE,Panthers,6-4,250,Houston,Wyatt,5.0,CAR,NFC,South
TE,Cardinals,6-5,243,Seals-Jones,Ricky,1.0,ARI,NFC,West
TE,Packers,6-2,239,Peck,Aaron,12.0,GB,NFC,North
TE,Chargers,6-5,250,Henry,Hunter,26.0,LAC,AFC,West
TE,Commanders,6-5,252,Sprinkle,Jeremy,,,,
TE,Browns,6-5,251,McNamara,Taylor,8.0,CLE,AFC,North
TE,Cowboys,6-5,246,Jarwin,Blake,9.0,DAL,NFC,East
TE,Ravens,6-4,250,Burns,Barrett,3.0,BAL,AFC,North
TE,Ravens,6-4,249,Malleck,Ryan,3.0,BAL,AFC,North
TE,Saints,6-4,240,Griffin,Garrett,20.0,NO,NFC,South
TE,Patriots,6-4,239,Hollister,Jacob,19.0,NE,AFC,East
TE,Lions,6-5,200,Tonyan,Robert,11.0,DET,NFC,North
TE,Colts,6-6,260,Alie-Cox,Mo,14.0,IND,AFC,South
TE,Bills,6-4,235,Saxton,Wes,4.0,BUF,AFC,East
TE,Cowboys,6-6,290,Gathers,Rico,9.0,DAL,NFC,East
TE,Lions,6-5,270,Roberts,Michael,11.0,DET,NFC,North
TE,Giants,6-4,250,Thompson,Colin,21.0,NYG,NFC,East
TE,Steelers,6-4,253,Orndoff,Scott,25.0,PIT,AFC,North
TE,Chargers,6-6,245,Culkin,Sean,26.0,LAC,AFC,West
TE,Texans,6-6,245,Baylis,Evan,13.0,HOU,AFC,South
TE,Raiders,6-5,246,Brown,Pharaoh,23.0,LV,AFC,West
TE,Steelers,6-7,261,James,Jesse,25.0,PIT,AFC,North
TE,Falcons,6-4,227,Perkins,Joshua,2.0,ATL,NFC,South
TE,Bengals,6-3,241,Carter,Cethan,7.0,CIN,AFC,North
TE,Lions,6-5,256,Barnes,Brandon,11.0,DET,NFC,North
TE,Bears,6-4,255,Braunecker,Ben,6.0,CHI,NFC,North
TE,Rams,6-5,251,Hemingway,Temarrick,29.0,LAR,NFC,West
TE,Patriots,6-4,250,Cotton,Sam,19.0,NE,AFC,East
TE,Jaguars,6-3,252,Bluiett,Caleb,15.0,JAX,AFC,South
TE,Raiders,6-5,265,O'Malley,Ryan,23.0,LV,AFC,West
TE,49ers,6-4,247,Kittle,George,27.0,SF,NFC,West
TE,Bengals,6-5,258,Schreck,Mason,7.0,CIN,AFC,North
TE,Broncos,6-3,255,Traylor,Austin,10.0,DEN,AFC,West
TE,Texans,6-6,240,Conque,Zach,13.0,HOU,AFC,South
TE,Ravens,6-4,257,Williams,Maxx,3.0,BAL,AFC,North
TE,Bears,6-6,277,Shaheen,Adam,6.0,CHI,NFC,North
TE,Cowboys,6-4,260,Swaim,Geoff,9.0,DAL,NFC,East
TE,Vikings,6-4,243,Price,Josiah,18.0,MIN,NFC,North
TE,Steelers,6-8,251,Odom,Phazahn,25.0,PIT,AFC,North
TE,Rams,6-7,258,Wilson,Travis,29.0,LAR,NFC,West
TE,Bills,6-4,246,Croom,Jason,4.0,BUF,AFC,East
TE,Browns,6-3,240,Holtz,J.P.,8.0,CLE,AFC,North
TE,Lions,6-6,257,Wick,Cole,11.0,DET,NFC,North
TE,Cowboys,6-6,240,McFarland,M.J.,9.0,DAL,NFC,East
TE,Buccaneers,6-1,235,Cross,Alan,30.0,TB,NFC,South
TE,Jaguars,6-4,245,Ellis,Alex,15.0,JAX,AFC,South
TE,Falcons,6-5,265,Griswold,Darion,2.0,ATL,NFC,South
TE,Bengals,6-6,250,Kroft,Tyler,7.0,CIN,AFC,North
TE,Broncos,6-5,255,Scheu,Steven,10.0,DEN,AFC,West
TE,Giants,6-5,261,LaCosse,Matt,21.0,NYG,NFC,East
TE,Seahawks,6-5,257,Vannett,Nick,28.0,SEA,NFC,West
TE,Buccaneers,6-5,257,Westbrook,Tevin,30.0,TB,NFC,South
TE,Broncos,6-5,255,Heuerman,Jeff,10.0,DEN,AFC,West
TE,Cardinals,6-7,252,Wroblewski,Steven,1.0,ARI,NFC,West
TE,Buccaneers,6-5,256,Auclair,Antony,30.0,TB,NFC,South
TE,Jaguars,6-5,258,Koyack,Ben,15.0,JAX,AFC,South
TE,Ravens,6-6,255,Waller,Darren,3.0,BAL,AFC,North
TE,Bills,6-3,252,O'Leary,Nick,4.0,BUF,AFC,East
TE,Broncos,6-4,248,Krieger-Coble,Henry,10.0,DEN,AFC,West
TE,Lions,6-4,253,Ebron,Eric,11.0,DET,NFC,North
TE,Jets,6-4,244,Vander,"Laan, Jason",22.0,NYJ,AFC,East
TE,Packers,6-5,252,Sandland,Beau,12.0,GB,NFC,North
TE,Eagles,6-4,255,Brown,Billy,24.0,PHI,NFC,East
TE,Steelers,6-4,261,Grimble,Xavier,25.0,PIT,AFC,North
TE,Ravens,6-4,260,Boyle,Nick,3.0,BAL,AFC,North
TE,Vikings,6-3,245,Carter,Kyle,18.0,MIN,NFC,North
TE,Bengals,6-6,265,Uzomah,C.J.,7.0,CIN,AFC,North
